,,snapshot saving frequency = 0,,,,,,snapshot saving frequency = 1/25,,,,
,,Kx,Ky,mpi tasks,n threads,time,,Kx,Ky,mpi tasks,n threads,time
MPI STRONG,nthreads=64,10000,10000,1,64,7.52967,,10000,10000,1,64,18.403
,--map-by socket,10000,10000,1,64,7.30434,,10000,10000,1,64,18.971
,,10000,10000,1,64,7.40977,,10000,10000,1,64,18.122
,,10000,10000,1,64,7.56231,,10000,10000,1,64,19.32
,,10000,10000,1,64,7.40953,,10000,10000,1,64,18.1413
,,10000,10000,1,64,7.34819,,10000,10000,2,64,11.8049
,,10000,10000,1,64,7.35959,,10000,10000,2,64,11.7974
,,10000,10000,1,64,7.69854,,10000,10000,2,64,11.5153
,,10000,10000,1,64,7.90431,,10000,10000,2,64,11.3075
,,10000,10000,1,64,7.93896,,10000,10000,2,64,11.5736
,,10000,10000,2,64,5.86015,,10000,10000,2,64,11.8547
,,10000,10000,2,64,5.86262,,10000,10000,2,64,11.9401
,,10000,10000,2,64,4.11575,,10000,10000,2,64,11.7959
,,10000,10000,2,64,5.40442,,10000,10000,2,64,11.4192
,,10000,10000,2,64,3.82559,,10000,10000,2,64,11.8311
,,10000,10000,2,64,5.72219,,10000,10000,3,64,8.70015
,,10000,10000,2,64,6.00158,,10000,10000,3,64,8.96108
,,10000,10000,2,64,5.83184,,10000,10000,3,64,8.96783
,,10000,10000,2,64,5.13559,,10000,10000,3,64,8.91715
,,10000,10000,2,64,4.15482,,10000,10000,3,64,8.7645
,,10000,10000,3,64,2.56562,,10000,10000,3,64,8.91731
,,10000,10000,3,64,2.42485,,10000,10000,3,64,8.95134
,,10000,10000,3,64,2.61973,,10000,10000,3,64,8.89066
,,10000,10000,3,64,2.36887,,10000,10000,3,64,8.98192
,,10000,10000,3,64,2.48238,,10000,10000,3,64,8.6636
,,10000,10000,3,64,2.42548,,10000,10000,4,64,8.46117
,,10000,10000,3,64,2.66863,,10000,10000,4,64,8.56284
,,10000,10000,3,64,2.56126,,10000,10000,4,64,8.44178
,,10000,10000,3,64,2.41305,,10000,10000,4,64,8.78559
,,10000,10000,3,64,2.65487,,10000,10000,4,64,8.5949
,,10000,10000,4,64,1.41254,,10000,10000,4,64,8.43574
,,10000,10000,4,64,1.41792,,10000,10000,4,64,8.83233
,,10000,10000,4,64,1.41448,,10000,10000,4,64,8.45706
,,10000,10000,4,64,1.39322,,10000,10000,4,64,8.65372
,,10000,10000,4,64,1.40677,,10000,10000,4,64,8.70394
,,10000,10000,4,64,1.43887,,10000,10000,5,64,8.27126
,,10000,10000,4,64,1.55992,,10000,10000,5,64,8.33775
,,10000,10000,4,64,1.38564,,10000,10000,5,64,8.22195
,,10000,10000,4,64,1.436,,10000,10000,5,64,8.39784
,,10000,10000,4,64,1.44274,,10000,10000,5,64,8.30905
,,10000,10000,5,64,1.34452,,10000,10000,5,64,8.43118
,,10000,10000,5,64,1.25952,,10000,10000,5,64,8.34237
,,10000,10000,5,64,1.29327,,10000,10000,5,64,8.26481
,,10000,10000,5,64,1.26292,,10000,10000,5,64,8.16709
,,10000,10000,5,64,1.26533,,10000,10000,5,64,8.58722
,,10000,10000,5,64,1.447,,10000,10000,6,64,8.1355
,,10000,10000,5,64,1.30246,,10000,10000,6,64,8.50098
,,10000,10000,5,64,1.30945,,10000,10000,6,64,8.1668
,,10000,10000,5,64,1.27593,,10000,10000,6,64,8.19404
,,10000,10000,5,64,1.25338,,10000,10000,6,64,8.22433
,,10000,10000,6,64,1.05626,,10000,10000,6,64,8.33487
,,10000,10000,6,64,1.07892,,10000,10000,6,64,8.12697
,,10000,10000,6,64,1.05346,,10000,10000,6,64,8.28481
,,10000,10000,6,64,1.04965,,10000,10000,6,64,8.17441
