Kx,Ky,mpi_tasks,n_threads,time
10000,10000,1,1,256.193
10000,10000,1,1,256.324
10000,10000,1,1,256.222
10000,10000,1,1,256.429
10000,10000,32,1,8.75364
10000,10000,32,1,8.75144
10000,10000,32,1,8.76076
10000,10000,32,1,8.749
10000,10000,64,1,4.86807
10000,10000,64,1,4.9185
10000,10000,64,1,4.90447
10000,10000,64,1,7.4328
10000,10000,128,1,2.75592
10000,10000,128,1,2.77007
10000,10000,128,1,2.78883
10000,10000,128,1,2.79324
10000,10000,192,1,2.11429
10000,10000,192,1,2.0923
10000,10000,192,1,2.12816
10000,10000,192,1,2.12602
10000,10000,256,1,1.73913
10000,10000,256,1,1.74395
10000,10000,256,1,1.75399
10000,10000,256,1,1.75831
10000,10000,320,1,3.15519
10000,10000,320,1,3.26185
10000,10000,320,1,3.16357
10000,10000,320,1,3.21579
10000,10000,384,1,1.40832
10000,10000,384,1,1.40152
10000,10000,384,1,1.41235
10000,10000,384,1,1.41424
15000,15000,1,1,576.716
15000,15000,1,1,576.909
15000,15000,1,1,576.855
15000,15000,1,1,576.732
15000,15000,32,1,19.8322
15000,15000,32,1,19.8925
15000,15000,32,1,19.8375
15000,15000,32,1,20.0997
15000,15000,64,1,11.1069
15000,15000,64,1,11.5658
15000,15000,64,1,11.3041
15000,15000,64,1,11.5882
15000,15000,128,1,6.33076
15000,15000,128,1,6.76285
15000,15000,128,1,6.56733
15000,15000,128,1,6.38703
15000,15000,192,1,4.84881
15000,15000,192,1,5.04921
15000,15000,192,1,4.85766
15000,15000,192,1,5.24778
15000,15000,256,1,8.88157
15000,15000,256,1,8.90122
15000,15000,256,1,8.94707
15000,15000,256,1,8.98842
15000,15000,320,1,13.2462
15000,15000,320,1,13.2779
15000,15000,320,1,13.35
15000,15000,320,1,13.3511
15000,15000,384,1,3.38438
15000,15000,384,1,3.20264
15000,15000,384,1,3.20698
15000,15000,384,1,3.20141
