Kx,Ky,mpi_tasks,n_threads,time
10000,10000,1,64,18.403
10000,10000,1,64,18.971
10000,10000,1,64,18.122
10000,10000,1,64,19.32
10000,10000,1,64,18.1413
10000,10000,2,64,11.8049
10000,10000,2,64,11.7974
10000,10000,2,64,11.5153
10000,10000,2,64,11.3075
10000,10000,2,64,11.5736
10000,10000,2,64,11.8547
10000,10000,2,64,11.9401
10000,10000,2,64,11.7959
10000,10000,2,64,11.4192
10000,10000,2,64,11.8311
10000,10000,3,64,8.70015
10000,10000,3,64,8.96108
10000,10000,3,64,8.96783
10000,10000,3,64,8.91715
10000,10000,3,64,8.7645
10000,10000,3,64,8.91731
10000,10000,3,64,8.95134
10000,10000,3,64,8.89066
10000,10000,3,64,8.98192
10000,10000,3,64,8.6636
10000,10000,4,64,8.46117
10000,10000,4,64,8.56284
10000,10000,4,64,8.44178
10000,10000,4,64,8.78559
10000,10000,4,64,8.5949
10000,10000,4,64,8.43574
10000,10000,4,64,8.83233
10000,10000,4,64,8.45706
10000,10000,4,64,8.65372
10000,10000,4,64,8.70394
10000,10000,5,64,8.27126
10000,10000,5,64,8.33775
10000,10000,5,64,8.22195
10000,10000,5,64,8.39784
10000,10000,5,64,8.30905
10000,10000,5,64,8.43118
10000,10000,5,64,8.34237
10000,10000,5,64,8.26481
10000,10000,5,64,8.16709
10000,10000,5,64,8.58722
10000,10000,6,64,8.1355
10000,10000,6,64,8.50098
10000,10000,6,64,8.1668
10000,10000,6,64,8.19404
10000,10000,6,64,8.22433
10000,10000,6,64,8.33487
10000,10000,6,64,8.12697
10000,10000,6,64,8.28481
10000,10000,6,64,8.17441
10000,10000,6,64,8.48862
15000,15000,1,64,37.7783
15000,15000,1,64,36.629
15000,15000,1,64,36.172
15000,15000,1,64,35.708
15000,15000,1,64,38.2883
15000,15000,1,64,34.584
15000,15000,2,64,26.5906
15000,15000,2,64,28.5075
15000,15000,2,64,26.0937
15000,15000,2,64,26.3177
15000,15000,2,64,26.1134
15000,15000,2,64,26.2433
15000,15000,2,64,26.4285
15000,15000,2,64,26.3452
15000,15000,2,64,26.5318
15000,15000,2,64,26.0627
15000,15000,3,64,23.2281
15000,15000,3,64,21.4505
15000,15000,3,64,23.3125
15000,15000,3,64,22.7013
15000,15000,3,64,23.2832
15000,15000,3,64,23.4597
15000,15000,3,64,23.3758
15000,15000,3,64,21.4743
15000,15000,3,64,21.3718
15000,15000,3,64,21.3181
15000,15000,4,64,21.2403
15000,15000,4,64,19.4792
15000,15000,4,64,19.9674
15000,15000,4,64,20.9025
15000,15000,4,64,19.4686
15000,15000,4,64,21.9808
15000,15000,4,64,19.8446
15000,15000,4,64,21.0588
15000,15000,4,64,21.5905
15000,15000,4,64,21.4879
15000,15000,5,64,18.8464
15000,15000,5,64,18.575
15000,15000,5,64,18.2263
15000,15000,5,64,18.2383
15000,15000,5,64,18.7818
15000,15000,5,64,19.0223
15000,15000,5,64,18.353
15000,15000,5,64,18.8246
15000,15000,5,64,18.9204
15000,15000,5,64,18.2155
15000,15000,6,64,17.1363
15000,15000,6,64,17.4406
15000,15000,6,64,17.3444
15000,15000,6,64,17.6346
15000,15000,6,64,17.5656
15000,15000,6,64,17.6884
15000,15000,6,64,17.4204
15000,15000,6,64,17.549
15000,15000,6,64,17.6025
15000,15000,6,64,17.6569
