Kx,Ky,mpi_tasks,n_threads,time
12500,12500,1,64,21.2483
12500,12500,1,64,20.4455
12500,12500,1,64,20.3796
12500,12500,1,64,26.0817
12500,12500,1,64,20.4407
12500,12500,1,64,20.8206
12500,12500,1,64,23.0077
12500,12500,1,64,20.687
12500,12500,1,64,22.6318
12500,12500,1,64,23.0399
17677,17677,2,64,34.9761
17677,17677,2,64,32.6114
17677,17677,2,64,32.8404
17677,17677,2,64,32.8858
17677,17677,2,64,33.049
17677,17677,2,64,36.5191
17677,17677,2,64,32.2246
17677,17677,2,64,31.7275
17677,17677,2,64,33.0034
17677,17677,2,64,35.1721
21650,21650,3,64,42.9911
21650,21650,3,64,42.811
21650,21650,3,64,43.6354
21650,21650,3,64,44.6569
21650,21650,3,64,42.2523
21650,21650,3,64,42.3046
21650,21650,3,64,45.2631
21650,21650,3,64,43.0593
21650,21650,3,64,42.3825
21650,21650,3,64,42.966
25000,25000,4,64,49.0073
25000,25000,4,64,49.3827
25000,25000,4,64,49.7966
25000,25000,4,64,49.9893
25000,25000,4,64,50.1993
25000,25000,4,64,50.8364
25000,25000,4,64,50.727
25000,25000,4,64,51.0476
25000,25000,4,64,51.2626
25000,25000,4,64,51.0728
27950,27950,5,64,61.739
27950,27950,5,64,60.765
27950,27950,5,64,60.9156
27950,27950,5,64,61.0025
27950,27950,5,64,61.9765
27950,27950,5,64,61.4643
27950,27950,5,64,60.9616
27950,27950,5,64,60.4777
27950,27950,5,64,60.7327
27950,27950,5,64,58.8615
30618,30618,6,64,67.9931
30618,30618,6,64,69.7773
30618,30618,6,64,70.3318
30618,30618,6,64,69.2926
30618,30618,6,64,68.9384
30618,30618,6,64,68.5648
30618,30618,6,64,69.4054
30618,30618,6,64,71.0077
30618,30618,6,64,68.7851
30618,30618,6,64,68.5389
