Kx,Ky,mpi_tasks,n_threads,time
12500,12500,1,64,11.59
12500,12500,1,64,10.2167
12500,12500,1,64,10.2088
12500,12500,1,64,11.4857
12500,12500,1,64,10.0651
12500,12500,1,64,10.203
12500,12500,1,64,10.0412
12500,12500,1,64,11.6674
12500,12500,1,64,9.87884
17677,17677,2,64,13.1721
17677,17677,2,64,13.6256
17677,17677,2,64,14.2341
17677,17677,2,64,13.9904
17677,17677,2,64,13.7859
21650,21650,3,64,14.5872
21650,21650,3,64,15.3873
21650,21650,3,64,15.1863
21650,21650,3,64,15.2148
21650,21650,3,64,14.7546
21650,21650,3,64,15.4947
21650,21650,3,64,14.5269
21650,21650,3,64,14.6352
21650,21650,3,64,14.7532
21650,21650,3,64,14.8221
25000,25000,4,64,12.3908
25000,25000,4,64,15.0834
25000,25000,4,64,14.9981
25000,25000,4,64,15.3188
25000,25000,4,64,15.1288
25000,25000,4,64,15.0798
25000,25000,4,64,15.0484
25000,25000,4,64,14.7688
27950,27950,5,64,12.654
27950,27950,5,64,11.8475
27950,27950,5,64,12.8916
27950,27950,5,64,12.9497
27950,27950,5,64,13.0574
27950,27950,5,64,15.4528
27950,27950,5,64,12.6767
30618,30618,6,64,13.4081
30618,30618,6,64,13.538
30618,30618,6,64,13.3761
30618,30618,6,64,11.8678
30618,30618,6,64,11.5298
30618,30618,6,64,11.86
30618,30618,6,64,11.4648
30618,30618,6,64,13.584
30618,30618,6,64,11.766
