Kx,Ky,mpi_tasks,n_threads,time
10000,10000,1,1,253.72
10000,10000,1,1,253.73
10000,10000,1,1,254.867
10000,10000,1,1,252.973
10000,10000,1,2,127.27
10000,10000,1,2,127.248
10000,10000,1,2,127.193
10000,10000,1,2,127.06
10000,10000,1,4,63.9319
10000,10000,1,4,64.1825
10000,10000,1,4,64.162
10000,10000,1,4,64.0722
10000,10000,1,8,32.0631
10000,10000,1,8,32.0156
10000,10000,1,8,32.1196
10000,10000,1,8,32.0299
10000,10000,1,16,16.7464
10000,10000,1,16,16.7768
10000,10000,1,16,16.7634
10000,10000,1,16,16.7693
10000,10000,1,32,10.299
10000,10000,1,32,10.0978
10000,10000,1,32,10.7054
10000,10000,1,32,10.2718
10000,10000,1,48,9.31987
10000,10000,1,48,8.6193
10000,10000,1,48,9.11639
10000,10000,1,48,8.56051
10000,10000,1,64,8.56844
10000,10000,1,64,8.79779
10000,10000,1,64,8.67685
10000,10000,1,64,8.7446
15000,15000,1,1,566.555
15000,15000,1,1,566.135
15000,15000,1,1,566.249
15000,15000,1,1,566.027
15000,15000,1,2,283.3
15000,15000,1,2,282.993
15000,15000,1,2,283.431
15000,15000,1,2,283.331
15000,15000,1,4,142.4
15000,15000,1,4,142.365
15000,15000,1,4,142.551
15000,15000,1,4,142.514
15000,15000,1,8,72.3568
15000,15000,1,8,72.2207
15000,15000,1,8,72.083
15000,15000,1,8,72.2154
15000,15000,1,16,37.6958
15000,15000,1,16,37.5944
15000,15000,1,16,37.6778
15000,15000,1,16,37.6085
15000,15000,1,32,23.5808
15000,15000,1,32,23.5064
15000,15000,1,32,23.6103
15000,15000,1,32,24.4198
15000,15000,1,48,19.2004
15000,15000,1,48,18.7202
15000,15000,1,48,18.6917
15000,15000,1,48,18.8605
15000,15000,1,64,17.2608
15000,15000,1,64,17.1907
15000,15000,1,64,16.7698
15000,15000,1,64,17.6575
