n_cores,m,n ,k,time,gflops
1,11000,11000,11000,57.1824,46.5528
1,11000,11000,11000,57.1632,46.5684
1,11000,11000,11000,57.36,46.4087
1,11000,11000,11000,57.485,46.3077
1,11000,11000,11000,57.3422,46.4231
1,11000,11000,11000,57.3247,46.4372
1,11000,11000,11000,57.4236,46.3572
1,11000,11000,11000,57.4812,46.3108
1,11000,11000,11000,57.3933,46.3817
1,11000,11000,11000,57.3581,46.4102
2,11000,11000,11000,29.4214,90.4784
2,11000,11000,11000,29.4236,90.4715
2,11000,11000,11000,29.4245,90.4687
2,11000,11000,11000,29.4414,90.4168
2,11000,11000,11000,29.5317,90.1405
2,11000,11000,11000,29.2937,90.8729
2,11000,11000,11000,29.5243,90.1632
2,11000,11000,11000,29.4475,90.3982
2,11000,11000,11000,29.436,90.4334
2,11000,11000,11000,29.5335,90.135
4,11000,11000,11000,15.0938,176.364
4,11000,11000,11000,15.0846,176.471
4,11000,11000,11000,15.118,176.082
4,11000,11000,11000,15.1051,176.232
4,11000,11000,11000,15.0939,176.362
4,11000,11000,11000,15.1546,175.656
4,11000,11000,11000,15.0646,176.705
4,11000,11000,11000,15.1297,175.946
4,11000,11000,11000,15.1149,176.118
4,11000,11000,11000,15.0739,176.597
8,11000,11000,11000,7.8935,337.24
8,11000,11000,11000,7.93284,335.567
8,11000,11000,11000,7.91067,336.507
8,11000,11000,11000,7.91286,336.414
8,11000,11000,11000,7.8873,337.505
8,11000,11000,11000,7.93609,335.43
8,11000,11000,11000,7.97489,333.798
8,11000,11000,11000,7.9858,333.342
8,11000,11000,11000,7.92801,335.771
8,11000,11000,11000,7.96214,334.332
16,11000,11000,11000,5.2368,508.325
16,11000,11000,11000,5.23851,508.16
16,11000,11000,11000,5.23285,508.709
16,11000,11000,11000,5.23137,508.853
16,11000,11000,11000,5.23272,508.722
16,11000,11000,11000,5.25149,506.904
16,11000,11000,11000,5.24215,507.806
16,11000,11000,11000,5.25319,506.74
16,11000,11000,11000,5.2311,508.879
16,11000,11000,11000,5.24239,507.784
24,11000,11000,11000,4.85398,548.416
24,11000,11000,11000,4.84735,549.166
24,11000,11000,11000,4.83207,550.903
24,11000,11000,11000,4.84636,549.278
24,11000,11000,11000,4.83882,550.134
24,11000,11000,11000,4.85734,548.037
24,11000,11000,11000,4.8202,552.259
24,11000,11000,11000,4.84959,548.913
24,11000,11000,11000,4.82472,551.742
24,11000,11000,11000,4.84349,549.604
32,11000,11000,11000,4.55964,583.818
32,11000,11000,11000,4.57055,582.425
32,11000,11000,11000,4.07012,654.035
32,11000,11000,11000,4.0624,655.278
32,11000,11000,11000,4.56333,583.346
32,11000,11000,11000,4.55831,583.988
32,11000,11000,11000,4.5646,583.184
32,11000,11000,11000,4.54878,585.212
32,11000,11000,11000,4.5536,584.592
32,11000,11000,11000,4.55349,584.606
48,11000,11000,11000,4.45829,597.09
48,11000,11000,11000,4.44983,598.225
48,11000,11000,11000,4.48646,593.34
48,11000,11000,11000,3.48771,763.253
48,11000,11000,11000,4.47681,594.619
48,11000,11000,11000,3.48114,764.692
48,11000,11000,11000,4.48272,593.835
48,11000,11000,11000,4.47676,594.627
48,11000,11000,11000,4.47081,595.418
48,11000,11000,11000,4.46976,595.558
64,11000,11000,11000,4.70872,565.334
64,11000,11000,11000,4.70059,566.312
64,11000,11000,11000,3.65486,728.345
64,11000,11000,11000,4.75571,559.749
64,11000,11000,11000,3.7539,709.128
64,11000,11000,11000,4.69158,567.399
64,11000,11000,11000,3.72257,715.098
64,11000,11000,11000,4.74914,560.522
64,11000,11000,11000,4.74353,561.186
64,11000,11000,11000,3.77267,705.602
