n_cores,m,n ,k,time,gflops
1,11000,11000,11000,42.7943,62.2046
1,11000,11000,11000,42.5266,62.5962
1,11000,11000,11000,42.3555,62.8489
1,11000,11000,11000,42.9225,62.0187
1,11000,11000,11000,42.5787,62.5196
1,11000,11000,11000,42.2136,63.0603
1,11000,11000,11000,41.9535,63.4512
1,11000,11000,11000,41.9816,63.4088
1,11000,11000,11000,41.5649,64.0444
1,11000,11000,11000,42.3262,62.8925
2,11000,11000,11000,21.5136,123.735
2,11000,11000,11000,21.8668,121.737
2,11000,11000,11000,21.6174,123.141
2,11000,11000,11000,21.7159,122.583
2,11000,11000,11000,21.5832,123.336
2,11000,11000,11000,21.7486,122.398
2,11000,11000,11000,21.6455,122.981
2,11000,11000,11000,21.8174,122.013
2,11000,11000,11000,21.643,122.996
2,11000,11000,11000,21.6043,123.216
4,11000,11000,11000,14.6345,181.899
4,11000,11000,11000,14.6445,181.775
4,11000,11000,11000,14.6064,182.248
4,11000,11000,11000,14.613,182.167
4,11000,11000,11000,14.626,182.004
4,11000,11000,11000,14.7277,180.747
4,11000,11000,11000,14.73,180.72
4,11000,11000,11000,14.4922,183.685
4,11000,11000,11000,14.5837,182.533
4,11000,11000,11000,14.742,180.573
8,11000,11000,11000,5.76734,461.564
8,11000,11000,11000,5.76418,461.818
8,11000,11000,11000,5.75178,462.813
8,11000,11000,11000,5.77268,461.138
8,11000,11000,11000,5.82401,457.074
8,11000,11000,11000,5.78435,460.207
8,11000,11000,11000,5.76129,462.05
8,11000,11000,11000,5.78324,460.296
8,11000,11000,11000,5.76813,461.501
8,11000,11000,11000,5.76373,461.853
16,11000,11000,11000,3.54229,751.492
16,11000,11000,11000,3.54299,751.342
16,11000,11000,11000,3.53792,752.42
16,11000,11000,11000,3.55368,749.083
16,11000,11000,11000,3.53175,753.735
16,11000,11000,11000,3.55014,749.829
16,11000,11000,11000,3.54486,750.946
16,11000,11000,11000,3.56346,747.026
16,11000,11000,11000,3.52386,755.421
16,11000,11000,11000,3.53366,753.327
24,11000,11000,11000,2.52425,1054.57
24,11000,11000,11000,2.51053,1060.33
24,11000,11000,11000,2.51482,1058.53
24,11000,11000,11000,2.53274,1051.04
24,11000,11000,11000,2.51167,1059.85
24,11000,11000,11000,2.49263,1067.95
24,11000,11000,11000,2.54556,1045.74
24,11000,11000,11000,2.51247,1059.52
24,11000,11000,11000,2.52157,1055.69
24,11000,11000,11000,2.52176,1055.61
32,11000,11000,11000,2.18683,1217.29
32,11000,11000,11000,2.26346,1176.08
32,11000,11000,11000,2.24986,1183.19
32,11000,11000,11000,2.19598,1212.21
32,11000,11000,11000,2.27862,1168.25
32,11000,11000,11000,2.19601,1212.2
32,11000,11000,11000,2.25026,1182.97
32,11000,11000,11000,2.23074,1193.32
32,11000,11000,11000,2.19839,1210.89
32,11000,11000,11000,2.19335,1213.67
48,11000,11000,11000,1.95456,1361.94
48,11000,11000,11000,1.95207,1363.68
48,11000,11000,11000,1.9745,1348.19
48,11000,11000,11000,1.97824,1345.64
48,11000,11000,11000,1.96701,1353.32
48,11000,11000,11000,1.96736,1353.08
48,11000,11000,11000,1.98828,1338.85
48,11000,11000,11000,1.96215,1356.67
48,11000,11000,11000,1.96639,1353.75
48,11000,11000,11000,1.97464,1348.09
64,11000,11000,11000,2.0596,1292.48
64,11000,11000,11000,2.06224,1290.83
64,11000,11000,11000,2.04246,1303.33
64,11000,11000,11000,2.04242,1303.36
64,11000,11000,11000,2.05261,1296.89
64,11000,11000,11000,2.04259,1303.25
64,11000,11000,11000,2.04937,1298.94
64,11000,11000,11000,2.05433,1295.8
64,11000,11000,11000,2.04589,1301.15
64,11000,11000,11000,2.05517,1295.27
