n_cores,m,n ,k,time,gflops
1,11000,11000,11000,58.049,45.8578
1,11000,11000,11000,58.0115,45.8874
1,11000,11000,11000,58.0724,45.8394
1,11000,11000,11000,58.1031,45.8151
1,11000,11000,11000,57.9565,45.931
1,11000,11000,11000,58.0966,45.8202
1,11000,11000,11000,58.1181,45.8033
1,11000,11000,11000,57.8756,45.9952
1,11000,11000,11000,57.7858,46.0667
1,11000,11000,11000,58.1954,45.7424
2,11000,11000,11000,31.8989,83.4511
2,11000,11000,11000,31.7318,83.8906
2,11000,11000,11000,31.8089,83.6873
2,11000,11000,11000,31.922,83.3907
2,11000,11000,11000,31.9683,83.27
2,11000,11000,11000,31.9121,83.4165
2,11000,11000,11000,31.9909,83.2113
2,11000,11000,11000,31.9075,83.4286
2,11000,11000,11000,31.8222,83.6522
2,11000,11000,11000,31.8964,83.4577
4,11000,11000,11000,16.2028,164.293
4,11000,11000,11000,16.0892,165.452
4,11000,11000,11000,16.0044,166.329
4,11000,11000,11000,16.0141,166.229
4,11000,11000,11000,15.9729,166.657
4,11000,11000,11000,16.0068,166.305
4,11000,11000,11000,15.9529,166.866
4,11000,11000,11000,15.8737,167.699
4,11000,11000,11000,15.9146,167.268
4,11000,11000,11000,16.0286,166.078
8,11000,11000,11000,7.87803,337.902
8,11000,11000,11000,7.94123,335.213
8,11000,11000,11000,7.90819,336.613
8,11000,11000,11000,7.94189,335.185
8,11000,11000,11000,7.86329,338.535
8,11000,11000,11000,7.90971,336.548
8,11000,11000,11000,7.86745,338.356
8,11000,11000,11000,7.88114,337.768
8,11000,11000,11000,7.90435,336.776
8,11000,11000,11000,7.86591,338.422
16,11000,11000,11000,4.55995,583.778
16,11000,11000,11000,4.54213,586.069
16,11000,11000,11000,4.58731,580.296
16,11000,11000,11000,4.56576,583.036
16,11000,11000,11000,4.57134,582.324
16,11000,11000,11000,4.5942,579.426
16,11000,11000,11000,4.59838,578.9
16,11000,11000,11000,4.59412,579.436
16,11000,11000,11000,4.55137,584.879
16,11000,11000,11000,4.59188,579.719
24,11000,11000,11000,4.58198,580.972
24,11000,11000,11000,4.56709,582.866
24,11000,11000,11000,4.59214,579.686
24,11000,11000,11000,4.63953,573.765
24,11000,11000,11000,4.53493,586.999
24,11000,11000,11000,4.5873,580.298
24,11000,11000,11000,4.57672,581.639
24,11000,11000,11000,4.57192,582.25
24,11000,11000,11000,4.62574,575.475
24,11000,11000,11000,4.5478,585.338
32,11000,11000,11000,4.54101,586.213
32,11000,11000,11000,4.50201,591.291
32,11000,11000,11000,4.57902,581.347
32,11000,11000,11000,4.60548,578.007
32,11000,11000,11000,4.564,583.26
32,11000,11000,11000,4.5881,580.197
32,11000,11000,11000,4.53378,587.148
32,11000,11000,11000,4.48982,592.897
32,11000,11000,11000,4.55559,584.337
32,11000,11000,11000,4.46612,596.043
48,11000,11000,11000,4.54651,585.504
48,11000,11000,11000,4.50317,591.139
48,11000,11000,11000,4.60626,577.91
48,11000,11000,11000,4.60682,577.839
48,11000,11000,11000,4.55684,584.176
48,11000,11000,11000,4.55781,584.052
48,11000,11000,11000,4.54674,585.475
48,11000,11000,11000,4.54824,585.282
48,11000,11000,11000,4.55812,584.013
48,11000,11000,11000,4.53537,586.942
64,11000,11000,11000,4.63298,574.577
64,11000,11000,11000,4.66548,570.574
64,11000,11000,11000,4.66969,570.06
64,11000,11000,11000,4.65246,572.17
64,11000,11000,11000,4.63933,573.79
64,11000,11000,11000,4.81915,552.38
64,11000,11000,11000,4.60741,577.765
64,11000,11000,11000,4.65998,571.248
64,11000,11000,11000,4.69098,567.472
64,11000,11000,11000,4.63268,574.614
