n_cores,m,n ,k,time,gflops
1,11000,11000,11000,42.6404,62.429
1,11000,11000,11000,42.925,62.0151
1,11000,11000,11000,42.1995,63.0813
1,11000,11000,11000,43.0697,61.8067
1,11000,11000,11000,42.905,62.044
1,11000,11000,11000,42.459,62.6957
1,11000,11000,11000,42.5136,62.6153
1,11000,11000,11000,43.4078,61.3253
1,11000,11000,11000,42.8829,62.076
1,11000,11000,11000,42.7893,62.2118
2,11000,11000,11000,25.937,102.633
2,11000,11000,11000,25.8381,103.026
2,11000,11000,11000,25.8542,102.962
2,11000,11000,11000,25.8465,102.993
2,11000,11000,11000,25.9945,102.406
2,11000,11000,11000,25.7033,103.566
2,11000,11000,11000,26.1553,101.777
2,11000,11000,11000,26.1607,101.756
2,11000,11000,11000,25.9414,102.616
2,11000,11000,11000,25.8535,102.965
4,11000,11000,11000,18.7508,141.968
4,11000,11000,11000,18.9704,140.324
4,11000,11000,11000,19.1829,138.769
4,11000,11000,11000,18.8287,141.38
4,11000,11000,11000,18.8339,141.341
4,11000,11000,11000,19.044,139.782
4,11000,11000,11000,18.65,142.735
4,11000,11000,11000,18.7315,142.114
4,11000,11000,11000,19.2159,138.531
4,11000,11000,11000,18.7333,142.1
8,11000,11000,11000,7.13412,373.136
8,11000,11000,11000,7.14712,372.458
8,11000,11000,11000,7.37136,361.128
8,11000,11000,11000,7.13118,373.29
8,11000,11000,11000,7.18015,370.744
8,11000,11000,11000,7.14716,372.456
8,11000,11000,11000,7.4736,356.187
8,11000,11000,11000,7.23002,368.187
8,11000,11000,11000,7.23157,368.108
8,11000,11000,11000,7.3316,363.086
16,11000,11000,11000,3.86328,689.052
16,11000,11000,11000,4.04908,657.434
16,11000,11000,11000,3.90727,681.295
16,11000,11000,11000,4.06476,654.897
16,11000,11000,11000,3.84974,691.475
16,11000,11000,11000,3.8656,688.637
16,11000,11000,11000,3.90244,682.138
16,11000,11000,11000,4.00357,664.907
16,11000,11000,11000,3.94827,674.219
16,11000,11000,11000,4.59992,578.706
24,11000,11000,11000,4.63785,573.972
24,11000,11000,11000,4.61716,576.545
24,11000,11000,11000,4.663,570.877
24,11000,11000,11000,4.63956,573.761
24,11000,11000,11000,4.57102,582.365
24,11000,11000,11000,4.61477,576.844
24,11000,11000,11000,4.53113,587.491
24,11000,11000,11000,4.57512,581.842
24,11000,11000,11000,4.5504,585.003
24,11000,11000,11000,4.62146,576.009
32,11000,11000,11000,4.47609,594.715
32,11000,11000,11000,4.45198,597.936
32,11000,11000,11000,4.50152,591.355
32,11000,11000,11000,4.45183,597.957
32,11000,11000,11000,4.43831,599.777
32,11000,11000,11000,4.44494,598.883
32,11000,11000,11000,4.60605,577.935
32,11000,11000,11000,4.4485,598.403
32,11000,11000,11000,4.45927,596.958
32,11000,11000,11000,4.60347,578.259
48,11000,11000,11000,4.5849,580.601
48,11000,11000,11000,4.59056,579.885
48,11000,11000,11000,4.59278,579.606
48,11000,11000,11000,4.61303,577.061
48,11000,11000,11000,4.59469,579.364
48,11000,11000,11000,4.58711,580.322
48,11000,11000,11000,4.5663,582.967
48,11000,11000,11000,4.58658,580.388
48,11000,11000,11000,4.59624,579.17
48,11000,11000,11000,4.61545,576.758
64,11000,11000,11000,4.61539,576.766
64,11000,11000,11000,4.59939,578.772
64,11000,11000,11000,4.63457,574.379
64,11000,11000,11000,4.60719,577.793
64,11000,11000,11000,4.63443,574.397
64,11000,11000,11000,4.62497,575.571
64,11000,11000,11000,4.63604,574.197
64,11000,11000,11000,4.70839,565.374
64,11000,11000,11000,4.65458,571.91
64,11000,11000,11000,4.65402,571.979
