n_cores,m,n ,k,time,gflops
1,11000,11000,11000,61.681,43.1575
1,11000,11000,11000,61.2288,43.4763
1,11000,11000,11000,61.1567,43.5275
1,11000,11000,11000,61.0999,43.568
1,11000,11000,11000,61.3454,43.3936
1,11000,11000,11000,61.6067,43.2096
1,11000,11000,11000,61.2565,43.4566
1,11000,11000,11000,61.5503,43.2492
1,11000,11000,11000,60.9229,43.6945
1,11000,11000,11000,61.2116,43.4885
2,11000,11000,11000,32.0531,83.0496
2,11000,11000,11000,32.0442,83.0728
2,11000,11000,11000,32.2144,82.6337
2,11000,11000,11000,32.2729,82.484
2,11000,11000,11000,32.1593,82.7753
2,11000,11000,11000,32.0876,82.9604
2,11000,11000,11000,32.129,82.8535
2,11000,11000,11000,32.1539,82.7893
2,11000,11000,11000,31.8636,83.5436
2,11000,11000,11000,31.9155,83.4077
4,11000,11000,11000,16.5508,160.838
4,11000,11000,11000,16.887,157.636
4,11000,11000,11000,16.6065,160.298
4,11000,11000,11000,16.0802,165.545
4,11000,11000,11000,17.1407,155.303
4,11000,11000,11000,16.6172,160.196
4,11000,11000,11000,17.0004,156.585
4,11000,11000,11000,16.6641,159.744
4,11000,11000,11000,16.119,165.147
4,11000,11000,11000,16.5336,161.006
8,11000,11000,11000,8.38636,317.42
8,11000,11000,11000,8.17573,325.598
8,11000,11000,11000,8.26236,322.184
8,11000,11000,11000,8.32694,319.685
8,11000,11000,11000,7.99891,332.795
8,11000,11000,11000,8.45978,314.666
8,11000,11000,11000,8.33973,319.195
8,11000,11000,11000,8.26752,321.983
8,11000,11000,11000,8.24105,323.017
8,11000,11000,11000,7.95373,334.686
16,11000,11000,11000,4.52583,588.179
16,11000,11000,11000,4.56453,583.192
16,11000,11000,11000,4.52723,587.998
16,11000,11000,11000,4.54822,585.284
16,11000,11000,11000,4.69531,566.949
16,11000,11000,11000,4.6252,575.543
16,11000,11000,11000,4.55033,585.013
16,11000,11000,11000,4.54368,585.869
16,11000,11000,11000,4.69434,567.065
16,11000,11000,11000,4.62092,576.075
24,11000,11000,11000,4.78139,556.742
24,11000,11000,11000,4.70996,565.186
24,11000,11000,11000,4.72871,562.944
24,11000,11000,11000,4.60595,577.949
24,11000,11000,11000,4.58351,580.777
24,11000,11000,11000,4.61971,576.226
24,11000,11000,11000,4.74109,561.474
24,11000,11000,11000,4.77375,557.633
24,11000,11000,11000,4.73035,562.749
24,11000,11000,11000,4.37996,607.769
32,11000,11000,11000,4.59794,578.955
32,11000,11000,11000,4.56506,583.125
32,11000,11000,11000,4.69044,567.537
32,11000,11000,11000,4.62227,575.907
32,11000,11000,11000,4.59318,579.555
32,11000,11000,11000,4.10342,648.727
32,11000,11000,11000,4.09344,650.309
32,11000,11000,11000,4.74547,560.956
32,11000,11000,11000,4.3544,611.336
32,11000,11000,11000,4.5836,580.767
48,11000,11000,11000,4.77842,557.088
48,11000,11000,11000,4.6634,570.828
48,11000,11000,11000,4.59078,579.857
48,11000,11000,11000,4.53301,587.248
48,11000,11000,11000,3.66358,726.612
48,11000,11000,11000,4.45107,598.058
48,11000,11000,11000,3.6931,720.804
48,11000,11000,11000,4.58132,581.056
48,11000,11000,11000,4.6276,575.244
48,11000,11000,11000,4.36974,609.189
64,11000,11000,11000,4.22719,629.732
64,11000,11000,11000,3.51507,757.31
64,11000,11000,11000,4.53732,586.69
64,11000,11000,11000,4.17032,638.32
64,11000,11000,11000,4.61071,577.351
64,11000,11000,11000,3.5191,756.443
64,11000,11000,11000,4.16121,639.717
64,11000,11000,11000,4.60596,577.947
64,11000,11000,11000,3.53231,753.614
64,11000,11000,11000,4.49477,592.244
