n_cores,m,n ,k,time,gflops
1,11000,11000,11000,48.6915,54.6707
1,11000,11000,11000,49.3187,53.9754
1,11000,11000,11000,49.1626,54.1468
1,11000,11000,11000,49.405,53.8812
1,11000,11000,11000,48.2318,55.1918
1,11000,11000,11000,49.0979,54.2182
1,11000,11000,11000,48.8214,54.5253
1,11000,11000,11000,48.7263,54.6317
1,11000,11000,11000,48.2377,55.1851
1,11000,11000,11000,48.8334,54.5119
2,11000,11000,11000,23.6544,112.537
2,11000,11000,11000,24.8258,107.227
2,11000,11000,11000,23.9037,111.364
2,11000,11000,11000,23.7162,112.244
2,11000,11000,11000,24.354,109.305
2,11000,11000,11000,23.6144,112.728
2,11000,11000,11000,23.995,110.94
2,11000,11000,11000,23.8478,111.624
2,11000,11000,11000,23.2332,114.577
2,11000,11000,11000,23.9562,111.12
4,11000,11000,11000,16.8665,157.827
4,11000,11000,11000,16.1174,165.163
4,11000,11000,11000,16.4443,161.88
4,11000,11000,11000,16.8627,157.863
4,11000,11000,11000,16.067,165.681
4,11000,11000,11000,16.9348,157.191
4,11000,11000,11000,16.8024,158.429
4,11000,11000,11000,16.7792,158.649
4,11000,11000,11000,16.4928,161.403
4,11000,11000,11000,15.9834,166.548
8,11000,11000,11000,6.77541,392.892
8,11000,11000,11000,6.19525,429.684
8,11000,11000,11000,6.75785,393.912
8,11000,11000,11000,6.3835,417.013
8,11000,11000,11000,6.62223,401.979
8,11000,11000,11000,6.3083,421.983
8,11000,11000,11000,6.38016,417.231
8,11000,11000,11000,6.69122,397.835
8,11000,11000,11000,6.20992,428.669
8,11000,11000,11000,6.62137,402.032
16,11000,11000,11000,3.60512,738.394
16,11000,11000,11000,3.74196,711.391
16,11000,11000,11000,3.66749,725.836
16,11000,11000,11000,3.67555,724.246
16,11000,11000,11000,3.67164,725.017
16,11000,11000,11000,3.84162,692.937
16,11000,11000,11000,3.75033,709.804
16,11000,11000,11000,3.6667,725.994
16,11000,11000,11000,3.88069,685.96
16,11000,11000,11000,3.66598,726.136
24,11000,11000,11000,2.6174,1017.04
24,11000,11000,11000,2.8433,936.236
24,11000,11000,11000,2.79273,953.188
24,11000,11000,11000,2.84738,934.894
24,11000,11000,11000,2.54506,1045.95
24,11000,11000,11000,2.37751,1119.66
24,11000,11000,11000,2.82592,941.993
24,11000,11000,11000,2.85448,932.569
24,11000,11000,11000,2.50794,1061.43
24,11000,11000,11000,2.55572,1041.59
32,11000,11000,11000,2.52739,1053.26
32,11000,11000,11000,2.55069,1043.64
32,11000,11000,11000,2.53314,1050.87
32,11000,11000,11000,2.50735,1061.68
32,11000,11000,11000,4.67255,569.71
32,11000,11000,11000,4.36407,609.981
32,11000,11000,11000,4.66379,570.78
32,11000,11000,11000,4.5911,579.818
32,11000,11000,11000,4.46851,595.724
32,11000,11000,11000,4.6532,572.08
48,11000,11000,11000,3.71913,715.759
48,11000,11000,11000,4.95344,537.404
48,11000,11000,11000,4.62126,576.034
48,11000,11000,11000,4.62728,575.284
48,11000,11000,11000,4.37588,608.335
48,11000,11000,11000,3.62584,734.175
48,11000,11000,11000,3.6612,727.084
48,11000,11000,11000,4.49223,592.579
48,11000,11000,11000,4.5421,586.073
48,11000,11000,11000,5.27253,504.881
64,11000,11000,11000,4.50683,590.66
64,11000,11000,11000,4.12462,645.392
64,11000,11000,11000,4.58637,580.416
64,11000,11000,11000,4.51377,589.751
64,11000,11000,11000,4.17843,637.082
64,11000,11000,11000,4.59078,579.859
64,11000,11000,11000,4.57759,581.529
64,11000,11000,11000,4.58194,580.977
64,11000,11000,11000,4.54958,585.109
64,11000,11000,11000,4.14328,642.486
