n_cores,m,n ,k,time,gflops
1,11000,11000,11000,61.2773,43.4419
1,11000,11000,11000,60.3378,44.1183
1,11000,11000,11000,60.8773,43.7273
1,11000,11000,11000,60.2312,44.1963
1,11000,11000,11000,60.5025,43.9982
1,11000,11000,11000,60.2374,44.1918
1,11000,11000,11000,60.374,44.0918
1,11000,11000,11000,61.3455,43.3935
1,11000,11000,11000,59.6608,44.6189
1,11000,11000,11000,59.804,44.5121
2,11000,11000,11000,31.654,84.0969
2,11000,11000,11000,31.5781,84.2989
2,11000,11000,11000,32.0582,83.0365
2,11000,11000,11000,32.0201,83.1354
2,11000,11000,11000,32.0855,82.9658
2,11000,11000,11000,31.8709,83.5245
2,11000,11000,11000,31.7772,83.7708
2,11000,11000,11000,31.9988,83.1905
2,11000,11000,11000,31.676,84.0383
2,11000,11000,11000,32.3567,82.2705
4,11000,11000,11000,16.4866,161.464
4,11000,11000,11000,17.0577,156.058
4,11000,11000,11000,16.222,164.098
4,11000,11000,11000,16.2597,163.718
4,11000,11000,11000,16.8095,158.362
4,11000,11000,11000,16.4277,162.044
4,11000,11000,11000,16.34,162.913
4,11000,11000,11000,16.368,162.634
4,11000,11000,11000,16.3973,162.343
4,11000,11000,11000,16.4578,161.747
8,11000,11000,11000,8.2386,323.113
8,11000,11000,11000,8.40572,316.689
8,11000,11000,11000,8.43624,315.543
8,11000,11000,11000,8.22719,323.561
8,11000,11000,11000,8.07212,329.777
8,11000,11000,11000,8.2299,323.455
8,11000,11000,11000,7.98625,333.323
8,11000,11000,11000,8.63081,308.43
8,11000,11000,11000,8.2949,320.92
8,11000,11000,11000,8.1532,326.498
16,11000,11000,11000,4.67281,569.679
16,11000,11000,11000,4.80487,554.021
16,11000,11000,11000,4.72503,563.383
16,11000,11000,11000,4.59708,579.064
16,11000,11000,11000,4.71808,564.212
16,11000,11000,11000,4.69097,567.474
16,11000,11000,11000,4.67874,568.956
16,11000,11000,11000,4.70976,565.209
16,11000,11000,11000,4.6807,568.718
16,11000,11000,11000,4.69009,567.58
24,11000,11000,11000,4.77261,557.766
24,11000,11000,11000,4.32975,614.816
24,11000,11000,11000,4.80034,554.544
24,11000,11000,11000,4.75289,560.08
24,11000,11000,11000,4.33034,614.732
24,11000,11000,11000,4.4396,599.604
24,11000,11000,11000,4.62949,575.01
24,11000,11000,11000,4.67862,568.972
24,11000,11000,11000,4.73777,561.868
24,11000,11000,11000,4.77464,557.529
32,11000,11000,11000,4.47593,594.737
32,11000,11000,11000,4.67231,569.739
32,11000,11000,11000,4.55676,584.187
32,11000,11000,11000,4.15009,641.432
32,11000,11000,11000,4.73726,561.928
32,11000,11000,11000,4.66508,570.622
32,11000,11000,11000,4.11099,647.532
32,11000,11000,11000,4.67885,568.944
32,11000,11000,11000,4.08687,651.354
32,11000,11000,11000,4.62319,575.793
48,11000,11000,11000,3.65137,729.041
48,11000,11000,11000,4.59015,579.937
48,11000,11000,11000,4.41739,602.619
48,11000,11000,11000,3.70886,717.741
48,11000,11000,11000,4.50717,590.615
48,11000,11000,11000,5.09024,522.962
48,11000,11000,11000,4.92041,541.011
48,11000,11000,11000,4.42362,601.77
48,11000,11000,11000,3.13275,849.734
48,11000,11000,11000,4.46683,595.949
64,11000,11000,11000,3.54213,751.526
64,11000,11000,11000,3.5025,760.028
64,11000,11000,11000,3.54324,751.29
64,11000,11000,11000,2.96731,897.108
64,11000,11000,11000,4.61149,577.254
64,11000,11000,11000,2.97541,894.667
64,11000,11000,11000,4.1629,639.457
64,11000,11000,11000,3.05884,870.264
64,11000,11000,11000,3.5446,751.001
64,11000,11000,11000,3.5578,748.214
