n_cores,m,n ,k,time,gflops
1,11000,11000,11000,43.297,61.4823
1,11000,11000,11000,43.1396,61.7067
1,11000,11000,11000,41.9013,63.5302
1,11000,11000,11000,42.8388,62.1399
1,11000,11000,11000,43.2864,61.4974
1,11000,11000,11000,42.6466,62.42
1,11000,11000,11000,43.2852,61.4991
1,11000,11000,11000,43.5141,61.1756
1,11000,11000,11000,42.0827,63.2564
2,11000,11000,11000,22.5188,118.212
2,11000,11000,11000,22.5192,118.21
2,11000,11000,11000,22.6048,117.763
2,11000,11000,11000,22.7887,116.812
2,11000,11000,11000,22.2159,119.824
2,11000,11000,11000,22.2667,119.551
2,11000,11000,11000,22.8531,116.483
2,11000,11000,11000,22.4581,118.532
2,11000,11000,11000,22.239,119.7
2,11000,11000,11000,22.1845,119.994
4,11000,11000,11000,15.5887,170.765
4,11000,11000,11000,15.5463,171.23
4,11000,11000,11000,15.9448,166.951
4,11000,11000,11000,15.4542,172.251
4,11000,11000,11000,15.7618,168.889
4,11000,11000,11000,15.6846,169.721
4,11000,11000,11000,15.5522,171.166
4,11000,11000,11000,15.4729,172.042
4,11000,11000,11000,15.3042,173.939
4,11000,11000,11000,15.5751,170.914
8,11000,11000,11000,5.91923,449.721
8,11000,11000,11000,6.03612,441.011
8,11000,11000,11000,6.13963,433.576
8,11000,11000,11000,6.14342,433.309
8,11000,11000,11000,6.11288,435.474
8,11000,11000,11000,6.28677,423.429
8,11000,11000,11000,6.14765,433.011
8,11000,11000,11000,6.24636,426.168
8,11000,11000,11000,6.3352,420.192
8,11000,11000,11000,6.29952,422.572
16,11000,11000,11000,3.77102,705.91
16,11000,11000,11000,3.71504,716.547
16,11000,11000,11000,3.78941,702.483
16,11000,11000,11000,3.78132,703.987
16,11000,11000,11000,3.74697,710.441
16,11000,11000,11000,3.81307,698.125
16,11000,11000,11000,3.87437,687.08
16,11000,11000,11000,3.74504,710.806
16,11000,11000,11000,3.89443,683.54
16,11000,11000,11000,3.80704,699.23
24,11000,11000,11000,2.83586,938.693
24,11000,11000,11000,2.80814,947.957
24,11000,11000,11000,2.80857,947.815
24,11000,11000,11000,2.72712,976.122
24,11000,11000,11000,2.75127,967.552
24,11000,11000,11000,2.85922,931.022
24,11000,11000,11000,2.80749,948.178
24,11000,11000,11000,2.77768,958.352
24,11000,11000,11000,2.7857,955.596
24,11000,11000,11000,2.80983,947.39
32,11000,11000,11000,2.45929,1082.43
32,11000,11000,11000,2.18909,1216.03
32,11000,11000,11000,2.44686,1087.93
32,11000,11000,11000,2.20916,1204.98
32,11000,11000,11000,2.4642,1080.27
32,11000,11000,11000,2.42928,1095.8
32,11000,11000,11000,2.42375,1098.3
32,11000,11000,11000,2.2342,1191.48
32,11000,11000,11000,2.47762,1074.42
32,11000,11000,11000,2.44725,1087.75
48,11000,11000,11000,2.13143,1248.93
48,11000,11000,11000,2.02656,1313.56
48,11000,11000,11000,2.1472,1239.76
48,11000,11000,11000,2.08081,1279.31
48,11000,11000,11000,2.0448,1301.84
48,11000,11000,11000,2.11968,1255.85
48,11000,11000,11000,2.12769,1251.12
48,11000,11000,11000,2.02433,1315
48,11000,11000,11000,2.1096,1261.85
48,11000,11000,11000,2.05912,1292.79
64,11000,11000,11000,2.19106,1214.94
64,11000,11000,11000,2.0586,1293.11
64,11000,11000,11000,2.18567,1217.93
64,11000,11000,11000,2.18232,1219.8
64,11000,11000,11000,2.08663,1275.74
64,11000,11000,11000,2.0757,1282.46
64,11000,11000,11000,2.19538,1212.55
64,11000,11000,11000,2.0806,1279.44
64,11000,11000,11000,2.21719,1200.62
64,11000,11000,11000,2.09694,1269.47
