n_cores,m,n ,k,time,gflops
1,11000,11000,11000,56.7811,46.8818
1,11000,11000,11000,57.622,46.1976
1,11000,11000,11000,57.0122,46.6917
1,11000,11000,11000,57.2405,46.5055
1,11000,11000,11000,57.5108,46.287
1,11000,11000,11000,57.5543,46.252
1,11000,11000,11000,57.4219,46.3587
1,11000,11000,11000,57.5857,46.2267
1,11000,11000,11000,57.2714,46.4805
1,11000,11000,11000,57.6137,46.2043
2,11000,11000,11000,29.5419,90.1094
2,11000,11000,11000,29.5526,90.0767
2,11000,11000,11000,29.2327,91.0623
2,11000,11000,11000,29.5079,90.213
2,11000,11000,11000,29.4978,90.244
2,11000,11000,11000,29.551,90.0815
2,11000,11000,11000,29.6492,89.7833
2,11000,11000,11000,29.5932,89.9532
2,11000,11000,11000,29.4652,90.3439
2,11000,11000,11000,29.47,90.3292
4,11000,11000,11000,15.0893,176.416
4,11000,11000,11000,15.1353,175.88
4,11000,11000,11000,15.0812,176.511
4,11000,11000,11000,15.0232,177.193
4,11000,11000,11000,15.0299,177.113
4,11000,11000,11000,15.2137,174.974
4,11000,11000,11000,15.0775,176.554
4,11000,11000,11000,15.0259,177.16
4,11000,11000,11000,15.002,177.443
4,11000,11000,11000,14.998,177.491
8,11000,11000,11000,7.84813,339.189
8,11000,11000,11000,7.87055,338.223
8,11000,11000,11000,7.90128,336.907
8,11000,11000,11000,7.90086,336.925
8,11000,11000,11000,7.8846,337.62
8,11000,11000,11000,7.88074,337.785
8,11000,11000,11000,7.91486,336.329
8,11000,11000,11000,7.9372,335.383
8,11000,11000,11000,7.89031,337.376
8,11000,11000,11000,7.87645,337.969
16,11000,11000,11000,5.2353,508.471
16,11000,11000,11000,5.2416,507.86
16,11000,11000,11000,5.21948,510.012
16,11000,11000,11000,5.22608,509.368
16,11000,11000,11000,5.23009,508.978
16,11000,11000,11000,5.22958,509.028
16,11000,11000,11000,5.24708,507.329
16,11000,11000,11000,5.23594,508.409
16,11000,11000,11000,5.21661,510.293
16,11000,11000,11000,5.25535,506.531
24,11000,11000,11000,4.82158,552.101
24,11000,11000,11000,4.82035,552.242
24,11000,11000,11000,4.82009,552.272
24,11000,11000,11000,4.82549,551.653
24,11000,11000,11000,4.83745,550.29
24,11000,11000,11000,4.82537,551.668
24,11000,11000,11000,4.82409,551.814
24,11000,11000,11000,4.82085,552.185
24,11000,11000,11000,4.82711,551.469
24,11000,11000,11000,4.83082,551.046
32,11000,11000,11000,4.55751,584.09
32,11000,11000,11000,4.54914,585.166
32,11000,11000,11000,4.55082,584.95
32,11000,11000,11000,3.97564,669.578
32,11000,11000,11000,4.55263,584.717
32,11000,11000,11000,4.55795,584.034
32,11000,11000,11000,4.55878,583.929
32,11000,11000,11000,4.56875,582.655
32,11000,11000,11000,4.57219,582.216
32,11000,11000,11000,4.56164,583.562
48,11000,11000,11000,3.46345,768.597
48,11000,11000,11000,4.45557,597.454
48,11000,11000,11000,4.46353,596.39
48,11000,11000,11000,4.45131,598.027
48,11000,11000,11000,4.45697,597.266
48,11000,11000,11000,4.45717,597.24
48,11000,11000,11000,4.46563,596.108
48,11000,11000,11000,4.47103,595.388
48,11000,11000,11000,4.44656,598.666
48,11000,11000,11000,4.45988,596.876
64,11000,11000,11000,4.50718,590.613
64,11000,11000,11000,3.65389,728.54
64,11000,11000,11000,4.51354,589.78
64,11000,11000,11000,3.67478,724.396
64,11000,11000,11000,3.58373,742.801
64,11000,11000,11000,4.49615,592.063
64,11000,11000,11000,3.65293,728.73
64,11000,11000,11000,3.6069,738.031
64,11000,11000,11000,4.51946,589.008
64,11000,11000,11000,3.63757,731.807
