n_cores,m,n ,k,time,gflops
1,11000,11000,11000,41.7324,63.7873
1,11000,11000,11000,42.8583,62.1116
1,11000,11000,11000,41.6529,63.9091
1,11000,11000,11000,41.8788,63.5644
1,11000,11000,11000,42.3489,62.8588
1,11000,11000,11000,42.5553,62.5539
1,11000,11000,11000,41.7498,63.7608
1,11000,11000,11000,42.6481,62.4178
1,11000,11000,11000,42.0967,63.2354
1,11000,11000,11000,42.025,63.3432
2,11000,11000,11000,21.92,121.442
2,11000,11000,11000,22.0155,120.915
2,11000,11000,11000,21.7566,122.354
2,11000,11000,11000,21.7873,122.181
2,11000,11000,11000,21.7277,122.516
2,11000,11000,11000,21.9925,121.041
2,11000,11000,11000,21.8403,121.885
2,11000,11000,11000,21.8657,121.743
2,11000,11000,11000,21.7399,122.448
2,11000,11000,11000,21.683,122.769
4,11000,11000,11000,14.3936,184.943
4,11000,11000,11000,14.6049,182.268
4,11000,11000,11000,14.3608,185.366
4,11000,11000,11000,14.6217,182.058
4,11000,11000,11000,14.4809,183.829
4,11000,11000,11000,14.6947,181.154
4,11000,11000,11000,14.6215,182.061
4,11000,11000,11000,14.5808,182.568
4,11000,11000,11000,14.6402,181.828
4,11000,11000,11000,14.7067,181.006
8,11000,11000,11000,5.81967,457.414
8,11000,11000,11000,5.75126,462.855
8,11000,11000,11000,5.69664,467.293
8,11000,11000,11000,5.74361,463.471
8,11000,11000,11000,5.78005,460.55
8,11000,11000,11000,5.73691,464.013
8,11000,11000,11000,5.75614,462.463
8,11000,11000,11000,5.78166,460.421
8,11000,11000,11000,5.75258,462.749
8,11000,11000,11000,5.71065,466.147
16,11000,11000,11000,3.51945,756.367
16,11000,11000,11000,3.545,750.918
16,11000,11000,11000,3.53204,753.671
16,11000,11000,11000,3.53473,753.099
16,11000,11000,11000,3.53611,752.804
16,11000,11000,11000,3.54341,751.253
16,11000,11000,11000,3.5634,747.039
16,11000,11000,11000,3.55264,749.302
16,11000,11000,11000,3.55621,748.55
16,11000,11000,11000,3.55823,748.125
24,11000,11000,11000,2.51911,1056.72
24,11000,11000,11000,2.52522,1054.17
24,11000,11000,11000,2.52649,1053.64
24,11000,11000,11000,2.53142,1051.58
24,11000,11000,11000,2.51918,1056.69
24,11000,11000,11000,2.56047,1039.65
24,11000,11000,11000,2.52848,1052.81
24,11000,11000,11000,2.52299,1055.1
24,11000,11000,11000,2.51173,1059.83
24,11000,11000,11000,2.55271,1042.81
32,11000,11000,11000,2.20273,1208.5
32,11000,11000,11000,2.23024,1193.59
32,11000,11000,11000,2.28188,1166.58
32,11000,11000,11000,2.20781,1205.72
32,11000,11000,11000,2.253,1181.54
32,11000,11000,11000,2.22541,1196.18
32,11000,11000,11000,2.21799,1200.18
32,11000,11000,11000,2.18698,1217.2
32,11000,11000,11000,2.22041,1198.88
32,11000,11000,11000,2.20017,1209.91
48,11000,11000,11000,1.97642,1346.88
48,11000,11000,11000,1.96798,1352.65
48,11000,11000,11000,1.96421,1355.25
48,11000,11000,11000,1.96035,1357.92
48,11000,11000,11000,1.95381,1362.47
48,11000,11000,11000,1.95976,1358.33
48,11000,11000,11000,1.98191,1343.15
48,11000,11000,11000,1.98277,1342.57
48,11000,11000,11000,1.97906,1345.08
48,11000,11000,11000,1.98103,1343.75
64,11000,11000,11000,2.01215,1322.96
64,11000,11000,11000,1.9726,1349.49
64,11000,11000,11000,2.02683,1313.38
64,11000,11000,11000,2.04109,1304.21
64,11000,11000,11000,2.03267,1309.61
64,11000,11000,11000,2.05029,1298.35
64,11000,11000,11000,2.05271,1296.82
64,11000,11000,11000,2.05928,1292.68
64,11000,11000,11000,2.05698,1294.13
64,11000,11000,11000,2.04155,1303.91
