n_cores,m,n ,k,time,gflops
1,11000,11000,11000,57.3179,46.4428
1,11000,11000,11000,57.1948,46.5427
1,11000,11000,11000,57.3472,46.419
1,11000,11000,11000,57.1046,46.6162
1,11000,11000,11000,57.0067,46.6963
1,11000,11000,11000,57.1963,46.5415
1,11000,11000,11000,57.2835,46.4706
1,11000,11000,11000,57.2037,46.5354
1,11000,11000,11000,57.3526,46.4147
1,11000,11000,11000,57.1164,46.6066
2,11000,11000,11000,31.977,83.2474
2,11000,11000,11000,31.9105,83.4209
2,11000,11000,11000,31.8999,83.4485
2,11000,11000,11000,31.5107,84.4793
2,11000,11000,11000,31.5305,84.4261
2,11000,11000,11000,31.6384,84.1383
2,11000,11000,11000,31.7626,83.8093
2,11000,11000,11000,31.7941,83.7261
2,11000,11000,11000,31.7912,83.7338
2,11000,11000,11000,31.6742,84.0432
4,11000,11000,11000,15.8485,167.966
4,11000,11000,11000,15.7891,168.597
4,11000,11000,11000,15.8483,167.967
4,11000,11000,11000,15.8248,168.217
4,11000,11000,11000,15.748,169.037
4,11000,11000,11000,15.9503,166.894
4,11000,11000,11000,15.7541,168.972
4,11000,11000,11000,15.8773,167.66
4,11000,11000,11000,15.859,167.854
4,11000,11000,11000,15.8577,167.868
8,11000,11000,11000,7.95439,334.658
8,11000,11000,11000,7.89029,337.377
8,11000,11000,11000,7.92245,336.007
8,11000,11000,11000,7.92182,336.034
8,11000,11000,11000,7.96926,334.033
8,11000,11000,11000,7.98683,333.299
8,11000,11000,11000,8.26971,321.898
8,11000,11000,11000,7.96645,334.151
8,11000,11000,11000,7.98353,333.436
8,11000,11000,11000,7.9712,333.952
16,11000,11000,11000,5.01783,530.509
16,11000,11000,11000,4.72327,563.593
16,11000,11000,11000,4.75371,559.983
16,11000,11000,11000,4.73586,562.094
16,11000,11000,11000,4.78064,556.829
16,11000,11000,11000,4.71304,564.816
16,11000,11000,11000,4.69782,566.646
16,11000,11000,11000,4.75052,560.36
16,11000,11000,11000,5.01902,530.383
16,11000,11000,11000,4.80237,554.309
24,11000,11000,11000,4.77681,557.275
24,11000,11000,11000,4.80461,554.052
24,11000,11000,11000,4.59066,579.873
24,11000,11000,11000,4.57419,581.961
24,11000,11000,11000,4.57033,582.453
24,11000,11000,11000,4.58841,580.158
24,11000,11000,11000,4.56498,583.135
24,11000,11000,11000,4.58819,580.185
24,11000,11000,11000,3.81385,697.982
24,11000,11000,11000,4.58132,581.055
32,11000,11000,11000,4.24201,627.533
32,11000,11000,11000,4.48709,593.258
32,11000,11000,11000,3.56216,747.298
32,11000,11000,11000,4.43982,599.574
32,11000,11000,11000,4.52354,588.477
32,11000,11000,11000,4.5877,580.247
32,11000,11000,11000,3.59528,740.414
32,11000,11000,11000,4.52266,588.591
32,11000,11000,11000,4.46938,595.608
32,11000,11000,11000,4.51989,588.953
48,11000,11000,11000,4.56676,582.908
48,11000,11000,11000,4.56737,582.83
48,11000,11000,11000,3.73242,713.209
48,11000,11000,11000,4.60413,578.176
48,11000,11000,11000,3.75767,708.418
48,11000,11000,11000,3.69231,720.958
48,11000,11000,11000,4.58132,581.055
48,11000,11000,11000,3.67679,724.002
48,11000,11000,11000,4.61412,576.925
48,11000,11000,11000,4.59507,579.317
64,11000,11000,11000,3.79012,702.353
64,11000,11000,11000,4.67484,569.432
64,11000,11000,11000,3.8164,697.515
64,11000,11000,11000,4.61254,577.123
64,11000,11000,11000,4.67867,568.965
64,11000,11000,11000,3.87863,686.325
64,11000,11000,11000,4.64331,573.298
64,11000,11000,11000,3.84174,692.914
64,11000,11000,11000,3.89267,683.849
64,11000,11000,11000,4.6947,567.023
