n_cores,m,n ,k,time,gflops
1,11000,11000,11000,41.8495,63.6089
1,11000,11000,11000,41.6983,63.8396
1,11000,11000,11000,41.755,63.7528
1,11000,11000,11000,42.046,63.3116
1,11000,11000,11000,42.0173,63.3549
1,11000,11000,11000,41.8225,63.65
1,11000,11000,11000,41.8659,63.5839
1,11000,11000,11000,41.953,63.4519
1,11000,11000,11000,41.8683,63.5803
1,11000,11000,11000,41.9534,63.4514
2,11000,11000,11000,22.4796,118.419
2,11000,11000,11000,22.4225,118.72
2,11000,11000,11000,22.2699,119.534
2,11000,11000,11000,22.5593,118
2,11000,11000,11000,22.6408,117.575
2,11000,11000,11000,22.2992,119.376
2,11000,11000,11000,22.4496,118.577
2,11000,11000,11000,22.2051,119.882
2,11000,11000,11000,22.4375,118.641
2,11000,11000,11000,22.1831,120.001
4,11000,11000,11000,19.6302,135.607
4,11000,11000,11000,19.4177,137.091
4,11000,11000,11000,18.825,141.408
4,11000,11000,11000,19.2112,138.565
4,11000,11000,11000,18.7144,142.243
4,11000,11000,11000,18.8041,141.565
4,11000,11000,11000,18.772,141.807
4,11000,11000,11000,19.3742,137.399
4,11000,11000,11000,18.8307,141.365
4,11000,11000,11000,19.8821,133.889
8,11000,11000,11000,7.18621,370.432
8,11000,11000,11000,6.99652,380.475
8,11000,11000,11000,7.05522,377.309
8,11000,11000,11000,6.92629,384.333
8,11000,11000,11000,7.15911,371.834
8,11000,11000,11000,7.21577,368.914
8,11000,11000,11000,7.2091,369.256
8,11000,11000,11000,7.05047,377.563
8,11000,11000,11000,7.0214,379.126
8,11000,11000,11000,7.20148,369.646
16,11000,11000,11000,3.80929,698.818
16,11000,11000,11000,3.79754,700.981
16,11000,11000,11000,3.84243,692.791
16,11000,11000,11000,3.83974,693.276
16,11000,11000,11000,3.82295,696.321
16,11000,11000,11000,3.87074,687.724
16,11000,11000,11000,3.85577,690.394
16,11000,11000,11000,3.87728,686.563
16,11000,11000,11000,3.92159,678.806
16,11000,11000,11000,3.89616,683.237
24,11000,11000,11000,2.82459,942.438
24,11000,11000,11000,2.81853,944.464
24,11000,11000,11000,2.7923,953.336
24,11000,11000,11000,2.80393,949.383
24,11000,11000,11000,2.75589,965.932
24,11000,11000,11000,2.80255,949.848
24,11000,11000,11000,2.83018,940.576
24,11000,11000,11000,2.80257,949.843
24,11000,11000,11000,2.79591,952.105
24,11000,11000,11000,2.77857,958.047
32,11000,11000,11000,2.38505,1116.12
32,11000,11000,11000,2.20278,1208.47
32,11000,11000,11000,2.42394,1098.21
32,11000,11000,11000,2.21457,1202.04
32,11000,11000,11000,2.42414,1098.12
32,11000,11000,11000,2.18152,1220.25
32,11000,11000,11000,2.24115,1187.78
32,11000,11000,11000,2.2166,1200.94
32,11000,11000,11000,2.47108,1077.26
32,11000,11000,11000,4.42337,601.804
48,11000,11000,11000,4.7847,556.357
48,11000,11000,11000,3.28377,810.654
48,11000,11000,11000,4.74155,561.42
48,11000,11000,11000,3.25762,817.161
48,11000,11000,11000,4.56673,582.911
48,11000,11000,11000,4.70241,566.093
48,11000,11000,11000,4.79453,555.216
48,11000,11000,11000,3.25182,818.619
48,11000,11000,11000,4.6115,577.253
48,11000,11000,11000,3.29387,808.167
64,11000,11000,11000,4.63068,574.862
64,11000,11000,11000,4.62301,575.816
64,11000,11000,11000,4.6576,571.539
64,11000,11000,11000,4.63999,573.708
64,11000,11000,11000,3.8388,693.447
64,11000,11000,11000,4.65147,572.292
64,11000,11000,11000,3.22946,824.286
64,11000,11000,11000,4.62098,576.069
64,11000,11000,11000,3.73269,713.159
64,11000,11000,11000,4.65412,571.967
