n_cores,m,n ,k,time,gflops
1,11000,11000,11000,56.1051,47.4466
1,11000,11000,11000,55.9128,47.6099
1,11000,11000,11000,55.8274,47.6827
1,11000,11000,11000,55.8884,47.6307
1,11000,11000,11000,55.8964,47.6238
1,11000,11000,11000,55.9174,47.606
1,11000,11000,11000,56.0663,47.4795
1,11000,11000,11000,55.9272,47.5976
1,11000,11000,11000,55.9283,47.5966
1,11000,11000,11000,56.0833,47.4651
2,11000,11000,11000,28.6785,92.8222
2,11000,11000,11000,28.7491,92.5942
2,11000,11000,11000,28.6472,92.9234
2,11000,11000,11000,28.5107,93.3685
2,11000,11000,11000,28.8271,92.3437
2,11000,11000,11000,28.8413,92.2981
2,11000,11000,11000,28.5215,93.3332
2,11000,11000,11000,28.7188,92.6918
2,11000,11000,11000,28.8818,92.1686
2,11000,11000,11000,28.6398,92.9476
4,11000,11000,11000,14.4311,184.463
4,11000,11000,11000,14.4612,184.079
4,11000,11000,11000,14.3945,184.931
4,11000,11000,11000,14.3967,184.903
4,11000,11000,11000,14.4661,184.017
4,11000,11000,11000,14.3315,185.745
4,11000,11000,11000,14.4554,184.152
4,11000,11000,11000,14.3995,184.868
4,11000,11000,11000,14.3539,185.455
4,11000,11000,11000,14.3858,185.044
8,11000,11000,11000,7.52592,353.711
8,11000,11000,11000,7.59343,350.566
8,11000,11000,11000,7.52606,353.705
8,11000,11000,11000,7.55131,352.522
8,11000,11000,11000,7.64184,348.345
8,11000,11000,11000,7.54658,352.742
8,11000,11000,11000,7.55789,352.215
8,11000,11000,11000,7.56524,351.872
8,11000,11000,11000,7.56172,352.036
8,11000,11000,11000,7.57404,351.464
16,11000,11000,11000,4.15552,640.594
16,11000,11000,11000,4.15657,640.432
16,11000,11000,11000,4.13062,644.456
16,11000,11000,11000,4.17275,637.948
16,11000,11000,11000,4.12804,644.858
16,11000,11000,11000,4.15938,640
16,11000,11000,11000,4.14776,641.792
16,11000,11000,11000,4.12324,645.609
16,11000,11000,11000,4.1509,641.306
16,11000,11000,11000,4.14755,641.825
24,11000,11000,11000,3.08358,863.282
24,11000,11000,11000,3.07923,864.501
24,11000,11000,11000,3.05687,870.824
24,11000,11000,11000,3.06038,869.828
24,11000,11000,11000,3.06556,868.355
24,11000,11000,11000,3.08306,863.427
24,11000,11000,11000,3.06158,869.485
24,11000,11000,11000,3.05566,871.171
24,11000,11000,11000,3.0552,871.301
24,11000,11000,11000,3.0576,870.619
32,11000,11000,11000,2.87402,926.228
32,11000,11000,11000,2.88711,922.029
32,11000,11000,11000,2.74219,970.758
32,11000,11000,11000,2.85251,933.213
32,11000,11000,11000,2.84977,934.111
32,11000,11000,11000,2.84726,934.933
32,11000,11000,11000,2.88304,923.331
32,11000,11000,11000,2.87484,925.966
32,11000,11000,11000,2.84725,934.937
32,11000,11000,11000,2.87498,925.921
48,11000,11000,11000,2.81781,944.705
48,11000,11000,11000,2.85349,932.893
48,11000,11000,11000,2.83887,937.695
48,11000,11000,11000,2.76496,962.762
48,11000,11000,11000,2.74674,969.149
48,11000,11000,11000,2.84977,934.111
48,11000,11000,11000,2.85731,931.646
48,11000,11000,11000,2.8352,938.911
48,11000,11000,11000,2.83555,938.794
48,11000,11000,11000,2.81752,944.802
64,11000,11000,11000,3.25238,818.477
64,11000,11000,11000,3.1976,832.499
64,11000,11000,11000,3.28608,810.083
64,11000,11000,11000,3.19969,831.954
64,11000,11000,11000,3.20551,830.444
64,11000,11000,11000,3.26485,815.352
64,11000,11000,11000,3.20517,830.532
64,11000,11000,11000,3.23545,822.761
64,11000,11000,11000,3.28147,811.221
64,11000,11000,11000,3.24581,820.134
