n_cores,m,n ,k,time,gflops
1,11000,11000,11000,27.7123,96.0584
1,11000,11000,11000,27.7884,95.7954
1,11000,11000,11000,27.9388,95.2795
1,11000,11000,11000,27.7529,95.9178
1,11000,11000,11000,28.1336,94.6198
1,11000,11000,11000,27.6087,96.4188
1,11000,11000,11000,27.8882,95.4526
1,11000,11000,11000,27.3702,97.2591
1,11000,11000,11000,27.3957,97.1685
1,11000,11000,11000,28.2101,94.3635
2,11000,11000,11000,14.2317,187.047
2,11000,11000,11000,14.1802,187.726
2,11000,11000,11000,14.2504,186.801
2,11000,11000,11000,14.1962,187.515
2,11000,11000,11000,14.0804,189.057
2,11000,11000,11000,14.2222,187.172
2,11000,11000,11000,14.1229,188.488
2,11000,11000,11000,14.0293,189.745
2,11000,11000,11000,14.1692,187.872
2,11000,11000,11000,14.0806,189.054
4,11000,11000,11000,7.19866,369.791
4,11000,11000,11000,7.1145,374.165
4,11000,11000,11000,7.13589,373.044
4,11000,11000,11000,7.10059,374.898
4,11000,11000,11000,7.08587,375.677
4,11000,11000,11000,7.1039,374.724
4,11000,11000,11000,7.05274,377.442
4,11000,11000,11000,7.09501,375.193
4,11000,11000,11000,7.05506,377.318
4,11000,11000,11000,7.08747,375.592
8,11000,11000,11000,3.69956,719.544
8,11000,11000,11000,3.66713,725.908
8,11000,11000,11000,3.66893,725.553
8,11000,11000,11000,3.71285,716.969
8,11000,11000,11000,3.68364,722.654
8,11000,11000,11000,3.6741,724.531
8,11000,11000,11000,3.65935,727.451
8,11000,11000,11000,3.69015,721.379
8,11000,11000,11000,3.70526,718.439
8,11000,11000,11000,3.67096,725.152
16,11000,11000,11000,2.03639,1307.22
16,11000,11000,11000,2.02222,1316.38
16,11000,11000,11000,2.02222,1316.37
16,11000,11000,11000,2.06678,1287.99
16,11000,11000,11000,2.02317,1315.76
16,11000,11000,11000,2.07062,1285.6
16,11000,11000,11000,2.05519,1295.25
16,11000,11000,11000,2.03571,1307.65
16,11000,11000,11000,2.04633,1300.87
16,11000,11000,11000,2.02123,1317.02
24,11000,11000,11000,1.5791,1685.77
24,11000,11000,11000,1.61511,1648.19
24,11000,11000,11000,1.58003,1684.78
24,11000,11000,11000,1.58771,1676.63
24,11000,11000,11000,1.58003,1684.78
24,11000,11000,11000,1.585,1679.5
24,11000,11000,11000,1.58217,1682.5
24,11000,11000,11000,1.58418,1680.37
24,11000,11000,11000,1.60189,1661.79
24,11000,11000,11000,1.58499,1679.5
32,11000,11000,11000,1.67754,1586.85
32,11000,11000,11000,1.67609,1588.22
32,11000,11000,11000,1.67777,1586.63
32,11000,11000,11000,1.67254,1591.59
32,11000,11000,11000,1.67338,1590.79
32,11000,11000,11000,1.67879,1585.67
32,11000,11000,11000,1.67531,1588.96
32,11000,11000,11000,1.6843,1580.48
32,11000,11000,11000,1.67437,1589.86
32,11000,11000,11000,1.68332,1581.4
48,11000,11000,11000,1.32449,2009.83
48,11000,11000,11000,1.32389,2010.75
48,11000,11000,11000,1.30895,2033.69
48,11000,11000,11000,1.31709,2021.13
48,11000,11000,11000,1.30108,2045.99
48,11000,11000,11000,1.2996,2048.33
48,11000,11000,11000,1.32927,2002.6
48,11000,11000,11000,1.31564,2023.35
48,11000,11000,11000,1.32029,2016.22
48,11000,11000,11000,1.32435,2010.04
64,11000,11000,11000,1.55586,1710.95
64,11000,11000,11000,1.49428,1781.46
64,11000,11000,11000,1.5139,1758.37
64,11000,11000,11000,1.52838,1741.71
64,11000,11000,11000,1.49429,1781.44
64,11000,11000,11000,1.54011,1728.45
64,11000,11000,11000,1.5672,1698.58
64,11000,11000,11000,1.4911,1785.25
64,11000,11000,11000,1.5565,1710.24
64,11000,11000,11000,1.5252,1745.34
