n_cores,m,n ,k,time,gflops
1,11000,11000,11000,56.5999,47.0319
1,11000,11000,11000,56.5569,47.0676
1,11000,11000,11000,56.7142,46.9371
1,11000,11000,11000,56.7254,46.9279
1,11000,11000,11000,56.7735,46.888
1,11000,11000,11000,56.5353,47.0856
1,11000,11000,11000,56.6089,47.0244
1,11000,11000,11000,56.4223,47.18
1,11000,11000,11000,56.3256,47.2609
1,11000,11000,11000,56.5869,47.0427
2,11000,11000,11000,30.0718,88.5213
2,11000,11000,11000,30.0177,88.681
2,11000,11000,11000,29.9546,88.8677
2,11000,11000,11000,29.9628,88.8435
2,11000,11000,11000,29.9629,88.8432
2,11000,11000,11000,29.9324,88.9338
2,11000,11000,11000,29.9061,89.0118
2,11000,11000,11000,29.8828,89.0815
2,11000,11000,11000,29.971,88.8191
2,11000,11000,11000,30.009,88.7069
4,11000,11000,11000,15.0968,176.328
4,11000,11000,11000,15.0616,176.741
4,11000,11000,11000,15.0316,177.094
4,11000,11000,11000,15.0079,177.373
4,11000,11000,11000,14.9779,177.728
4,11000,11000,11000,14.9976,177.496
4,11000,11000,11000,15.1163,176.102
4,11000,11000,11000,14.9905,177.579
4,11000,11000,11000,15.0875,176.437
4,11000,11000,11000,15.0188,177.245
8,11000,11000,11000,7.49997,354.935
8,11000,11000,11000,7.51899,354.037
8,11000,11000,11000,7.4947,355.185
8,11000,11000,11000,7.50141,354.867
8,11000,11000,11000,7.52234,353.879
8,11000,11000,11000,7.50424,354.733
8,11000,11000,11000,7.50028,354.92
8,11000,11000,11000,7.51273,354.332
8,11000,11000,11000,7.50869,354.523
8,11000,11000,11000,7.48486,355.651
16,11000,11000,11000,3.96066,672.11
16,11000,11000,11000,3.94222,675.255
16,11000,11000,11000,3.96114,672.029
16,11000,11000,11000,3.94178,675.33
16,11000,11000,11000,3.96576,671.246
16,11000,11000,11000,3.96195,671.892
16,11000,11000,11000,3.96401,671.541
16,11000,11000,11000,3.9171,679.584
16,11000,11000,11000,3.95988,672.243
16,11000,11000,11000,3.96723,670.997
24,11000,11000,11000,3.26421,815.512
24,11000,11000,11000,3.27092,813.839
24,11000,11000,11000,3.33847,797.371
24,11000,11000,11000,3.28185,811.129
24,11000,11000,11000,3.31884,802.088
24,11000,11000,11000,3.27151,813.691
24,11000,11000,11000,3.28057,811.445
24,11000,11000,11000,3.26697,814.823
24,11000,11000,11000,3.33326,798.617
24,11000,11000,11000,3.2522,818.523
32,11000,11000,11000,3.50603,759.263
32,11000,11000,11000,3.54306,751.327
32,11000,11000,11000,3.52107,756.021
32,11000,11000,11000,3.52515,755.145
32,11000,11000,11000,3.53529,752.98
32,11000,11000,11000,3.51659,756.982
32,11000,11000,11000,3.55189,749.461
32,11000,11000,11000,3.53693,752.63
32,11000,11000,11000,3.52054,756.135
32,11000,11000,11000,3.50867,758.692
48,11000,11000,11000,3.61443,736.492
48,11000,11000,11000,3.58649,742.23
48,11000,11000,11000,3.61905,735.551
48,11000,11000,11000,3.58984,741.537
48,11000,11000,11000,3.60865,737.672
48,11000,11000,11000,3.59676,740.11
48,11000,11000,11000,3.57327,744.977
48,11000,11000,11000,3.58946,741.617
48,11000,11000,11000,3.59581,740.306
48,11000,11000,11000,3.59236,741.018
64,11000,11000,11000,3.92678,677.909
64,11000,11000,11000,3.93467,676.55
64,11000,11000,11000,3.95524,673.031
64,11000,11000,11000,3.93111,677.163
64,11000,11000,11000,3.9049,681.708
64,11000,11000,11000,3.92023,679.042
64,11000,11000,11000,3.92505,678.208
64,11000,11000,11000,3.9141,680.105
64,11000,11000,11000,3.96179,671.918
64,11000,11000,11000,3.92297,678.567
