n_cores,m,n ,k,time,gflops
1,11000,11000,11000,28.3676,93.8396
1,11000,11000,11000,27.716,96.0457
1,11000,11000,11000,27.8937,95.4337
1,11000,11000,11000,27.6146,96.3984
1,11000,11000,11000,27.5086,96.7696
1,11000,11000,11000,27.5339,96.6807
1,11000,11000,11000,27.9329,95.2999
1,11000,11000,11000,27.8026,95.7465
1,11000,11000,11000,27.7771,95.8343
1,11000,11000,11000,28.0454,94.9175
2,11000,11000,11000,15.14,175.826
2,11000,11000,11000,14.8528,179.226
2,11000,11000,11000,15.353,173.387
2,11000,11000,11000,14.8727,178.986
2,11000,11000,11000,15.122,176.035
2,11000,11000,11000,15.1575,175.623
2,11000,11000,11000,14.9438,178.133
2,11000,11000,11000,15.4833,171.927
2,11000,11000,11000,15.1056,176.226
2,11000,11000,11000,15.0375,177.025
4,11000,11000,11000,7.5647,351.898
4,11000,11000,11000,7.63122,348.83
4,11000,11000,11000,7.56348,351.954
4,11000,11000,11000,7.51001,354.46
4,11000,11000,11000,7.63715,348.559
4,11000,11000,11000,7.65085,347.935
4,11000,11000,11000,7.5186,354.055
4,11000,11000,11000,7.61211,349.706
4,11000,11000,11000,7.53088,353.478
4,11000,11000,11000,7.59138,350.661
8,11000,11000,11000,3.77791,704.622
8,11000,11000,11000,3.79287,701.844
8,11000,11000,11000,3.78267,703.735
8,11000,11000,11000,3.78476,703.348
8,11000,11000,11000,3.82258,696.388
8,11000,11000,11000,3.78028,704.18
8,11000,11000,11000,3.76873,706.339
8,11000,11000,11000,3.8611,689.441
8,11000,11000,11000,3.77067,705.975
8,11000,11000,11000,3.75391,709.127
16,11000,11000,11000,2.11399,1259.23
16,11000,11000,11000,2.13074,1249.33
16,11000,11000,11000,2.21245,1203.19
16,11000,11000,11000,2.14214,1242.68
16,11000,11000,11000,2.13847,1244.82
16,11000,11000,11000,2.10448,1264.92
16,11000,11000,11000,2.15743,1233.87
16,11000,11000,11000,2.12892,1250.4
16,11000,11000,11000,3.93023,677.315
16,11000,11000,11000,3.91786,679.453
24,11000,11000,11000,3.29094,808.886
24,11000,11000,11000,3.27369,813.151
24,11000,11000,11000,3.2769,812.352
24,11000,11000,11000,3.31671,802.603
24,11000,11000,11000,3.32816,799.842
24,11000,11000,11000,3.65341,728.634
24,11000,11000,11000,3.27423,813.016
24,11000,11000,11000,3.26381,815.611
24,11000,11000,11000,3.25628,817.498
24,11000,11000,11000,3.26782,814.61
32,11000,11000,11000,3.51285,757.789
32,11000,11000,11000,3.53427,753.196
32,11000,11000,11000,3.46958,767.24
32,11000,11000,11000,3.51776,756.732
32,11000,11000,11000,3.50264,759.999
32,11000,11000,11000,3.51375,757.595
32,11000,11000,11000,3.51757,756.773
32,11000,11000,11000,3.53007,754.093
32,11000,11000,11000,3.52791,754.554
32,11000,11000,11000,3.5194,756.378
48,11000,11000,11000,3.62631,734.079
48,11000,11000,11000,3.60702,738.006
48,11000,11000,11000,3.58069,743.431
48,11000,11000,11000,3.65539,728.239
48,11000,11000,11000,3.57219,745.202
48,11000,11000,11000,3.60863,737.676
48,11000,11000,11000,3.61571,736.232
48,11000,11000,11000,3.61189,737.009
48,11000,11000,11000,3.60922,737.556
48,11000,11000,11000,3.53723,752.566
64,11000,11000,11000,3.91662,679.668
64,11000,11000,11000,3.92439,678.322
64,11000,11000,11000,3.89586,683.289
64,11000,11000,11000,3.94231,675.239
64,11000,11000,11000,3.91195,680.479
64,11000,11000,11000,3.90686,681.365
64,11000,11000,11000,3.95543,673
64,11000,11000,11000,3.92879,677.563
64,11000,11000,11000,3.93783,676.006
64,11000,11000,11000,3.92287,678.585
