n_cores,m,n ,k,time,gflops
1,11000,11000,11000,55.8296,47.6808
1,11000,11000,11000,56.332,47.2556
1,11000,11000,11000,55.6922,47.7984
1,11000,11000,11000,56.3299,47.2573
1,11000,11000,11000,56.2919,47.2892
1,11000,11000,11000,56.2835,47.2962
1,11000,11000,11000,56.0531,47.4906
1,11000,11000,11000,55.8519,47.6618
1,11000,11000,11000,56.5306,47.0896
1,11000,11000,11000,56.423,47.1793
2,11000,11000,11000,29.8992,89.0323
2,11000,11000,11000,29.9544,88.8683
2,11000,11000,11000,29.9327,88.933
2,11000,11000,11000,30.0877,88.4748
2,11000,11000,11000,29.9549,88.867
2,11000,11000,11000,29.9203,88.9697
2,11000,11000,11000,29.9957,88.746
2,11000,11000,11000,30.0361,88.6268
2,11000,11000,11000,30.0974,88.4462
2,11000,11000,11000,29.9976,88.7403
4,11000,11000,11000,15.0188,177.245
4,11000,11000,11000,15.294,174.055
4,11000,11000,11000,14.8757,178.95
4,11000,11000,11000,15.0031,177.43
4,11000,11000,11000,15.0337,177.068
4,11000,11000,11000,15.7537,168.976
4,11000,11000,11000,14.9949,177.527
4,11000,11000,11000,15.1434,175.786
4,11000,11000,11000,15.156,175.64
4,11000,11000,11000,15.1275,175.971
8,11000,11000,11000,7.47459,356.14
8,11000,11000,11000,7.52093,353.946
8,11000,11000,11000,7.9077,336.634
8,11000,11000,11000,7.60403,350.078
8,11000,11000,11000,7.87118,338.196
8,11000,11000,11000,7.67365,346.901
8,11000,11000,11000,7.80693,340.979
8,11000,11000,11000,7.54764,352.693
8,11000,11000,11000,7.69835,345.788
8,11000,11000,11000,7.66599,347.248
16,11000,11000,11000,3.95105,673.744
16,11000,11000,11000,3.95988,672.243
16,11000,11000,11000,3.98717,667.642
16,11000,11000,11000,3.94277,675.16
16,11000,11000,11000,3.9472,674.403
16,11000,11000,11000,3.98124,668.636
16,11000,11000,11000,3.93573,676.367
16,11000,11000,11000,3.97777,669.219
16,11000,11000,11000,3.94282,675.152
16,11000,11000,11000,3.95283,673.442
24,11000,11000,11000,3.40258,782.349
24,11000,11000,11000,3.41369,779.802
24,11000,11000,11000,3.33091,799.181
24,11000,11000,11000,3.39847,783.295
24,11000,11000,11000,3.42085,778.169
24,11000,11000,11000,3.39751,783.515
24,11000,11000,11000,3.4003,782.873
24,11000,11000,11000,3.41836,778.736
24,11000,11000,11000,3.40937,780.788
24,11000,11000,11000,3.36548,790.972
32,11000,11000,11000,3.48372,764.125
32,11000,11000,11000,3.51554,757.209
32,11000,11000,11000,3.54788,750.307
32,11000,11000,11000,3.56244,747.241
32,11000,11000,11000,3.55365,749.088
32,11000,11000,11000,3.54566,750.778
32,11000,11000,11000,3.53921,752.145
32,11000,11000,11000,3.57375,744.877
32,11000,11000,11000,3.55778,748.219
32,11000,11000,11000,3.53303,753.46
48,11000,11000,11000,3.9354,676.425
48,11000,11000,11000,3.88244,685.65
48,11000,11000,11000,3.81257,698.216
48,11000,11000,11000,3.89692,683.103
48,11000,11000,11000,3.88116,685.878
48,11000,11000,11000,3.92418,678.358
48,11000,11000,11000,3.91381,680.155
48,11000,11000,11000,3.93194,677.019
48,11000,11000,11000,3.88468,685.256
48,11000,11000,11000,3.89294,683.801
64,11000,11000,11000,4.44695,598.612
64,11000,11000,11000,4.36637,609.659
64,11000,11000,11000,4.3577,610.872
64,11000,11000,11000,4.30398,618.498
64,11000,11000,11000,4.28042,621.902
64,11000,11000,11000,3.33617,797.921
64,11000,11000,11000,4.3928,605.992
64,11000,11000,11000,4.34297,612.944
64,11000,11000,11000,4.17421,637.726
64,11000,11000,11000,4.35883,610.714
