n_cores,m,n ,k,time,gflops
1,11000,11000,11000,27.5731,96.5435
1,11000,11000,11000,27.3581,97.3021
1,11000,11000,11000,27.459,96.9445
1,11000,11000,11000,27.3784,97.2298
1,11000,11000,11000,27.2464,97.7009
1,11000,11000,11000,27.2317,97.7537
1,11000,11000,11000,27.3144,97.4578
1,11000,11000,11000,27.2074,97.8411
1,11000,11000,11000,27.457,96.9518
1,11000,11000,11000,28.2803,94.129
2,11000,11000,11000,15.0704,176.637
2,11000,11000,11000,14.7866,180.027
2,11000,11000,11000,14.855,179.199
2,11000,11000,11000,14.5581,182.853
2,11000,11000,11000,15.246,174.603
2,11000,11000,11000,15.1944,175.197
2,11000,11000,11000,14.6798,181.338
2,11000,11000,11000,15.078,176.548
2,11000,11000,11000,15.2056,175.067
2,11000,11000,11000,15.4732,172.039
4,11000,11000,11000,7.46604,356.548
4,11000,11000,11000,7.47129,356.297
4,11000,11000,11000,7.48259,355.759
4,11000,11000,11000,7.4762,356.063
4,11000,11000,11000,7.51248,354.344
4,11000,11000,11000,7.84499,339.325
4,11000,11000,11000,7.34183,362.58
4,11000,11000,11000,7.49148,355.337
4,11000,11000,11000,7.44221,357.689
4,11000,11000,11000,7.44201,357.699
8,11000,11000,11000,3.80223,700.115
8,11000,11000,11000,3.80989,698.708
8,11000,11000,11000,3.88044,686.004
8,11000,11000,11000,3.89359,683.688
8,11000,11000,11000,3.86723,688.349
8,11000,11000,11000,3.81428,697.903
8,11000,11000,11000,3.88184,685.758
8,11000,11000,11000,3.81989,696.879
8,11000,11000,11000,3.85287,690.914
8,11000,11000,11000,3.82201,696.492
16,11000,11000,11000,2.17609,1223.29
16,11000,11000,11000,2.17745,1222.53
16,11000,11000,11000,2.20666,1206.35
16,11000,11000,11000,2.18712,1217.13
16,11000,11000,11000,2.15002,1238.13
16,11000,11000,11000,2.15306,1236.38
16,11000,11000,11000,2.19688,1211.72
16,11000,11000,11000,2.18142,1220.3
16,11000,11000,11000,2.18212,1219.91
16,11000,11000,11000,2.17809,1222.17
24,11000,11000,11000,2.25948,1178.15
24,11000,11000,11000,2.25798,1178.93
24,11000,11000,11000,2.30156,1156.61
24,11000,11000,11000,2.25323,1181.41
24,11000,11000,11000,2.26267,1176.49
24,11000,11000,11000,2.26027,1177.74
24,11000,11000,11000,2.2604,1177.67
24,11000,11000,11000,2.26048,1177.62
24,11000,11000,11000,2.29835,1158.22
24,11000,11000,11000,2.25221,1181.95
32,11000,11000,11000,2.59224,1026.91
32,11000,11000,11000,2.71295,981.218
32,11000,11000,11000,2.60966,1020.06
32,11000,11000,11000,3.52445,755.296
32,11000,11000,11000,3.58218,743.122
32,11000,11000,11000,3.54778,750.328
32,11000,11000,11000,3.58602,742.328
32,11000,11000,11000,3.52943,754.229
32,11000,11000,11000,3.60209,739.016
32,11000,11000,11000,3.45697,770.039
48,11000,11000,11000,3.84453,692.413
48,11000,11000,11000,3.84019,693.195
48,11000,11000,11000,3.9125,680.383
48,11000,11000,11000,3.92721,677.835
48,11000,11000,11000,3.92293,678.575
48,11000,11000,11000,3.95041,673.853
48,11000,11000,11000,3.98757,667.575
48,11000,11000,11000,3.93045,677.276
48,11000,11000,11000,3.94566,674.666
48,11000,11000,11000,3.92681,677.904
64,11000,11000,11000,3.33001,799.398
64,11000,11000,11000,4.36061,610.465
64,11000,11000,11000,4.41634,602.762
64,11000,11000,11000,3.33432,798.363
64,11000,11000,11000,4.38006,607.754
64,11000,11000,11000,4.42417,601.695
64,11000,11000,11000,4.31159,617.406
64,11000,11000,11000,4.35851,610.759
64,11000,11000,11000,4.34038,613.311
64,11000,11000,11000,4.34398,612.802
