n_cores,m,n ,k,time,gflops
1,11000,11000,11000,55.8614,47.6537
1,11000,11000,11000,55.9845,47.5489
1,11000,11000,11000,56.1085,47.4438
1,11000,11000,11000,56.2049,47.3624
1,11000,11000,11000,56.3835,47.2124
1,11000,11000,11000,55.9629,47.5672
1,11000,11000,11000,56.0027,47.5335
1,11000,11000,11000,55.5056,47.9591
1,11000,11000,11000,55.9468,47.5809
1,11000,11000,11000,56.1448,47.4131
2,11000,11000,11000,29.9975,88.7407
2,11000,11000,11000,30.0242,88.6617
2,11000,11000,11000,30.2562,87.9818
2,11000,11000,11000,30.0448,88.6009
2,11000,11000,11000,29.7566,89.4592
2,11000,11000,11000,30.0473,88.5938
2,11000,11000,11000,29.8782,89.0951
2,11000,11000,11000,29.9388,88.9148
2,11000,11000,11000,30.0946,88.4544
2,11000,11000,11000,30.0032,88.7238
4,11000,11000,11000,15.5735,170.931
4,11000,11000,11000,15.7368,169.157
4,11000,11000,11000,15.4422,172.384
4,11000,11000,11000,15.3533,173.383
4,11000,11000,11000,15.2384,174.69
4,11000,11000,11000,15.7396,169.127
4,11000,11000,11000,15.5155,171.57
4,11000,11000,11000,14.9981,177.489
4,11000,11000,11000,15.7499,169.016
4,11000,11000,11000,15.3828,173.05
8,11000,11000,11000,7.63009,348.882
8,11000,11000,11000,7.53003,353.518
8,11000,11000,11000,7.69877,345.769
8,11000,11000,11000,7.47701,356.025
8,11000,11000,11000,7.79183,341.64
8,11000,11000,11000,7.66881,347.12
8,11000,11000,11000,7.80627,341.008
8,11000,11000,11000,7.53159,353.444
8,11000,11000,11000,7.65949,347.543
8,11000,11000,11000,7.69136,346.103
16,11000,11000,11000,4.0049,664.686
16,11000,11000,11000,4.00421,664.8
16,11000,11000,11000,4.00835,664.114
16,11000,11000,11000,3.96778,670.903
16,11000,11000,11000,3.97474,669.729
16,11000,11000,11000,4.06442,654.952
16,11000,11000,11000,3.97787,669.202
16,11000,11000,11000,3.98925,667.293
16,11000,11000,11000,4.11453,646.975
16,11000,11000,11000,4.0137,663.229
24,11000,11000,11000,3.32651,800.237
24,11000,11000,11000,3.34953,794.74
24,11000,11000,11000,3.2813,811.263
24,11000,11000,11000,3.26501,815.311
24,11000,11000,11000,3.29029,809.048
24,11000,11000,11000,3.40574,781.621
24,11000,11000,11000,3.30081,806.468
24,11000,11000,11000,3.28706,809.843
24,11000,11000,11000,3.39459,784.189
24,11000,11000,11000,3.29332,808.304
32,11000,11000,11000,3.4935,761.986
32,11000,11000,11000,3.50502,759.481
32,11000,11000,11000,3.5435,751.235
32,11000,11000,11000,3.47989,764.968
32,11000,11000,11000,3.42904,776.31
32,11000,11000,11000,3.46956,767.243
32,11000,11000,11000,3.49745,761.125
32,11000,11000,11000,3.5906,741.38
32,11000,11000,11000,3.54806,750.268
32,11000,11000,11000,3.50171,760.2
48,11000,11000,11000,3.94493,674.791
48,11000,11000,11000,3.87761,686.505
48,11000,11000,11000,3.89509,683.425
48,11000,11000,11000,3.97106,670.35
48,11000,11000,11000,3.89979,682.601
48,11000,11000,11000,3.33737,797.633
48,11000,11000,11000,3.89207,683.955
48,11000,11000,11000,3.8531,690.873
48,11000,11000,11000,3.91413,680.1
48,11000,11000,11000,3.88263,685.617
64,11000,11000,11000,3.97681,669.38
64,11000,11000,11000,4.3384,613.591
64,11000,11000,11000,2.85877,931.17
64,11000,11000,11000,4.34294,612.949
64,11000,11000,11000,4.28881,620.684
64,11000,11000,11000,4.38068,607.668
64,11000,11000,11000,4.35566,611.159
64,11000,11000,11000,4.29017,620.488
64,11000,11000,11000,3.89848,682.83
64,11000,11000,11000,4.32728,615.167
