n_cores,m,n ,k,time,gflops
1,11000,11000,11000,27.4291,97.05
1,11000,11000,11000,27.2585,97.6576
1,11000,11000,11000,27.653,96.2645
1,11000,11000,11000,27.2095,97.8335
1,11000,11000,11000,27.229,97.7635
1,11000,11000,11000,27.6055,96.4301
1,11000,11000,11000,27.2339,97.7458
1,11000,11000,11000,27.2463,97.7012
2,11000,11000,11000,14.878,178.922
2,11000,11000,11000,14.6947,181.154
2,11000,11000,11000,15.2924,174.074
2,11000,11000,11000,14.8818,178.876
2,11000,11000,11000,14.6695,181.465
2,11000,11000,11000,15.3431,173.498
2,11000,11000,11000,15.2378,174.698
2,11000,11000,11000,15.1006,176.284
2,11000,11000,11000,14.8527,179.227
2,11000,11000,11000,14.9327,178.267
4,11000,11000,11000,7.39174,360.132
4,11000,11000,11000,7.2573,366.803
4,11000,11000,11000,7.68359,346.453
4,11000,11000,11000,7.59203,350.631
4,11000,11000,11000,7.32459,363.433
4,11000,11000,11000,7.54213,352.951
4,11000,11000,11000,7.4712,356.302
4,11000,11000,11000,7.53756,353.165
4,11000,11000,11000,7.47399,356.169
4,11000,11000,11000,7.35102,362.126
8,11000,11000,11000,3.86929,687.981
8,11000,11000,11000,3.84379,692.546
8,11000,11000,11000,3.87444,687.066
8,11000,11000,11000,3.73328,713.046
8,11000,11000,11000,3.74897,710.061
8,11000,11000,11000,3.92102,678.905
8,11000,11000,11000,3.75999,707.981
8,11000,11000,11000,3.87158,687.575
8,11000,11000,11000,3.73977,711.808
8,11000,11000,11000,3.84805,691.779
16,11000,11000,11000,2.13896,1244.53
16,11000,11000,11000,2.14576,1240.59
16,11000,11000,11000,2.14326,1242.03
16,11000,11000,11000,2.13884,1244.6
16,11000,11000,11000,2.17264,1225.24
16,11000,11000,11000,2.16385,1230.22
16,11000,11000,11000,2.22156,1198.25
16,11000,11000,11000,2.17852,1221.93
16,11000,11000,11000,2.14349,1241.9
16,11000,11000,11000,2.16427,1229.98
24,11000,11000,11000,2.15467,1235.46
24,11000,11000,11000,2.17626,1223.2
24,11000,11000,11000,2.27613,1169.53
24,11000,11000,11000,2.16268,1230.88
24,11000,11000,11000,2.26219,1176.73
24,11000,11000,11000,2.16615,1228.91
24,11000,11000,11000,2.13422,1247.29
24,11000,11000,11000,2.16716,1228.33
24,11000,11000,11000,2.22271,1197.64
24,11000,11000,11000,2.17887,1221.74
32,11000,11000,11000,2.53233,1051.2
32,11000,11000,11000,2.54174,1047.31
32,11000,11000,11000,2.55263,1042.84
32,11000,11000,11000,2.63507,1010.22
32,11000,11000,11000,2.10806,1262.77
32,11000,11000,11000,2.02652,1313.58
32,11000,11000,11000,2.50419,1063.02
32,11000,11000,11000,2.47071,1077.42
32,11000,11000,11000,2.07753,1281.33
32,11000,11000,11000,2.51187,1059.77
48,11000,11000,11000,2.32088,1146.98
48,11000,11000,11000,2.32705,1143.94
48,11000,11000,11000,2.24988,1183.18
48,11000,11000,11000,2.26143,1177.13
48,11000,11000,11000,2.3592,1128.35
48,11000,11000,11000,1.90888,1394.53
48,11000,11000,11000,2.29476,1160.03
48,11000,11000,11000,2.43919,1091.35
48,11000,11000,11000,2.28716,1163.89
48,11000,11000,11000,2.43464,1093.38
64,11000,11000,11000,2.36418,1125.97
64,11000,11000,11000,1.95455,1361.95
64,11000,11000,11000,2.59402,1026.21
64,11000,11000,11000,2.38872,1114.4
64,11000,11000,11000,2.34658,1134.42
64,11000,11000,11000,2.15392,1235.89
64,11000,11000,11000,2.45975,1082.22
64,11000,11000,11000,2.42394,1098.21
64,11000,11000,11000,2.43123,1094.92
64,11000,11000,11000,1.96704,1353.3
