n_cores,m,n ,k,time,gflops
1,11000,11000,11000,55.9581,47.5713
1,11000,11000,11000,56.2583,47.3174
1,11000,11000,11000,55.8817,47.6364
1,11000,11000,11000,56.0488,47.4943
1,11000,11000,11000,55.9033,47.6179
1,11000,11000,11000,56.0309,47.5095
1,11000,11000,11000,55.946,47.5816
1,11000,11000,11000,55.9474,47.5804
1,11000,11000,11000,56.2571,47.3184
1,11000,11000,11000,56.2006,47.3661
2,11000,11000,11000,28.7003,92.7515
2,11000,11000,11000,28.6551,92.898
2,11000,11000,11000,28.6862,92.7972
2,11000,11000,11000,28.7755,92.5093
2,11000,11000,11000,28.6948,92.7695
2,11000,11000,11000,28.596,93.0899
2,11000,11000,11000,28.9054,92.0935
2,11000,11000,11000,28.8037,92.4188
2,11000,11000,11000,28.8343,92.3206
2,11000,11000,11000,28.9939,91.8124
4,11000,11000,11000,14.343,185.596
4,11000,11000,11000,14.3544,185.449
4,11000,11000,11000,14.4566,184.137
4,11000,11000,11000,14.4433,184.307
4,11000,11000,11000,14.3473,185.541
4,11000,11000,11000,14.4004,184.855
4,11000,11000,11000,14.3969,184.9
4,11000,11000,11000,14.4873,183.747
4,11000,11000,11000,14.5668,182.745
4,11000,11000,11000,14.3915,184.97
8,11000,11000,11000,7.54015,353.043
8,11000,11000,11000,7.57034,351.635
8,11000,11000,11000,7.49178,355.323
8,11000,11000,11000,7.61288,349.671
8,11000,11000,11000,7.51168,354.382
8,11000,11000,11000,7.52845,353.592
8,11000,11000,11000,7.54193,352.96
8,11000,11000,11000,7.51131,354.399
8,11000,11000,11000,7.53552,353.26
8,11000,11000,11000,7.5583,352.196
16,11000,11000,11000,4.14545,642.15
16,11000,11000,11000,4.15032,641.396
16,11000,11000,11000,4.1368,643.492
16,11000,11000,11000,4.1495,641.523
16,11000,11000,11000,4.14906,641.591
16,11000,11000,11000,4.16543,639.07
16,11000,11000,11000,4.1286,644.771
16,11000,11000,11000,4.14528,642.176
16,11000,11000,11000,4.16222,639.563
16,11000,11000,11000,4.15417,640.803
24,11000,11000,11000,3.09044,861.365
24,11000,11000,11000,3.05132,872.409
24,11000,11000,11000,3.07265,866.353
24,11000,11000,11000,3.04567,874.028
24,11000,11000,11000,3.03869,876.035
24,11000,11000,11000,3.04737,873.539
24,11000,11000,11000,3.0812,863.95
24,11000,11000,11000,3.04455,874.35
24,11000,11000,11000,3.03503,877.091
24,11000,11000,11000,3.08122,863.945
32,11000,11000,11000,2.79671,951.833
32,11000,11000,11000,2.81277,946.397
32,11000,11000,11000,2.80837,947.881
32,11000,11000,11000,2.81225,946.574
32,11000,11000,11000,2.81457,945.793
32,11000,11000,11000,2.81361,946.117
32,11000,11000,11000,2.80153,950.195
32,11000,11000,11000,2.82472,942.393
32,11000,11000,11000,2.77481,959.346
32,11000,11000,11000,2.80816,947.952
48,11000,11000,11000,2.84225,936.582
48,11000,11000,11000,2.84836,934.572
48,11000,11000,11000,2.83979,937.395
48,11000,11000,11000,2.84105,936.979
48,11000,11000,11000,2.84299,936.339
48,11000,11000,11000,2.84561,935.475
48,11000,11000,11000,2.8373,938.214
48,11000,11000,11000,2.79138,953.651
48,11000,11000,11000,2.84824,934.612
48,11000,11000,11000,2.85396,932.739
64,11000,11000,11000,3.3048,805.495
64,11000,11000,11000,3.26599,815.066
64,11000,11000,11000,3.21185,828.805
64,11000,11000,11000,2.69745,986.858
64,11000,11000,11000,3.24763,819.676
64,11000,11000,11000,3.22701,824.912
64,11000,11000,11000,3.23018,824.103
64,11000,11000,11000,3.3001,806.641
64,11000,11000,11000,3.24463,820.432
64,11000,11000,11000,3.24357,820.7
