n_cores,m,n ,k,time,gflops
1,11000,11000,11000,27.2425,97.7149
1,11000,11000,11000,27.3015,97.5037
1,11000,11000,11000,27.7917,95.7841
1,11000,11000,11000,27.3869,97.1997
1,11000,11000,11000,27.6322,96.3371
1,11000,11000,11000,27.2317,97.7537
1,11000,11000,11000,27.7726,95.8499
1,11000,11000,11000,27.3158,97.4526
1,11000,11000,11000,27.5843,96.5041
1,11000,11000,11000,27.5634,96.5774
2,11000,11000,11000,13.8892,191.66
2,11000,11000,11000,13.8627,192.025
2,11000,11000,11000,13.92,191.235
2,11000,11000,11000,14.0345,189.675
2,11000,11000,11000,14.0027,190.106
2,11000,11000,11000,13.8811,191.771
2,11000,11000,11000,13.9168,191.279
2,11000,11000,11000,13.8893,191.659
2,11000,11000,11000,13.8646,192
2,11000,11000,11000,14.009,190.02
4,11000,11000,11000,7.06598,376.735
4,11000,11000,11000,7.04886,377.65
4,11000,11000,11000,6.99871,380.356
4,11000,11000,11000,7.05449,377.348
4,11000,11000,11000,7.01243,379.612
4,11000,11000,11000,7.00019,380.275
4,11000,11000,11000,7.11138,374.33
4,11000,11000,11000,7.05544,377.297
4,11000,11000,11000,7.08199,375.883
4,11000,11000,11000,7.01094,379.692
8,11000,11000,11000,3.66963,725.414
8,11000,11000,11000,3.6641,726.509
8,11000,11000,11000,3.62585,734.174
8,11000,11000,11000,3.63394,732.539
8,11000,11000,11000,3.64833,729.649
8,11000,11000,11000,3.63005,733.324
8,11000,11000,11000,3.6256,734.224
8,11000,11000,11000,3.6626,726.807
8,11000,11000,11000,3.65974,727.375
8,11000,11000,11000,3.64088,731.141
16,11000,11000,11000,2.04802,1299.79
16,11000,11000,11000,2.04954,1298.83
16,11000,11000,11000,2.05009,1298.48
16,11000,11000,11000,2.04067,1304.47
16,11000,11000,11000,2.01477,1321.24
16,11000,11000,11000,2.05288,1296.72
16,11000,11000,11000,2.06385,1289.82
16,11000,11000,11000,2.06103,1291.59
16,11000,11000,11000,2.05063,1298.14
16,11000,11000,11000,2.03141,1310.42
24,11000,11000,11000,1.57361,1691.65
24,11000,11000,11000,1.57971,1685.12
24,11000,11000,11000,1.5748,1690.38
24,11000,11000,11000,1.57502,1690.14
24,11000,11000,11000,1.5628,1703.36
24,11000,11000,11000,1.56807,1697.63
24,11000,11000,11000,1.58275,1681.88
24,11000,11000,11000,1.58004,1684.76
24,11000,11000,11000,1.57176,1693.64
24,11000,11000,11000,1.57326,1692.03
32,11000,11000,11000,1.66502,1598.78
32,11000,11000,11000,1.67084,1593.21
32,11000,11000,11000,1.6774,1586.98
32,11000,11000,11000,1.66758,1596.33
32,11000,11000,11000,1.66942,1594.56
32,11000,11000,11000,1.67823,1586.19
32,11000,11000,11000,1.6721,1592.01
32,11000,11000,11000,1.67906,1585.41
32,11000,11000,11000,1.6704,1593.63
32,11000,11000,11000,1.67309,1591.07
48,11000,11000,11000,1.31921,2017.87
48,11000,11000,11000,1.31408,2025.75
48,11000,11000,11000,1.31091,2030.64
48,11000,11000,11000,1.30544,2039.16
48,11000,11000,11000,1.30073,2046.54
48,11000,11000,11000,1.31966,2017.18
48,11000,11000,11000,1.29226,2059.96
48,11000,11000,11000,1.30263,2043.55
48,11000,11000,11000,1.31067,2031.02
48,11000,11000,11000,1.30456,2040.53
64,11000,11000,11000,1.50646,1767.06
64,11000,11000,11000,1.52539,1745.13
64,11000,11000,11000,1.55448,1712.47
64,11000,11000,11000,1.52199,1749.03
64,11000,11000,11000,1.52556,1744.94
64,11000,11000,11000,1.47918,1799.64
64,11000,11000,11000,1.47566,1803.94
64,11000,11000,11000,1.49444,1781.27
64,11000,11000,11000,1.5131,1759.31
64,11000,11000,11000,1.53745,1731.43
