n_cores,m,n ,k,time,gflops
1,11000,11000,11000,55.9346,47.5913
1,11000,11000,11000,55.8058,47.7012
1,11000,11000,11000,55.9005,47.6203
1,11000,11000,11000,55.8528,47.661
1,11000,11000,11000,55.8996,47.6211
1,11000,11000,11000,55.6398,47.8435
1,11000,11000,11000,55.7299,47.7661
1,11000,11000,11000,55.9716,47.5599
1,11000,11000,11000,55.7906,47.7141
1,11000,11000,11000,55.8097,47.6978
2,11000,11000,11000,30.6597,86.8241
2,11000,11000,11000,30.4027,87.5581
2,11000,11000,11000,30.2928,87.8756
2,11000,11000,11000,30.3775,87.6305
2,11000,11000,11000,30.1747,88.2195
2,11000,11000,11000,30.3743,87.6399
2,11000,11000,11000,30.419,87.511
2,11000,11000,11000,30.4364,87.461
2,11000,11000,11000,30.1529,88.2834
2,11000,11000,11000,30.2107,88.1145
4,11000,11000,11000,15.2319,174.765
4,11000,11000,11000,15.3266,173.685
4,11000,11000,11000,15.2348,174.731
4,11000,11000,11000,15.3407,173.525
4,11000,11000,11000,15.378,173.104
4,11000,11000,11000,15.3272,173.678
4,11000,11000,11000,15.2161,174.947
4,11000,11000,11000,15.3288,173.66
4,11000,11000,11000,15.2566,174.482
4,11000,11000,11000,15.3531,173.385
8,11000,11000,11000,7.58544,350.936
8,11000,11000,11000,7.59561,350.465
8,11000,11000,11000,7.68155,346.545
8,11000,11000,11000,7.60468,350.048
8,11000,11000,11000,7.8435,339.389
8,11000,11000,11000,7.65614,347.695
8,11000,11000,11000,7.61959,349.362
8,11000,11000,11000,7.66199,347.429
8,11000,11000,11000,7.87523,338.022
8,11000,11000,11000,7.57885,351.241
16,11000,11000,11000,3.9787,669.062
16,11000,11000,11000,3.97158,670.262
16,11000,11000,11000,3.95432,673.187
16,11000,11000,11000,3.96195,671.892
16,11000,11000,11000,3.96718,671.006
16,11000,11000,11000,3.9693,670.647
16,11000,11000,11000,3.96337,671.651
16,11000,11000,11000,3.97422,669.818
16,11000,11000,11000,4.00079,665.368
16,11000,11000,11000,3.96265,671.773
24,11000,11000,11000,3.31478,803.07
24,11000,11000,11000,3.30832,804.637
24,11000,11000,11000,3.27499,812.828
24,11000,11000,11000,3.27781,812.127
24,11000,11000,11000,3.30682,805.002
24,11000,11000,11000,3.32087,801.598
24,11000,11000,11000,3.3067,805.033
24,11000,11000,11000,3.31417,803.219
24,11000,11000,11000,3.28075,811.4
24,11000,11000,11000,3.2793,811.758
32,11000,11000,11000,3.53481,753.081
32,11000,11000,11000,3.56506,746.692
32,11000,11000,11000,3.58093,743.383
32,11000,11000,11000,3.58244,743.069
32,11000,11000,11000,3.58255,743.046
32,11000,11000,11000,3.58292,742.968
32,11000,11000,11000,3.58653,742.221
32,11000,11000,11000,2.91211,914.113
32,11000,11000,11000,3.54103,751.76
32,11000,11000,11000,3.53922,752.143
48,11000,11000,11000,3.68195,722.987
48,11000,11000,11000,3.63147,733.036
48,11000,11000,11000,3.62594,734.154
48,11000,11000,11000,3.57771,744.051
48,11000,11000,11000,3.62601,734.14
48,11000,11000,11000,3.58008,743.559
48,11000,11000,11000,3.72549,714.536
48,11000,11000,11000,3.68685,722.025
48,11000,11000,11000,3.57987,743.602
48,11000,11000,11000,3.64023,731.273
64,11000,11000,11000,3.91991,679.098
64,11000,11000,11000,3.94264,675.181
64,11000,11000,11000,3.9218,678.77
64,11000,11000,11000,3.94453,674.858
64,11000,11000,11000,3.98378,668.209
64,11000,11000,11000,3.98594,667.848
64,11000,11000,11000,3.94179,675.327
64,11000,11000,11000,3.91262,680.363
64,11000,11000,11000,3.89539,683.372
64,11000,11000,11000,3.9066,681.411
