n_cores,m,n ,k,time,gflops
1,11000,11000,11000,27.0015,98.5869
1,11000,11000,11000,27.2206,97.7937
1,11000,11000,11000,27.0238,98.5058
1,11000,11000,11000,27.2705,97.6145
1,11000,11000,11000,27.3552,97.3124
1,11000,11000,11000,27.2378,97.7318
1,11000,11000,11000,27.267,97.6271
1,11000,11000,11000,27.1029,98.2181
1,11000,11000,11000,27.1046,98.2122
1,11000,11000,11000,27.1021,98.2213
2,11000,11000,11000,14.8235,179.58
2,11000,11000,11000,14.6862,181.259
2,11000,11000,11000,14.9547,178.004
2,11000,11000,11000,14.7154,180.899
2,11000,11000,11000,14.7026,181.056
2,11000,11000,11000,15.1371,175.859
2,11000,11000,11000,14.6949,181.151
2,11000,11000,11000,15.1273,175.973
2,11000,11000,11000,14.8873,178.81
2,11000,11000,11000,14.6671,181.495
4,11000,11000,11000,7.40059,359.701
4,11000,11000,11000,7.55186,352.496
4,11000,11000,11000,7.51779,354.093
4,11000,11000,11000,7.56138,352.052
4,11000,11000,11000,7.52889,353.571
4,11000,11000,11000,7.45625,357.016
4,11000,11000,11000,7.42319,358.606
4,11000,11000,11000,7.47445,356.146
4,11000,11000,11000,7.4825,355.763
4,11000,11000,11000,7.43221,358.171
8,11000,11000,11000,3.7565,708.638
8,11000,11000,11000,3.81128,698.452
8,11000,11000,11000,3.75907,708.154
8,11000,11000,11000,3.78803,702.739
8,11000,11000,11000,3.74019,711.729
8,11000,11000,11000,3.81596,697.596
8,11000,11000,11000,3.77291,705.556
8,11000,11000,11000,3.74754,710.332
8,11000,11000,11000,3.81548,697.684
8,11000,11000,11000,3.74019,711.729
16,11000,11000,11000,2.13948,1244.22
16,11000,11000,11000,2.11232,1260.23
16,11000,11000,11000,2.09763,1269.05
16,11000,11000,11000,2.12921,1250.23
16,11000,11000,11000,2.14898,1238.73
16,11000,11000,11000,2.14547,1240.75
16,11000,11000,11000,2.12878,1250.48
16,11000,11000,11000,2.18359,1219.1
16,11000,11000,11000,2.14623,1240.31
16,11000,11000,11000,2.13652,1245.95
24,11000,11000,11000,1.98929,1338.17
24,11000,11000,11000,1.98228,1342.9
24,11000,11000,11000,1.97536,1347.6
24,11000,11000,11000,1.97255,1349.52
24,11000,11000,11000,2.28604,1164.46
24,11000,11000,11000,2.25454,1180.73
24,11000,11000,11000,1.99014,1337.59
24,11000,11000,11000,1.96573,1354.2
24,11000,11000,11000,2.2726,1171.35
24,11000,11000,11000,2.25093,1182.62
32,11000,11000,11000,2.67132,996.51
32,11000,11000,11000,2.66388,999.295
32,11000,11000,11000,2.63682,1009.55
32,11000,11000,11000,2.63984,1008.39
32,11000,11000,11000,2.72022,978.596
32,11000,11000,11000,2.64659,1005.82
32,11000,11000,11000,2.65369,1003.13
32,11000,11000,11000,2.70145,985.396
32,11000,11000,11000,2.72294,977.62
32,11000,11000,11000,3.50499,759.489
48,11000,11000,11000,3.56808,746.06
48,11000,11000,11000,3.57713,744.172
48,11000,11000,11000,3.60081,739.279
48,11000,11000,11000,3.55947,747.863
48,11000,11000,11000,3.54233,751.482
48,11000,11000,11000,3.63742,731.837
48,11000,11000,11000,3.65267,728.781
48,11000,11000,11000,3.57845,743.898
48,11000,11000,11000,3.58558,742.419
48,11000,11000,11000,3.56579,746.538
64,11000,11000,11000,3.89606,683.255
64,11000,11000,11000,3.91169,680.524
64,11000,11000,11000,3.92487,678.24
64,11000,11000,11000,3.89174,684.013
64,11000,11000,11000,3.92067,678.966
64,11000,11000,11000,3.93077,677.221
64,11000,11000,11000,3.9391,675.789
64,11000,11000,11000,3.89756,682.992
64,11000,11000,11000,3.94348,675.038
64,11000,11000,11000,3.91604,679.768
