n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0377232,424.142
64,2000,2000,2000,0.0388134,412.229
64,2000,2000,2000,0.0374364,427.391
64,2000,2000,2000,0.037169,430.466
64,2000,2000,2000,0.0370187,432.214
64,2000,2000,2000,0.0371381,430.825
64,2000,2000,2000,0.0356359,448.986
64,2000,2000,2000,0.0383218,417.517
64,2000,2000,2000,0.0372329,429.728
64,2000,2000,2000,0.0362525,441.349
64,4000,4000,4000,0.199487,641.646
64,4000,4000,4000,0.195428,654.972
64,4000,4000,4000,0.198022,646.391
64,4000,4000,4000,0.204872,624.78
64,4000,4000,4000,0.198477,644.91
64,4000,4000,4000,0.194722,657.349
64,4000,4000,4000,0.227181,563.428
64,4000,4000,4000,0.204083,627.196
64,4000,4000,4000,0.194376,658.517
64,4000,4000,4000,0.20035,638.882
64,6000,6000,6000,0.768412,562.198
64,6000,6000,6000,0.772922,558.918
64,6000,6000,6000,0.763346,565.929
64,6000,6000,6000,0.764275,565.242
64,6000,6000,6000,0.763031,566.163
64,6000,6000,6000,0.759801,568.57
64,6000,6000,6000,0.765297,564.487
64,6000,6000,6000,0.771183,560.179
64,6000,6000,6000,0.759418,568.856
64,6000,6000,6000,0.757551,570.258
64,8000,8000,8000,1.79459,570.604
64,8000,8000,8000,1.81017,565.692
64,8000,8000,8000,1.79874,569.287
64,8000,8000,8000,1.80197,568.267
64,8000,8000,8000,1.80604,566.987
64,8000,8000,8000,1.79645,570.013
64,8000,8000,8000,1.80647,566.85
64,8000,8000,8000,1.80344,567.804
64,8000,8000,8000,1.8015,568.415
64,8000,8000,8000,1.8032,567.881
64,10000,10000,10000,3.72502,536.91
64,10000,10000,10000,3.76605,531.061
64,10000,10000,10000,3.742,534.473
64,10000,10000,10000,3.77434,529.894
64,10000,10000,10000,3.76289,531.506
64,10000,10000,10000,3.7817,528.862
64,10000,10000,10000,3.76223,531.6
64,10000,10000,10000,3.74478,534.077
64,10000,10000,10000,3.76654,530.992
64,10000,10000,10000,3.74387,534.206
64,12000,12000,12000,5.57403,620.019
64,12000,12000,12000,5.56369,621.17
64,12000,12000,12000,5.5628,621.27
64,12000,12000,12000,5.56719,620.78
64,12000,12000,12000,5.5097,627.258
64,12000,12000,12000,2.62946,1314.34
64,12000,12000,12000,2.63397,1312.09
64,12000,12000,12000,2.63962,1309.28
64,12000,12000,12000,2.62578,1316.18
64,12000,12000,12000,2.44065,1416.02
64,14000,14000,14000,4.14795,1323.06
64,14000,14000,14000,4.11338,1334.18
64,14000,14000,14000,4.10904,1335.59
64,14000,14000,14000,4.12373,1330.83
64,14000,14000,14000,4.11607,1333.31
64,14000,14000,14000,4.11418,1333.92
64,14000,14000,14000,4.13315,1327.8
64,14000,14000,14000,4.13353,1327.68
64,14000,14000,14000,4.16286,1318.33
64,14000,14000,14000,4.13432,1327.42
64,16000,16000,16000,6.20901,1319.37
64,16000,16000,16000,6.19303,1322.78
64,16000,16000,16000,6.19652,1322.03
64,16000,16000,16000,6.18771,1323.91
64,16000,16000,16000,6.14121,1333.94
64,16000,16000,16000,6.19967,1321.36
64,16000,16000,16000,4.60464,1779.08
64,16000,16000,16000,6.24808,1311.12
64,16000,16000,16000,6.19326,1322.73
64,16000,16000,16000,6.19286,1322.81
64,18000,18000,18000,7.69734,1515.33
64,18000,18000,18000,7.68882,1517.01
64,18000,18000,18000,7.163,1628.37
64,18000,18000,18000,7.73217,1508.5
64,18000,18000,18000,8.52412,1368.35
64,18000,18000,18000,7.7614,1502.82
64,18000,18000,18000,7.74442,1506.12
64,18000,18000,18000,7.71287,1512.28
64,20000,20000,20000,9.2392,1731.75
64,20000,20000,20000,9.25052,1729.63
64,20000,20000,20000,9.30737,1719.07
64,20000,20000,20000,9.99531,1600.75
64,20000,20000,20000,11.6749,1370.46
64,20000,20000,20000,9.37355,1706.93
64,20000,20000,20000,9.31796,1717.11
64,20000,20000,20000,9.30789,1718.97
64,20000,20000,20000,10.6626,1500.57
64,20000,20000,20000,9.48812,1686.32
