n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0251286,636.724
64,2000,2000,2000,0.0254294,629.194
64,2000,2000,2000,0.0296156,540.257
64,2000,2000,2000,0.0254019,629.874
64,2000,2000,2000,0.025129,636.716
64,2000,2000,2000,0.0259499,616.572
64,2000,2000,2000,0.0249566,641.112
64,2000,2000,2000,0.0248955,642.686
64,2000,2000,2000,0.0255207,626.941
64,2000,2000,2000,0.026012,615.101
64,4000,4000,4000,0.0701632,1824.32
64,4000,4000,4000,0.0755463,1694.33
64,4000,4000,4000,0.073539,1740.57
64,4000,4000,4000,0.0799679,1600.64
64,4000,4000,4000,0.0784976,1630.62
64,4000,4000,4000,0.0770741,1660.74
64,4000,4000,4000,0.0801725,1596.56
64,4000,4000,4000,0.0701015,1825.92
64,4000,4000,4000,0.0747977,1711.28
64,4000,4000,4000,0.0746446,1714.79
64,6000,6000,6000,0.258901,1668.59
64,6000,6000,6000,0.222978,1937.41
64,6000,6000,6000,0.223754,1930.69
64,6000,6000,6000,0.222702,1939.81
64,6000,6000,6000,0.231627,1865.07
64,6000,6000,6000,0.245326,1760.93
64,6000,6000,6000,0.246429,1753.04
64,6000,6000,6000,0.24931,1732.78
64,6000,6000,6000,0.233194,1852.53
64,6000,6000,6000,0.252732,1709.32
64,8000,8000,8000,0.793062,1291.2
64,8000,8000,8000,0.81522,1256.1
64,8000,8000,8000,0.808508,1266.53
64,8000,8000,8000,0.801528,1277.56
64,8000,8000,8000,0.793536,1290.43
64,8000,8000,8000,0.798757,1281.99
64,8000,8000,8000,0.795795,1286.76
64,8000,8000,8000,0.794997,1288.06
64,8000,8000,8000,0.793408,1290.64
64,8000,8000,8000,0.79908,1281.47
64,10000,10000,10000,1.54977,1290.51
64,10000,10000,10000,1.55776,1283.9
64,10000,10000,10000,1.55668,1284.78
64,10000,10000,10000,1.56334,1279.31
64,10000,10000,10000,1.55119,1289.33
64,10000,10000,10000,1.56025,1281.84
64,10000,10000,10000,1.55725,1284.31
64,10000,10000,10000,1.54647,1293.27
64,10000,10000,10000,1.55001,1290.32
64,10000,10000,10000,1.56296,1279.62
64,12000,12000,12000,2.38668,1448.04
64,12000,12000,12000,2.35666,1466.48
64,12000,12000,12000,2.42956,1422.48
64,12000,12000,12000,2.37669,1454.13
64,12000,12000,12000,2.36582,1460.8
64,12000,12000,12000,2.39224,1444.67
64,12000,12000,12000,2.63991,1309.14
64,12000,12000,12000,2.383,1450.27
64,12000,12000,12000,2.39478,1443.14
64,12000,12000,12000,2.38828,1447.07
64,14000,14000,14000,4.09012,1341.77
64,14000,14000,14000,4.07599,1346.42
64,14000,14000,14000,4.08694,1342.82
64,14000,14000,14000,4.07843,1345.62
64,14000,14000,14000,4.08152,1344.6
64,14000,14000,14000,4.08498,1343.46
64,14000,14000,14000,4.06043,1351.58
64,14000,14000,14000,4.07768,1345.86
64,14000,14000,14000,4.08297,1344.12
64,14000,14000,14000,4.09957,1338.68
64,16000,16000,16000,5.95847,1374.85
64,16000,16000,16000,6.0038,1364.47
64,16000,16000,16000,6.02445,1359.79
64,16000,16000,16000,5.9728,1371.55
64,16000,16000,16000,6.03568,1357.26
64,16000,16000,16000,6.07899,1347.59
64,16000,16000,16000,5.98844,1367.97
64,16000,16000,16000,6.04725,1354.67
64,16000,16000,16000,6.04869,1354.34
64,16000,16000,16000,6.05456,1353.03
64,18000,18000,18000,7.07171,1649.39
64,18000,18000,18000,7.01062,1663.76
64,18000,18000,18000,7.0142,1662.91
64,18000,18000,18000,7.03645,1657.65
64,18000,18000,18000,7.04998,1654.47
64,18000,18000,18000,7.03798,1657.29
64,18000,18000,18000,7.09339,1644.35
64,18000,18000,18000,7.04905,1654.69
64,18000,18000,18000,7.0066,1664.72
64,18000,18000,18000,7.06075,1651.95
64,20000,20000,20000,9.79908,1632.81
64,20000,20000,20000,9.66489,1655.48
64,20000,20000,20000,9.73541,1643.48
64,20000,20000,20000,9.71825,1646.39
64,20000,20000,20000,9.84666,1624.92
64,20000,20000,20000,9.76438,1638.61
64,20000,20000,20000,9.60706,1665.44
64,20000,20000,20000,9.78616,1634.96
64,20000,20000,20000,9.71785,1646.46
