n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0568614,281.386
64,2000,2000,2000,0.0577126,277.236
64,2000,2000,2000,0.060317,265.265
64,2000,2000,2000,0.0604362,264.742
64,2000,2000,2000,0.0615059,260.138
64,2000,2000,2000,0.0572534,279.46
64,2000,2000,2000,0.0594589,269.093
64,2000,2000,2000,0.0623069,256.793
64,2000,2000,2000,0.0562206,284.593
64,2000,2000,2000,0.0596883,268.059
64,4000,4000,4000,0.219413,583.374
64,4000,4000,4000,0.210262,608.766
64,4000,4000,4000,0.211195,606.075
64,4000,4000,4000,0.212738,601.68
64,4000,4000,4000,0.226255,565.733
64,4000,4000,4000,0.206412,620.118
64,4000,4000,4000,0.222973,574.061
64,4000,4000,4000,0.222469,575.362
64,4000,4000,4000,0.22351,572.682
64,4000,4000,4000,0.211056,606.474
64,6000,6000,6000,0.725546,595.414
64,6000,6000,6000,0.630615,685.045
64,6000,6000,6000,0.634538,680.81
64,6000,6000,6000,0.643635,671.188
64,6000,6000,6000,0.666467,648.194
64,6000,6000,6000,0.619969,696.809
64,6000,6000,6000,0.630073,685.635
64,6000,6000,6000,0.635608,679.664
64,6000,6000,6000,0.625481,690.668
64,6000,6000,6000,0.641015,673.932
64,8000,8000,8000,1.73501,590.2
64,8000,8000,8000,1.81769,563.354
64,8000,8000,8000,1.76717,579.458
64,8000,8000,8000,1.67825,610.16
64,8000,8000,8000,1.83199,558.956
64,8000,8000,8000,1.77811,575.891
64,8000,8000,8000,1.82159,562.145
64,8000,8000,8000,1.79642,570.022
64,8000,8000,8000,1.7623,581.059
64,8000,8000,8000,1.73205,591.207
64,10000,10000,10000,3.45554,578.781
64,10000,10000,10000,3.52493,567.387
64,10000,10000,10000,3.46505,577.193
64,10000,10000,10000,3.58443,557.969
64,10000,10000,10000,3.51191,569.49
64,10000,10000,10000,3.51769,568.556
64,10000,10000,10000,3.49479,572.281
64,10000,10000,10000,3.47796,575.05
64,10000,10000,10000,3.54824,563.66
64,10000,10000,10000,3.47151,576.118
64,12000,12000,12000,5.71953,604.246
64,12000,12000,12000,5.72144,604.044
64,12000,12000,12000,5.76389,599.595
64,12000,12000,12000,5.74991,601.053
64,12000,12000,12000,5.72429,603.743
64,12000,12000,12000,5.77781,598.15
64,12000,12000,12000,5.72817,603.334
64,12000,12000,12000,5.72875,603.273
64,12000,12000,12000,5.77032,598.927
64,12000,12000,12000,5.74521,601.545
64,14000,14000,14000,9.22437,594.946
64,14000,14000,14000,9.46181,580.016
64,14000,14000,14000,9.31317,589.273
64,14000,14000,14000,9.34153,587.484
64,14000,14000,14000,9.35228,586.809
64,14000,14000,14000,9.45272,580.574
64,14000,14000,14000,9.4918,578.184
64,14000,14000,14000,9.39554,584.107
64,14000,14000,14000,9.45473,580.45
64,14000,14000,14000,4.57469,1199.64
64,16000,16000,16000,6.45069,1269.94
64,16000,16000,16000,6.41494,1277.02
64,16000,16000,16000,6.42341,1275.34
64,16000,16000,16000,6.4455,1270.97
64,16000,16000,16000,6.42935,1274.16
64,16000,16000,16000,6.41708,1276.59
64,16000,16000,16000,6.47857,1264.48
64,16000,16000,16000,6.43388,1273.26
64,16000,16000,16000,6.46398,1267.33
64,16000,16000,16000,6.41542,1276.92
64,18000,18000,18000,6.88077,1695.16
64,18000,18000,18000,6.95065,1678.12
64,18000,18000,18000,6.93377,1682.2
64,18000,18000,18000,6.91376,1687.07
64,18000,18000,18000,6.94053,1680.56
64,18000,18000,18000,6.92168,1685.14
64,18000,18000,18000,6.92555,1684.2
64,18000,18000,18000,6.8809,1695.13
64,18000,18000,18000,6.86673,1698.62
64,18000,18000,18000,6.91014,1687.95
64,20000,20000,20000,9.61752,1663.63
64,20000,20000,20000,9.6514,1657.79
64,20000,20000,20000,9.67235,1654.2
64,20000,20000,20000,9.5736,1671.26
64,20000,20000,20000,9.66406,1655.62
64,20000,20000,20000,9.60546,1665.72
64,20000,20000,20000,9.64946,1658.12
64,20000,20000,20000,9.63151,1661.21
64,20000,20000,20000,9.6618,1656.01
64,20000,20000,20000,12.0555,1327.19
