n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0261714,611.355
64,2000,2000,2000,0.0255978,625.053
64,2000,2000,2000,0.025205,634.795
64,2000,2000,2000,0.0249812,640.482
64,2000,2000,2000,0.0252652,633.282
64,2000,2000,2000,0.0252669,633.239
64,2000,2000,2000,0.0247964,645.255
64,2000,2000,2000,0.0255664,625.821
64,2000,2000,2000,0.0247852,645.546
64,2000,2000,2000,0.0258253,619.548
64,4000,4000,4000,0.0729214,1755.32
64,4000,4000,4000,0.0710509,1801.53
64,4000,4000,4000,0.0738321,1733.66
64,4000,4000,4000,0.0734385,1742.96
64,4000,4000,4000,0.0705983,1813.07
64,4000,4000,4000,0.0725877,1763.38
64,4000,4000,4000,0.0716821,1785.66
64,4000,4000,4000,0.0701057,1825.81
64,4000,4000,4000,0.0744245,1719.86
64,4000,4000,4000,0.0761918,1679.97
64,6000,6000,6000,0.171681,2516.3
64,6000,6000,6000,0.173636,2487.96
64,6000,6000,6000,0.172303,2507.21
64,6000,6000,6000,0.168837,2558.68
64,6000,6000,6000,0.176071,2453.56
64,6000,6000,6000,0.168714,2560.55
64,6000,6000,6000,0.176507,2447.49
64,6000,6000,6000,0.171603,2517.44
64,6000,6000,6000,0.174567,2474.7
64,6000,6000,6000,0.176133,2452.7
64,8000,8000,8000,0.458775,2232.03
64,8000,8000,8000,0.441326,2320.28
64,8000,8000,8000,0.482229,2123.47
64,8000,8000,8000,0.490757,2086.57
64,8000,8000,8000,0.478612,2139.52
64,8000,8000,8000,0.485888,2107.48
64,8000,8000,8000,0.478314,2140.85
64,8000,8000,8000,0.475339,2154.25
64,8000,8000,8000,0.477695,2143.63
64,8000,8000,8000,0.483417,2118.26
64,10000,10000,10000,1.30781,1529.27
64,10000,10000,10000,1.33402,1499.22
64,10000,10000,10000,1.31483,1521.1
64,10000,10000,10000,1.29868,1540.02
64,10000,10000,10000,1.29412,1545.45
64,10000,10000,10000,1.30449,1533.17
64,10000,10000,10000,1.33848,1494.23
64,10000,10000,10000,1.33956,1493.02
64,10000,10000,10000,1.36134,1469.14
64,12000,12000,12000,2.96969,1163.76
64,12000,12000,12000,2.9655,1165.4
64,12000,12000,12000,2.96337,1166.24
64,12000,12000,12000,2.79327,1237.26
64,12000,12000,12000,2.91813,1184.32
64,12000,12000,12000,2.91565,1185.33
64,12000,12000,12000,2.95745,1168.57
64,12000,12000,12000,2.78203,1242.26
64,12000,12000,12000,2.97736,1160.76
64,12000,12000,12000,2.88065,1199.73
64,14000,14000,14000,4.37407,1254.67
64,14000,14000,14000,4.46222,1229.88
64,14000,14000,14000,4.44536,1234.55
64,14000,14000,14000,4.35912,1258.97
64,14000,14000,14000,4.45573,1231.67
64,14000,14000,14000,4.41068,1244.25
64,14000,14000,14000,4.46768,1228.38
64,14000,14000,14000,4.48252,1224.31
64,14000,14000,14000,4.52809,1211.99
64,14000,14000,14000,4.43885,1236.36
64,16000,16000,16000,6.13993,1334.22
64,16000,16000,16000,6.43452,1273.13
64,16000,16000,16000,6.39264,1281.47
64,16000,16000,16000,6.40525,1278.95
64,16000,16000,16000,6.39972,1280.06
64,16000,16000,16000,6.36034,1287.98
64,16000,16000,16000,6.40321,1279.36
64,16000,16000,16000,6.40391,1279.22
64,16000,16000,16000,6.39097,1281.81
64,16000,16000,16000,6.41809,1276.39
64,18000,18000,18000,7.66178,1522.36
64,18000,18000,18000,7.6231,1530.09
64,18000,18000,18000,7.54854,1545.2
64,18000,18000,18000,7.56485,1541.87
64,18000,18000,18000,7.61877,1530.96
64,18000,18000,18000,7.59224,1536.3
64,18000,18000,18000,7.61256,1532.21
64,18000,18000,18000,7.62478,1529.75
64,18000,18000,18000,7.60575,1533.58
64,18000,18000,18000,7.57987,1538.81
64,20000,20000,20000,7.35282,2176.03
64,20000,20000,20000,9.72752,1644.82
64,20000,20000,20000,8.85122,1807.66
64,20000,20000,20000,9.69173,1650.89
64,20000,20000,20000,8.91397,1794.94
64,20000,20000,20000,8.76694,1825.04
64,20000,20000,20000,8.93996,1789.72
64,20000,20000,20000,11.0118,1452.99
64,20000,20000,20000,9.64674,1658.59
64,20000,20000,20000,8.98073,1781.59
