n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0534334,299.438
64,2000,2000,2000,0.0514426,311.026
64,2000,2000,2000,0.0525525,304.457
64,2000,2000,2000,0.0524135,305.265
64,2000,2000,2000,0.052582,304.287
64,2000,2000,2000,0.0524993,304.766
64,2000,2000,2000,0.0521085,307.052
64,2000,2000,2000,0.0523809,305.455
64,2000,2000,2000,0.0519545,307.962
64,2000,2000,2000,0.0518094,308.824
64,4000,4000,4000,0.229855,556.872
64,4000,4000,4000,0.244574,523.36
64,4000,4000,4000,0.223501,572.704
64,4000,4000,4000,0.223734,572.109
64,4000,4000,4000,0.226882,564.17
64,4000,4000,4000,0.224977,568.947
64,4000,4000,4000,0.221031,579.103
64,4000,4000,4000,0.231713,552.408
64,4000,4000,4000,0.216527,591.149
64,4000,4000,4000,0.22144,578.034
64,6000,6000,6000,0.719182,600.683
64,6000,6000,6000,0.727052,594.181
64,6000,6000,6000,0.713902,605.125
64,6000,6000,6000,0.724611,596.182
64,6000,6000,6000,0.747117,578.223
64,6000,6000,6000,0.729949,591.822
64,6000,6000,6000,0.730649,591.255
64,6000,6000,6000,0.714529,604.594
64,6000,6000,6000,0.727927,593.466
64,6000,6000,6000,0.721937,598.39
64,8000,8000,8000,1.71831,595.935
64,8000,8000,8000,1.73563,589.987
64,8000,8000,8000,1.70889,599.22
64,8000,8000,8000,1.72136,594.878
64,8000,8000,8000,1.77687,576.294
64,8000,8000,8000,1.73148,591.4
64,8000,8000,8000,1.73993,588.53
64,8000,8000,8000,1.73327,590.79
64,8000,8000,8000,1.747,586.147
64,8000,8000,8000,1.66566,614.771
64,10000,10000,10000,3.23974,617.333
64,10000,10000,10000,3.28546,608.742
64,10000,10000,10000,3.47761,575.107
64,10000,10000,10000,3.33544,599.621
64,10000,10000,10000,3.04071,657.742
64,10000,10000,10000,3.2839,609.033
64,10000,10000,10000,3.23742,617.776
64,10000,10000,10000,3.20405,624.209
64,10000,10000,10000,3.25277,614.86
64,10000,10000,10000,3.27997,609.762
64,12000,12000,12000,5.29335,652.895
64,12000,12000,12000,5.61368,615.639
64,12000,12000,12000,5.24855,658.467
64,12000,12000,12000,5.85456,590.309
64,12000,12000,12000,5.77224,598.728
64,12000,12000,12000,5.73367,602.755
64,12000,12000,12000,5.24287,659.181
64,12000,12000,12000,3.92688,880.088
64,12000,12000,12000,5.73575,602.536
64,12000,12000,12000,4.62988,746.455
64,14000,14000,14000,7.14837,767.728
64,14000,14000,14000,9.40697,583.397
64,14000,14000,14000,9.09347,603.51
64,14000,14000,14000,9.03745,607.251
64,14000,14000,14000,8.88013,618.009
64,14000,14000,14000,8.46656,648.197
64,14000,14000,14000,8.75279,627
64,14000,14000,14000,8.92072,615.197
64,14000,14000,14000,8.84213,620.665
64,14000,14000,14000,8.47843,647.29
64,16000,16000,16000,5.93615,1380.02
64,16000,16000,16000,7.67435,1067.45
64,16000,16000,16000,6.64487,1232.83
64,16000,16000,16000,6.37086,1285.86
64,16000,16000,16000,7.58315,1080.29
64,16000,16000,16000,7.4264,1103.09
64,16000,16000,16000,6.87425,1191.69
64,16000,16000,16000,5.67344,1443.92
64,16000,16000,16000,5.6916,1439.31
64,16000,16000,16000,6.18878,1323.69
64,18000,18000,18000,7.83334,1489.02
64,18000,18000,18000,10.1127,1153.4
64,18000,18000,18000,6.90124,1690.13
64,18000,18000,18000,9.24742,1261.32
64,18000,18000,18000,9.77944,1192.71
64,18000,18000,18000,8.77264,1329.59
64,18000,18000,18000,13.8105,844.578
64,18000,18000,18000,8.55078,1364.09
64,18000,18000,18000,15.7496,740.589
64,18000,18000,18000,16.6527,700.428
64,20000,20000,20000,25.5944,625.136
64,20000,20000,20000,22.5488,709.573
64,20000,20000,20000,20.1428,794.329
64,20000,20000,20000,21.8357,732.745
64,20000,20000,20000,20.9204,764.802
64,20000,20000,20000,19.3328,827.607
64,20000,20000,20000,22.9419,697.413
64,20000,20000,20000,20.4791,781.284
64,20000,20000,20000,25.3521,631.111
64,20000,20000,20000,24.6121,650.087
