n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0451612,354.287
64,2000,2000,2000,0.0451221,354.594
64,2000,2000,2000,0.0430232,371.892
64,2000,2000,2000,0.0426958,374.744
64,2000,2000,2000,0.0416709,383.961
64,2000,2000,2000,0.0410069,390.178
64,2000,2000,2000,0.0434982,367.831
64,2000,2000,2000,0.0437575,365.651
64,2000,2000,2000,0.0429445,372.574
64,2000,2000,2000,0.0423374,377.916
64,4000,4000,4000,0.0953388,1342.58
64,4000,4000,4000,0.0987633,1296.03
64,4000,4000,4000,0.0949448,1348.15
64,4000,4000,4000,0.0980413,1305.57
64,4000,4000,4000,0.0969499,1320.27
64,4000,4000,4000,0.0970207,1319.31
64,4000,4000,4000,0.0965229,1326.11
64,4000,4000,4000,0.0993731,1288.07
64,4000,4000,4000,0.0982114,1303.31
64,4000,4000,4000,0.100088,1278.87
64,6000,6000,6000,0.243114,1776.94
64,6000,6000,6000,0.248078,1741.39
64,6000,6000,6000,0.236159,1829.28
64,6000,6000,6000,0.23971,1802.18
64,6000,6000,6000,0.245112,1762.46
64,6000,6000,6000,0.251144,1720.13
64,6000,6000,6000,0.260131,1660.7
64,6000,6000,6000,0.242352,1782.53
64,6000,6000,6000,0.24112,1791.64
64,6000,6000,6000,0.258837,1669
64,8000,8000,8000,0.69013,1483.78
64,8000,8000,8000,0.68372,1497.69
64,8000,8000,8000,0.694954,1473.48
64,8000,8000,8000,0.688733,1486.79
64,8000,8000,8000,0.701514,1459.7
64,8000,8000,8000,0.693381,1476.82
64,8000,8000,8000,0.706088,1450.24
64,8000,8000,8000,0.699463,1463.98
64,8000,8000,8000,0.691284,1481.3
64,8000,8000,8000,0.701071,1460.62
64,10000,10000,10000,1.57769,1267.68
64,10000,10000,10000,1.55781,1283.85
64,10000,10000,10000,1.57498,1269.85
64,10000,10000,10000,1.54267,1296.45
64,10000,10000,10000,1.60038,1249.71
64,10000,10000,10000,1.61522,1238.22
64,10000,10000,10000,1.59226,1256.07
64,10000,10000,10000,1.5953,1253.68
64,10000,10000,10000,1.54154,1297.4
64,10000,10000,10000,1.5458,1293.83
64,12000,12000,12000,2.78925,1239.04
64,12000,12000,12000,2.72051,1270.35
64,12000,12000,12000,2.42696,1424
64,12000,12000,12000,2.76364,1250.52
64,12000,12000,12000,2.37944,1452.44
64,12000,12000,12000,2.8324,1220.17
64,12000,12000,12000,2.73479,1263.72
64,12000,12000,12000,2.36943,1458.58
64,12000,12000,12000,2.74636,1258.39
64,12000,12000,12000,2.7836,1241.56
64,14000,14000,14000,3.72377,1473.77
64,14000,14000,14000,4.31013,1273.28
64,14000,14000,14000,3.68711,1488.43
64,14000,14000,14000,3.75734,1460.61
64,14000,14000,14000,4.24184,1293.78
64,14000,14000,14000,4.19187,1309.2
64,14000,14000,14000,4.43412,1237.68
64,14000,14000,14000,4.19987,1306.71
64,14000,14000,14000,3.74694,1464.66
64,14000,14000,14000,3.68722,1488.39
64,16000,16000,16000,6.54268,1252.09
64,16000,16000,16000,5.8212,1407.27
64,16000,16000,16000,6.63595,1234.49
64,16000,16000,16000,6.52813,1254.88
64,16000,16000,16000,6.29367,1301.63
64,16000,16000,16000,6.57554,1245.83
64,16000,16000,16000,6.24213,1312.37
64,16000,16000,16000,6.6261,1236.32
64,16000,16000,16000,6.60562,1240.16
64,16000,16000,16000,6.59003,1243.09
64,18000,18000,18000,4.58464,2544.15
64,18000,18000,18000,4.35817,2676.35
64,18000,18000,18000,4.50371,2589.87
64,18000,18000,18000,4.74059,2460.45
64,18000,18000,18000,4.456,2617.6
64,18000,18000,18000,4.35404,2678.89
64,18000,18000,18000,4.43737,2628.58
64,18000,18000,18000,5.38013,2167.98
64,18000,18000,18000,5.09249,2290.43
64,18000,18000,18000,4.80298,2428.49
64,20000,20000,20000,5.98476,2673.46
64,20000,20000,20000,6.1601,2597.36
64,20000,20000,20000,6.1755,2590.89
64,20000,20000,20000,5.88292,2719.74
64,20000,20000,20000,5.87535,2723.24
64,20000,20000,20000,11.4831,1393.36
64,20000,20000,20000,5.9882,2671.92
64,20000,20000,20000,5.88581,2718.4
64,20000,20000,20000,5.78237,2767.03
64,20000,20000,20000,6.05834,2640.99
