n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0679358,235.517
64,2000,2000,2000,0.0639721,250.109
64,2000,2000,2000,0.0654234,244.561
64,2000,2000,2000,0.0638554,250.566
64,2000,2000,2000,0.0632102,253.124
64,2000,2000,2000,0.0659065,242.768
64,2000,2000,2000,0.0798937,200.266
64,2000,2000,2000,0.0657392,243.386
64,2000,2000,2000,0.0756548,211.487
64,2000,2000,2000,0.0637492,250.983
64,4000,4000,4000,0.217804,587.685
64,4000,4000,4000,0.229799,557.008
64,4000,4000,4000,0.226394,565.385
64,4000,4000,4000,0.222591,575.045
64,4000,4000,4000,0.236313,541.656
64,4000,4000,4000,0.227886,561.684
64,4000,4000,4000,0.223479,572.76
64,4000,4000,4000,0.228683,559.726
64,4000,4000,4000,0.228633,559.85
64,4000,4000,4000,0.256191,499.627
64,6000,6000,6000,0.7738,558.284
64,6000,6000,6000,0.751899,574.545
64,6000,6000,6000,0.749459,576.415
64,6000,6000,6000,0.725415,595.521
64,6000,6000,6000,0.75353,573.302
64,6000,6000,6000,0.741583,582.537
64,6000,6000,6000,0.752265,574.266
64,6000,6000,6000,0.746643,578.59
64,6000,6000,6000,0.742222,582.036
64,6000,6000,6000,0.754241,572.761
64,8000,8000,8000,1.75001,585.141
64,8000,8000,8000,1.7393,588.743
64,8000,8000,8000,1.74595,586.501
64,8000,8000,8000,1.73899,588.846
64,8000,8000,8000,1.74227,587.739
64,8000,8000,8000,1.7518,584.54
64,8000,8000,8000,1.75319,584.079
64,8000,8000,8000,1.71974,595.438
64,8000,8000,8000,1.73541,590.061
64,8000,8000,8000,1.75064,584.93
64,10000,10000,10000,3.07124,651.203
64,10000,10000,10000,2.45001,816.322
64,10000,10000,10000,2.40182,832.701
64,10000,10000,10000,3.28389,609.033
64,10000,10000,10000,3.36351,594.618
64,10000,10000,10000,3.33177,600.281
64,10000,10000,10000,3.31272,603.734
64,10000,10000,10000,3.31966,602.472
64,10000,10000,10000,3.25143,615.114
64,10000,10000,10000,3.31858,602.668
64,12000,12000,12000,5.72412,603.76
64,12000,12000,12000,3.85636,896.182
64,12000,12000,12000,2.9773,1160.78
64,12000,12000,12000,5.36098,644.659
64,12000,12000,12000,5.34668,646.382
64,12000,12000,12000,4.64975,743.266
64,12000,12000,12000,5.25601,657.533
64,12000,12000,12000,3.84518,898.788
64,12000,12000,12000,5.76535,599.443
64,12000,12000,12000,5.70144,606.162
64,14000,14000,14000,8.82267,622.034
64,14000,14000,14000,8.97607,611.403
64,14000,14000,14000,8.88709,617.525
64,14000,14000,14000,8.97345,611.582
64,14000,14000,14000,8.92079,615.192
64,14000,14000,14000,7.0418,779.346
64,14000,14000,14000,8.88997,617.325
64,14000,14000,14000,8.8464,620.365
64,14000,14000,14000,9.06406,605.468
64,14000,14000,14000,9.06973,605.09
64,16000,16000,16000,5.28785,1549.21
64,16000,16000,16000,5.94931,1376.97
64,16000,16000,16000,7.44021,1101.04
64,16000,16000,16000,7.53239,1087.57
64,16000,16000,16000,5.41884,1511.76
64,16000,16000,16000,6.43032,1273.96
64,16000,16000,16000,6.21649,1317.78
64,16000,16000,16000,5.92945,1381.58
64,16000,16000,16000,5.49506,1490.79
64,16000,16000,16000,5.90151,1388.12
64,18000,18000,18000,10.3697,1124.82
64,18000,18000,18000,16.6128,702.111
64,18000,18000,18000,8.7283,1336.34
64,18000,18000,18000,8.73806,1334.85
64,18000,18000,18000,16.409,710.831
64,18000,18000,18000,10.1217,1152.38
64,18000,18000,18000,10.5319,1107.5
64,18000,18000,18000,7.14786,1631.82
64,18000,18000,18000,9.73301,1198.4
64,18000,18000,18000,9.25705,1260.01
64,20000,20000,20000,21.5082,743.902
64,20000,20000,20000,22.6237,707.223
64,20000,20000,20000,23.2696,687.592
64,20000,20000,20000,25.9485,616.605
64,20000,20000,20000,26.3795,606.531
64,20000,20000,20000,25.0584,638.508
64,20000,20000,20000,20.458,782.089
64,20000,20000,20000,24.7135,647.42
64,20000,20000,20000,25.2127,634.6
64,20000,20000,20000,22.5246,710.334
