n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0417917,382.851
64,2000,2000,2000,0.0428388,373.493
64,2000,2000,2000,0.0417349,383.373
64,2000,2000,2000,0.0437395,365.802
64,2000,2000,2000,0.0414904,385.632
64,2000,2000,2000,0.0578607,276.526
64,2000,2000,2000,0.0440437,363.275
64,2000,2000,2000,0.0412055,388.298
64,2000,2000,2000,0.0432076,370.305
64,2000,2000,2000,0.0424167,377.21
64,4000,4000,4000,0.0966092,1324.93
64,4000,4000,4000,0.0984125,1300.65
64,4000,4000,4000,0.0960528,1332.6
64,4000,4000,4000,0.0958524,1335.39
64,4000,4000,4000,0.0980758,1305.11
64,4000,4000,4000,0.100107,1278.63
64,4000,4000,4000,0.0958491,1335.43
64,4000,4000,4000,0.098774,1295.89
64,4000,4000,4000,0.0976807,1310.39
64,4000,4000,4000,0.0966925,1323.78
64,6000,6000,6000,0.24338,1775
64,6000,6000,6000,0.240501,1796.25
64,6000,6000,6000,0.239993,1800.05
64,6000,6000,6000,0.241535,1788.56
64,6000,6000,6000,0.258013,1674.33
64,6000,6000,6000,0.25273,1709.33
64,6000,6000,6000,0.251328,1718.87
64,6000,6000,6000,0.237656,1817.76
64,6000,6000,6000,0.256642,1683.28
64,6000,6000,6000,0.244635,1765.89
64,8000,8000,8000,0.700713,1461.37
64,8000,8000,8000,0.708575,1445.15
64,8000,8000,8000,0.696512,1470.18
64,8000,8000,8000,0.697948,1467.16
64,8000,8000,8000,0.68806,1488.24
64,8000,8000,8000,0.705845,1450.74
64,8000,8000,8000,0.704786,1452.92
64,8000,8000,8000,0.692362,1478.99
64,8000,8000,8000,0.675812,1515.21
64,8000,8000,8000,0.690696,1482.56
64,10000,10000,10000,1.58499,1261.83
64,10000,10000,10000,1.53195,1305.53
64,10000,10000,10000,1.55154,1289.04
64,10000,10000,10000,1.546,1293.66
64,10000,10000,10000,1.52347,1312.79
64,10000,10000,10000,1.55816,1283.57
64,10000,10000,10000,1.53223,1305.29
64,10000,10000,10000,1.55889,1282.97
64,10000,10000,10000,1.54447,1294.94
64,10000,10000,10000,1.57801,1267.42
64,12000,12000,12000,2.75518,1254.36
64,12000,12000,12000,2.83664,1218.34
64,12000,12000,12000,2.85166,1211.93
64,12000,12000,12000,2.79075,1238.38
64,12000,12000,12000,2.78694,1240.07
64,12000,12000,12000,2.74826,1257.52
64,12000,12000,12000,2.85269,1211.49
64,12000,12000,12000,2.70352,1278.33
64,12000,12000,12000,2.95192,1170.77
64,12000,12000,12000,2.39648,1442.12
64,14000,14000,14000,4.22651,1298.47
64,14000,14000,14000,4.24626,1292.43
64,14000,14000,14000,4.34752,1262.33
64,14000,14000,14000,3.74841,1464.09
64,14000,14000,14000,4.36539,1257.16
64,14000,14000,14000,4.37032,1255.74
64,14000,14000,14000,4.17857,1313.37
64,14000,14000,14000,3.78174,1451.18
64,14000,14000,14000,3.66775,1496.28
64,14000,14000,14000,4.20703,1304.48
64,16000,16000,16000,6.31002,1298.25
64,16000,16000,16000,6.50136,1260.04
64,16000,16000,16000,6.36518,1287
64,16000,16000,16000,6.59774,1241.64
64,16000,16000,16000,6.47151,1265.86
64,16000,16000,16000,6.59341,1242.45
64,16000,16000,16000,4.85554,1687.15
64,16000,16000,16000,6.54133,1252.35
64,16000,16000,16000,5.94892,1377.06
64,16000,16000,16000,6.60806,1239.7
64,18000,18000,18000,4.65237,2507.11
64,18000,18000,18000,4.70684,2478.1
64,18000,18000,18000,4.49,2597.78
64,18000,18000,18000,4.55608,2560.1
64,18000,18000,18000,4.38579,2659.5
64,18000,18000,18000,4.45873,2615.99
64,18000,18000,18000,4.77333,2443.58
64,18000,18000,18000,4.71742,2472.54
64,18000,18000,18000,4.80845,2425.73
64,18000,18000,18000,4.99443,2335.4
64,20000,20000,20000,5.76602,2774.88
64,20000,20000,20000,5.78308,2766.69
64,20000,20000,20000,5.95816,2685.39
64,20000,20000,20000,5.87432,2723.72
64,20000,20000,20000,5.87713,2722.42
64,20000,20000,20000,6.12647,2611.62
64,20000,20000,20000,5.91398,2705.46
64,20000,20000,20000,5.93048,2697.93
64,20000,20000,20000,5.85771,2731.44
64,20000,20000,20000,6.00947,2662.46
