n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.322108,49.6728
64,2000,2000,2000,0.0428036,373.801
64,2000,2000,2000,0.0403395,396.633
64,2000,2000,2000,0.0399955,400.045
64,2000,2000,2000,0.0409297,390.914
64,2000,2000,2000,0.0408429,391.745
64,2000,2000,2000,0.039886,401.143
64,2000,2000,2000,0.0420788,380.239
64,2000,2000,2000,0.0406206,393.889
64,2000,2000,2000,0.0434554,368.194
64,4000,4000,4000,0.197717,647.391
64,4000,4000,4000,0.195854,653.549
64,4000,4000,4000,0.198313,645.445
64,4000,4000,4000,0.216363,591.598
64,4000,4000,4000,0.204695,625.321
64,4000,4000,4000,0.197772,647.209
64,4000,4000,4000,0.20174,634.48
64,4000,4000,4000,0.189078,676.969
64,4000,4000,4000,0.202989,630.577
64,4000,4000,4000,0.194791,657.115
64,6000,6000,6000,0.768321,562.265
64,6000,6000,6000,0.762094,566.86
64,6000,6000,6000,0.768221,562.338
64,6000,6000,6000,0.763554,565.775
64,6000,6000,6000,0.762381,566.646
64,6000,6000,6000,0.76189,567.011
64,6000,6000,6000,0.762622,566.467
64,6000,6000,6000,0.764468,565.099
64,6000,6000,6000,0.768141,562.397
64,6000,6000,6000,0.762624,566.465
64,8000,8000,8000,1.80786,566.416
64,8000,8000,8000,1.80726,566.603
64,8000,8000,8000,1.79635,570.045
64,8000,8000,8000,1.80045,568.747
64,8000,8000,8000,1.80434,567.52
64,8000,8000,8000,1.79291,571.14
64,8000,8000,8000,1.79698,569.846
64,8000,8000,8000,1.80503,567.304
64,8000,8000,8000,1.80586,567.042
64,8000,8000,8000,1.79884,569.257
64,10000,10000,10000,3.46968,576.421
64,10000,10000,10000,3.46457,577.273
64,10000,10000,10000,3.4615,577.784
64,10000,10000,10000,3.46208,577.687
64,10000,10000,10000,3.45682,578.567
64,10000,10000,10000,3.45393,579.05
64,10000,10000,10000,3.47706,575.198
64,10000,10000,10000,3.47712,575.188
64,10000,10000,10000,3.4733,575.821
64,10000,10000,10000,3.47263,575.933
64,12000,12000,12000,5.43077,636.374
64,12000,12000,12000,2.41246,1432.57
64,12000,12000,12000,2.38677,1447.98
64,12000,12000,12000,2.62649,1315.82
64,12000,12000,12000,2.40007,1439.96
64,12000,12000,12000,2.38505,1449.02
64,12000,12000,12000,2.36951,1458.53
64,12000,12000,12000,2.41321,1432.11
64,12000,12000,12000,2.39377,1443.75
64,12000,12000,12000,2.40037,1439.78
64,14000,14000,14000,4.10325,1337.48
64,14000,14000,14000,4.07497,1346.76
64,14000,14000,14000,4.08254,1344.26
64,14000,14000,14000,4.07187,1347.78
64,14000,14000,14000,4.11926,1332.28
64,14000,14000,14000,4.09374,1340.58
64,14000,14000,14000,4.08086,1344.81
64,14000,14000,14000,4.12985,1328.86
64,14000,14000,14000,4.09415,1340.45
64,14000,14000,14000,4.09389,1340.53
64,16000,16000,16000,5.98494,1368.77
64,16000,16000,16000,6.00601,1363.97
64,16000,16000,16000,6.05527,1352.87
64,16000,16000,16000,5.97846,1370.25
64,16000,16000,16000,5.95672,1375.25
64,16000,16000,16000,6.04857,1354.37
64,16000,16000,16000,5.98606,1368.51
64,16000,16000,16000,9.7078,843.857
64,16000,16000,16000,9.79071,836.712
64,16000,16000,16000,9.77978,837.646
64,18000,18000,18000,16.2644,717.147
64,18000,18000,18000,16.3065,715.298
64,18000,18000,18000,16.302,715.496
64,18000,18000,18000,16.3208,714.671
64,18000,18000,18000,18.4701,631.505
64,18000,18000,18000,16.3174,714.822
64,18000,18000,18000,16.268,716.992
64,18000,18000,18000,16.3026,715.47
64,18000,18000,18000,16.3003,715.571
64,18000,18000,18000,16.2638,717.175
64,20000,20000,20000,24.6923,647.976
64,20000,20000,20000,25.624,624.414
64,20000,20000,20000,25.6795,623.065
64,20000,20000,20000,24.9194,642.07
64,20000,20000,20000,9.7209,1645.94
64,20000,20000,20000,9.74251,1642.29
64,20000,20000,20000,9.69713,1649.97
64,20000,20000,20000,11.5398,1386.51
64,20000,20000,20000,9.76216,1638.98
64,20000,20000,20000,9.14111,1750.33
