n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0924053,173.15
64,2000,2000,2000,0.0277551,576.471
64,2000,2000,2000,0.0267908,597.219
64,2000,2000,2000,0.0254502,628.68
64,2000,2000,2000,0.0261581,611.665
64,2000,2000,2000,0.0260589,613.995
64,2000,2000,2000,0.0263134,608.055
64,2000,2000,2000,0.0249614,640.989
64,2000,2000,2000,0.0255802,625.484
64,2000,2000,2000,0.0259395,616.821
64,2000,2000,2000,0.0257128,622.257
64,2000,2000,2000,0.0261236,612.474
64,2000,2000,2000,0.0264436,605.061
64,2000,2000,2000,0.0254151,629.546
64,2000,2000,2000,0.0258926,617.937
64,2000,2000,2000,0.0258921,617.95
64,2000,2000,2000,0.0258324,619.376
64,2000,2000,2000,0.0261472,611.921
64,2000,2000,2000,0.0261317,612.283
64,2000,2000,2000,0.0250841,637.854
64,3000,3000,3000,0.0470165,1148.53
64,3000,3000,3000,0.0434499,1242.81
64,3000,3000,3000,0.0459354,1175.56
64,3000,3000,3000,0.0454288,1188.67
64,3000,3000,3000,0.0426073,1267.39
64,3000,3000,3000,0.0441788,1222.31
64,3000,3000,3000,0.0448817,1203.16
64,3000,3000,3000,0.0437258,1234.97
64,3000,3000,3000,0.0433888,1244.56
64,3000,3000,3000,0.0431893,1250.31
64,3000,3000,3000,0.0473574,1140.27
64,3000,3000,3000,0.0470895,1146.75
64,3000,3000,3000,0.0440568,1225.69
64,3000,3000,3000,0.0463484,1165.09
64,3000,3000,3000,0.0434483,1242.86
64,3000,3000,3000,0.045937,1175.52
64,3000,3000,3000,0.043603,1238.45
64,3000,3000,3000,0.0439379,1229.01
64,3000,3000,3000,0.0454025,1189.36
64,3000,3000,3000,0.0457878,1179.35
64,4000,4000,4000,0.0706446,1811.89
64,4000,4000,4000,0.0795911,1608.22
64,4000,4000,4000,0.0797255,1605.51
64,4000,4000,4000,0.0752106,1701.89
64,4000,4000,4000,0.0786212,1628.06
64,4000,4000,4000,0.0813623,1573.21
64,4000,4000,4000,0.0751435,1703.41
64,4000,4000,4000,0.0700902,1826.22
64,4000,4000,4000,0.0790861,1618.49
64,4000,4000,4000,0.0769372,1663.7
64,4000,4000,4000,0.0797668,1604.68
64,4000,4000,4000,0.0698897,1831.46
64,4000,4000,4000,0.0806354,1587.39
64,4000,4000,4000,0.07433,1722.05
64,4000,4000,4000,0.0746915,1713.72
64,4000,4000,4000,0.0764317,1674.7
64,4000,4000,4000,0.0781501,1637.87
64,4000,4000,4000,0.0788109,1624.14
64,4000,4000,4000,0.076568,1671.72
64,4000,4000,4000,0.0792957,1614.21
64,5000,5000,5000,0.122625,2038.74
64,5000,5000,5000,0.123757,2020.08
64,5000,5000,5000,0.126615,1974.49
64,5000,5000,5000,0.125183,1997.08
64,5000,5000,5000,0.128689,1942.67
64,5000,5000,5000,0.12185,2051.71
64,5000,5000,5000,0.127252,1964.61
64,5000,5000,5000,0.126393,1977.95
64,5000,5000,5000,0.122945,2033.43
64,5000,5000,5000,0.128124,1951.23
64,5000,5000,5000,0.123718,2020.73
64,5000,5000,5000,0.123825,2018.97
64,5000,5000,5000,0.126904,1969.99
64,5000,5000,5000,0.121675,2054.66
64,5000,5000,5000,0.122849,2035.02
64,5000,5000,5000,0.122372,2042.95
64,5000,5000,5000,0.124669,2005.31
64,5000,5000,5000,0.124921,2001.27
64,5000,5000,5000,0.122001,2049.16
64,5000,5000,5000,0.126287,1979.61
64,6000,6000,6000,0.251974,1714.46
64,6000,6000,6000,0.243672,1772.87
64,6000,6000,6000,0.228692,1889
64,6000,6000,6000,0.232843,1855.33
64,6000,6000,6000,0.249965,1728.24
64,6000,6000,6000,0.244543,1766.56
64,6000,6000,6000,0.242323,1782.74
64,6000,6000,6000,0.234301,1843.78
64,6000,6000,6000,0.243374,1775.05
64,6000,6000,6000,0.267814,1613.06
64,6000,6000,6000,0.239267,1805.52
64,6000,6000,6000,0.25211,1713.54
64,6000,6000,6000,0.24797,1742.15
64,6000,6000,6000,0.23967,1802.48
64,6000,6000,6000,0.216685,1993.67
64,6000,6000,6000,0.264619,1632.53
64,6000,6000,6000,0.250712,1723.09
64,6000,6000,6000,0.25298,1707.64
64,6000,6000,6000,0.235211,1836.65
64,6000,6000,6000,0.247398,1746.18
64,7000,7000,7000,0.47812,1434.79
64,7000,7000,7000,0.484455,1416.03
64,7000,7000,7000,0.467564,1467.18
64,7000,7000,7000,0.461762,1485.61
64,7000,7000,7000,0.473583,1448.53
64,7000,7000,7000,0.476396,1439.98
64,7000,7000,7000,0.472384,1452.21
