n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.045911,348.501
64,2000,2000,2000,0.0537217,297.831
64,2000,2000,2000,0.0520227,307.558
64,2000,2000,2000,0.0530603,301.544
64,2000,2000,2000,0.0505098,316.77
64,2000,2000,2000,0.0504989,316.839
64,2000,2000,2000,0.052867,302.646
64,2000,2000,2000,0.0529148,302.373
64,2000,2000,2000,0.0504345,317.243
64,2000,2000,2000,0.0537532,297.657
64,4000,4000,4000,0.190187,673.023
64,4000,4000,4000,0.197562,647.898
64,4000,4000,4000,0.195829,653.632
64,4000,4000,4000,0.186063,687.94
64,4000,4000,4000,0.171371,746.916
64,4000,4000,4000,0.175078,731.101
64,4000,4000,4000,0.180918,707.502
64,4000,4000,4000,0.175155,730.782
64,4000,4000,4000,0.182515,701.314
64,4000,4000,4000,0.173023,739.785
64,6000,6000,6000,0.633262,682.182
64,6000,6000,6000,0.616416,700.825
64,6000,6000,6000,0.605232,713.776
64,6000,6000,6000,0.615686,701.657
64,6000,6000,6000,0.656898,657.636
64,6000,6000,6000,0.616388,700.857
64,6000,6000,6000,0.629164,686.625
64,6000,6000,6000,0.648137,666.526
64,6000,6000,6000,0.609944,708.261
64,6000,6000,6000,0.617443,699.659
64,8000,8000,8000,0.498541,2053.99
64,8000,8000,8000,0.484947,2111.57
64,8000,8000,8000,0.469662,2180.29
64,8000,8000,8000,0.447579,2287.87
64,8000,8000,8000,0.485026,2111.23
64,8000,8000,8000,0.470061,2178.44
64,8000,8000,8000,0.45865,2232.64
64,8000,8000,8000,0.464989,2202.2
64,8000,8000,8000,0.47977,2134.35
64,8000,8000,8000,0.448614,2282.59
64,10000,10000,10000,1.29861,1540.11
64,10000,10000,10000,1.32056,1514.51
64,10000,10000,10000,1.32701,1507.15
64,10000,10000,10000,1.33367,1499.63
64,10000,10000,10000,1.32085,1514.17
64,10000,10000,10000,1.34048,1492.01
64,10000,10000,10000,1.34076,1491.69
64,10000,10000,10000,1.31863,1516.72
64,10000,10000,10000,1.38977,1439.08
64,10000,10000,10000,1.37038,1459.45
64,12000,12000,12000,2.95411,1169.89
64,12000,12000,12000,2.75262,1255.53
64,12000,12000,12000,2.68102,1289.06
64,12000,12000,12000,2.70609,1277.12
64,12000,12000,12000,2.69799,1280.96
64,12000,12000,12000,2.75766,1253.24
64,12000,12000,12000,2.74334,1259.78
64,12000,12000,12000,2.7078,1276.31
64,12000,12000,12000,2.7627,1250.95
64,12000,12000,12000,2.92484,1181.6
64,14000,14000,14000,4.4274,1239.55
64,14000,14000,14000,4.5165,1215.1
64,14000,14000,14000,4.44,1236.04
64,14000,14000,14000,4.46638,1228.74
64,14000,14000,14000,4.41283,1243.65
64,14000,14000,14000,4.58764,1196.26
64,14000,14000,14000,4.46399,1229.39
64,14000,14000,14000,4.40729,1245.21
64,14000,14000,14000,8.9548,612.856
64,14000,14000,14000,9.42593,582.224
64,16000,16000,16000,9.74134,840.952
64,16000,16000,16000,9.10932,899.299
64,16000,16000,16000,9.10333,899.89
64,16000,16000,16000,13.4407,609.49
64,16000,16000,16000,9.80931,835.125
64,16000,16000,16000,9.90807,826.801
64,16000,16000,16000,13.6957,598.143
64,16000,16000,16000,9.8147,834.667
64,16000,16000,16000,9.72421,842.434
64,16000,16000,16000,9.03955,906.24
64,18000,18000,18000,16.729,697.233
64,18000,18000,18000,16.7211,697.564
64,18000,18000,18000,16.5763,703.655
64,18000,18000,18000,16.5667,704.064
64,18000,18000,18000,16.6866,699.004
64,18000,18000,18000,16.7448,696.573
64,18000,18000,18000,16.6052,702.429
64,18000,18000,18000,18.876,617.929
64,18000,18000,18000,16.6763,699.436
64,18000,18000,18000,6.90284,1689.74
64,20000,20000,20000,9.5285,1679.17
64,20000,20000,20000,9.78091,1635.84
64,20000,20000,20000,8.54522,1872.39
64,20000,20000,20000,9.69818,1649.79
64,20000,20000,20000,9.69551,1650.25
64,20000,20000,20000,9.75109,1640.84
64,20000,20000,20000,9.71348,1647.2
64,20000,20000,20000,12.1594,1315.86
64,20000,20000,20000,9.7169,1646.62
64,20000,20000,20000,9.71524,1646.9
