n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.025297,632.486
64,2000,2000,2000,0.0249106,642.296
64,2000,2000,2000,0.025803,620.084
64,2000,2000,2000,0.0250986,637.485
64,2000,2000,2000,0.024745,646.595
64,2000,2000,2000,0.024811,644.875
64,2000,2000,2000,0.025533,626.639
64,2000,2000,2000,0.0259116,617.483
64,2000,2000,2000,0.0260735,613.651
64,2000,2000,2000,0.0255859,625.344
64,4000,4000,4000,0.0731006,1751.01
64,4000,4000,4000,0.0711651,1798.63
64,4000,4000,4000,0.0698795,1831.72
64,4000,4000,4000,0.0674096,1898.84
64,4000,4000,4000,0.0675351,1895.31
64,4000,4000,4000,0.0712079,1797.55
64,4000,4000,4000,0.0722785,1770.93
64,4000,4000,4000,0.0731432,1749.99
64,4000,4000,4000,0.0704752,1816.24
64,4000,4000,4000,0.0677713,1888.71
64,6000,6000,6000,0.165184,2615.27
64,6000,6000,6000,0.170908,2527.68
64,6000,6000,6000,0.171775,2514.91
64,6000,6000,6000,0.168899,2557.74
64,6000,6000,6000,0.166298,2597.75
64,6000,6000,6000,0.167636,2577.01
64,6000,6000,6000,0.174147,2480.66
64,6000,6000,6000,0.163042,2649.63
64,6000,6000,6000,0.169015,2555.98
64,6000,6000,6000,0.172268,2507.72
64,8000,8000,8000,0.441754,2318.03
64,8000,8000,8000,0.431627,2372.42
64,8000,8000,8000,0.44989,2276.11
64,8000,8000,8000,0.427565,2394.96
64,8000,8000,8000,0.43807,2337.53
64,8000,8000,8000,0.429361,2384.94
64,8000,8000,8000,0.428262,2391.06
64,8000,8000,8000,0.435265,2352.59
64,8000,8000,8000,0.430846,2376.72
64,8000,8000,8000,0.429828,2382.35
64,10000,10000,10000,1.3616,1468.86
64,10000,10000,10000,1.31697,1518.64
64,10000,10000,10000,1.30681,1530.44
64,10000,10000,10000,1.31463,1521.34
64,10000,10000,10000,1.28783,1553
64,10000,10000,10000,1.32381,1510.79
64,10000,10000,10000,1.31699,1518.61
64,10000,10000,10000,1.31371,1522.4
64,10000,10000,10000,1.31382,1522.28
64,10000,10000,10000,1.32487,1509.58
64,12000,12000,12000,2.5194,1371.76
64,12000,12000,12000,2.78221,1242.18
64,12000,12000,12000,2.75679,1253.63
64,12000,12000,12000,2.91603,1185.17
64,12000,12000,12000,2.70345,1278.36
64,12000,12000,12000,2.75101,1256.27
64,12000,12000,12000,2.67821,1290.41
64,12000,12000,12000,2.80917,1230.25
64,12000,12000,12000,2.70363,1278.28
64,12000,12000,12000,2.89545,1193.6
64,14000,14000,14000,4.57291,1200.11
64,14000,14000,14000,4.60219,1192.48
64,14000,14000,14000,4.57476,1199.62
64,14000,14000,14000,4.40899,1244.73
64,14000,14000,14000,4.35235,1260.93
64,14000,14000,14000,4.47874,1225.35
64,14000,14000,14000,4.47377,1226.71
64,14000,14000,14000,4.53547,1210.02
64,14000,14000,14000,3.27585,1675.29
64,14000,14000,14000,4.55899,1203.78
64,16000,16000,16000,6.40437,1279.13
64,16000,16000,16000,6.4116,1277.68
64,16000,16000,16000,6.42539,1274.94
64,16000,16000,16000,6.43162,1273.71
64,16000,16000,16000,6.43304,1273.43
64,16000,16000,16000,6.41437,1277.13
64,16000,16000,16000,6.44938,1270.2
64,16000,16000,16000,6.3924,1281.52
64,16000,16000,16000,4.34825,1883.98
64,16000,16000,16000,5.96269,1373.88
64,18000,18000,18000,8.90309,1310.11
64,18000,18000,18000,7.02917,1659.37
64,18000,18000,18000,7.03954,1656.93
64,18000,18000,18000,7.03076,1659
64,18000,18000,18000,7.6613,1522.46
64,18000,18000,18000,6.99564,1667.32
64,18000,18000,18000,7.66221,1522.28
64,18000,18000,18000,7.65925,1522.86
64,18000,18000,18000,6.96338,1675.05
64,18000,18000,18000,6.97849,1671.42
64,20000,20000,20000,9.75453,1640.26
64,20000,20000,20000,9.66954,1654.68
64,20000,20000,20000,9.86165,1622.45
64,20000,20000,20000,9.75474,1640.23
64,20000,20000,20000,9.71762,1646.49
64,20000,20000,20000,9.63188,1661.15
64,20000,20000,20000,12.13,1319.04
64,20000,20000,20000,12.1691,1314.81
64,20000,20000,20000,12.3796,1292.45
64,20000,20000,20000,9.75586,1640.04
