n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0327602,488.397
64,2000,2000,2000,0.035459,451.225
64,2000,2000,2000,0.0357479,447.578
64,2000,2000,2000,0.0366238,436.874
64,2000,2000,2000,0.0354199,451.723
64,2000,2000,2000,0.0359638,444.892
64,2000,2000,2000,0.0365833,437.358
64,2000,2000,2000,0.0358749,445.994
64,2000,2000,2000,0.0364663,438.761
64,2000,2000,2000,0.0349382,457.952
64,4000,4000,4000,0.167284,765.165
64,4000,4000,4000,0.176523,725.119
64,4000,4000,4000,0.174784,732.334
64,4000,4000,4000,0.173015,739.818
64,4000,4000,4000,0.169342,755.866
64,4000,4000,4000,0.173078,739.549
64,4000,4000,4000,0.177796,719.928
64,4000,4000,4000,0.172578,741.694
64,4000,4000,4000,0.168557,759.387
64,4000,4000,4000,0.178037,718.95
64,6000,6000,6000,0.625759,690.361
64,6000,6000,6000,0.624829,691.389
64,6000,6000,6000,0.62025,696.494
64,6000,6000,6000,0.62039,696.336
64,6000,6000,6000,0.617447,699.655
64,6000,6000,6000,0.649316,665.315
64,6000,6000,6000,0.617726,699.34
64,6000,6000,6000,0.624925,691.283
64,6000,6000,6000,0.631234,684.374
64,6000,6000,6000,0.62455,691.698
64,8000,8000,8000,1.37935,742.376
64,8000,8000,8000,1.33954,764.44
64,8000,8000,8000,1.32903,770.488
64,8000,8000,8000,1.33911,764.686
64,8000,8000,8000,1.32858,770.745
64,8000,8000,8000,1.38855,737.459
64,8000,8000,8000,1.34899,759.087
64,8000,8000,8000,1.38258,740.642
64,8000,8000,8000,1.33935,764.548
64,8000,8000,8000,1.34364,762.108
64,10000,10000,10000,2.46919,809.983
64,10000,10000,10000,2.44951,816.491
64,10000,10000,10000,2.48667,804.289
64,10000,10000,10000,2.5003,799.903
64,10000,10000,10000,2.46338,811.892
64,10000,10000,10000,2.49921,800.254
64,10000,10000,10000,2.47379,808.476
64,10000,10000,10000,2.50047,799.849
64,10000,10000,10000,2.44813,816.95
64,10000,10000,10000,2.56926,778.433
64,12000,12000,12000,4.07299,848.516
64,12000,12000,12000,4.02076,859.539
64,12000,12000,12000,3.9295,879.502
64,12000,12000,12000,4.16237,830.297
64,12000,12000,12000,1.83064,1887.87
64,12000,12000,12000,1.81991,1899
64,12000,12000,12000,2.07758,1663.47
64,12000,12000,12000,2.10294,1643.41
64,12000,12000,12000,1.83515,1883.22
64,12000,12000,12000,1.80599,1913.63
64,14000,14000,14000,2.81761,1947.75
64,14000,14000,14000,2.88812,1900.2
64,14000,14000,14000,2.83036,1938.98
64,14000,14000,14000,2.72161,2016.45
64,14000,14000,14000,2.73853,2003.99
64,14000,14000,14000,2.82794,1940.64
64,14000,14000,14000,2.77229,1979.59
64,14000,14000,14000,2.74213,2001.36
64,14000,14000,14000,2.75789,1989.93
64,14000,14000,14000,2.81481,1949.69
64,16000,16000,16000,4.46911,1833.03
64,16000,16000,16000,3.96868,2064.16
64,16000,16000,16000,3.95156,2073.1
64,16000,16000,16000,4.46275,1835.64
64,16000,16000,16000,4.02147,2037.07
64,16000,16000,16000,3.97942,2058.59
64,16000,16000,16000,4.45989,1836.82
64,16000,16000,16000,3.89786,2101.67
64,16000,16000,16000,4.53655,1805.78
64,16000,16000,16000,3.93322,2082.77
64,18000,18000,18000,5.68071,2053.26
64,18000,18000,18000,5.2338,2228.59
64,18000,18000,18000,5.20589,2240.54
64,18000,18000,18000,5.67997,2053.53
64,18000,18000,18000,5.28148,2208.47
64,18000,18000,18000,5.34101,2183.86
64,18000,18000,18000,5.48135,2127.94
64,18000,18000,18000,5.56018,2097.77
64,20000,20000,20000,6.58784,2428.72
64,20000,20000,20000,7.01189,2281.84
64,20000,20000,20000,6.96689,2296.58
64,20000,20000,20000,6.72507,2379.16
64,20000,20000,20000,7.97442,2006.42
64,20000,20000,20000,6.57415,2433.78
64,20000,20000,20000,7.60535,2103.78
64,20000,20000,20000,6.88546,2323.74
64,20000,20000,20000,7.87624,2031.43
64,20000,20000,20000,6.91808,2312.78
