n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0222011,720.684
64,2000,2000,2000,0.0221192,723.355
64,2000,2000,2000,0.0218326,732.851
64,2000,2000,2000,0.022374,715.114
64,2000,2000,2000,0.0218948,730.766
64,2000,2000,2000,0.0224557,712.513
64,2000,2000,2000,0.0228455,700.356
64,2000,2000,2000,0.0214327,746.522
64,2000,2000,2000,0.0219357,729.405
64,2000,2000,2000,0.0225018,711.054
64,4000,4000,4000,0.0759025,1686.37
64,4000,4000,4000,0.0760829,1682.38
64,4000,4000,4000,0.0759055,1686.31
64,4000,4000,4000,0.0761173,1681.62
64,4000,4000,4000,0.0769025,1664.45
64,4000,4000,4000,0.0780239,1640.52
64,4000,4000,4000,0.0853526,1499.66
64,4000,4000,4000,0.0775893,1649.71
64,4000,4000,4000,0.0770316,1661.65
64,4000,4000,4000,0.0846047,1512.92
64,6000,6000,6000,0.255516,1690.69
64,6000,6000,6000,0.242592,1780.77
64,6000,6000,6000,0.25526,1692.39
64,6000,6000,6000,0.23859,1810.64
64,6000,6000,6000,0.252641,1709.94
64,6000,6000,6000,0.239567,1803.25
64,6000,6000,6000,0.240569,1795.74
64,6000,6000,6000,0.24773,1743.84
64,6000,6000,6000,0.239278,1805.44
64,6000,6000,6000,0.241887,1785.96
64,8000,8000,8000,0.623841,1641.44
64,8000,8000,8000,0.617794,1657.51
64,8000,8000,8000,0.612029,1673.12
64,8000,8000,8000,0.626583,1634.26
64,8000,8000,8000,0.640575,1598.56
64,8000,8000,8000,0.626558,1634.33
64,8000,8000,8000,0.62688,1633.49
64,8000,8000,8000,0.637702,1605.77
64,8000,8000,8000,0.623238,1643.03
64,8000,8000,8000,0.624148,1640.64
64,10000,10000,10000,1.13606,1760.47
64,10000,10000,10000,1.15782,1727.38
64,10000,10000,10000,1.12322,1780.6
64,10000,10000,10000,1.14429,1747.81
64,10000,10000,10000,1.08934,1835.97
64,10000,10000,10000,1.10965,1802.36
64,10000,10000,10000,1.10029,1817.71
64,10000,10000,10000,1.13134,1767.81
64,10000,10000,10000,1.11631,1791.61
64,10000,10000,10000,1.11701,1790.5
64,12000,12000,12000,1.9721,1752.45
64,12000,12000,12000,1.94904,1773.18
64,12000,12000,12000,1.86365,1854.43
64,12000,12000,12000,1.89263,1826.03
64,12000,12000,12000,1.95738,1765.62
64,12000,12000,12000,1.93498,1786.07
64,12000,12000,12000,1.90956,1809.84
64,12000,12000,12000,1.97396,1750.79
64,12000,12000,12000,1.88565,1832.79
64,12000,12000,12000,1.88756,1830.93
64,14000,14000,14000,2.71945,2018.06
64,14000,14000,14000,2.75783,1989.97
64,14000,14000,14000,2.77599,1976.96
64,14000,14000,14000,2.71991,2017.72
64,14000,14000,14000,2.73242,2008.48
64,14000,14000,14000,2.76825,1982.48
64,14000,14000,14000,2.81508,1949.5
64,14000,14000,14000,2.78332,1971.75
64,14000,14000,14000,2.75573,1991.49
64,14000,14000,14000,2.81664,1948.42
64,16000,16000,16000,3.99875,2048.64
64,16000,16000,16000,3.96076,2068.29
64,16000,16000,16000,4.34463,1885.54
64,16000,16000,16000,4.09331,2001.31
64,16000,16000,16000,4.25471,1925.39
64,16000,16000,16000,3.98358,2056.44
64,16000,16000,16000,4.23719,1933.36
64,16000,16000,16000,3.96072,2068.31
64,16000,16000,16000,4.2428,1930.8
64,16000,16000,16000,3.94374,2077.21
64,18000,18000,18000,4.95062,2356.07
64,18000,18000,18000,4.97076,2346.52
64,18000,18000,18000,4.78433,2437.96
64,18000,18000,18000,5.24629,2223.28
64,18000,18000,18000,5.29921,2201.08
64,18000,18000,18000,5.13101,2273.24
64,18000,18000,18000,4.96377,2349.83
64,18000,18000,18000,5.4304,2147.91
64,18000,18000,18000,5.45612,2137.78
64,18000,18000,18000,5.13363,2272.08
64,20000,20000,20000,6.87663,2326.72
64,20000,20000,20000,6.77259,2362.47
64,20000,20000,20000,6.87087,2328.67
64,20000,20000,20000,6.63814,2410.31
64,20000,20000,20000,6.71178,2383.87
64,20000,20000,20000,6.77697,2360.94
64,20000,20000,20000,6.83233,2341.81
64,20000,20000,20000,6.8671,2329.95
64,20000,20000,20000,6.87842,2326.12
64,20000,20000,20000,6.83811,2339.83
