n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0765563,208.997
64,2000,2000,2000,0.0688251,232.473
64,2000,2000,2000,0.0694312,230.444
64,2000,2000,2000,0.0693497,230.715
64,2000,2000,2000,0.0687166,232.84
64,2000,2000,2000,0.0701216,228.175
64,2000,2000,2000,0.069931,228.797
64,2000,2000,2000,0.0700845,228.296
64,2000,2000,2000,0.0691441,231.401
64,2000,2000,2000,0.0702529,227.749
64,4000,4000,4000,0.311263,411.228
64,4000,4000,4000,0.328562,389.576
64,4000,4000,4000,0.312975,408.979
64,4000,4000,4000,0.321421,398.232
64,4000,4000,4000,0.321979,397.542
64,4000,4000,4000,0.326024,392.609
64,4000,4000,4000,0.322919,396.384
64,4000,4000,4000,0.333047,384.331
64,4000,4000,4000,0.327828,390.448
64,4000,4000,4000,0.325665,393.042
64,6000,6000,6000,0.98101,440.363
64,6000,6000,6000,0.977916,441.756
64,6000,6000,6000,0.972168,444.368
64,6000,6000,6000,0.978538,441.475
64,6000,6000,6000,1.01561,425.361
64,6000,6000,6000,0.977004,442.168
64,6000,6000,6000,0.997799,432.953
64,6000,6000,6000,0.988184,437.166
64,6000,6000,6000,0.987069,437.66
64,6000,6000,6000,0.989176,436.727
64,8000,8000,8000,2.0216,506.529
64,8000,8000,8000,2.01498,508.194
64,8000,8000,8000,1.97674,518.025
64,8000,8000,8000,2.00849,509.835
64,8000,8000,8000,2.01903,507.173
64,8000,8000,8000,2.00959,509.558
64,8000,8000,8000,1.99052,514.439
64,8000,8000,8000,2.00594,510.483
64,8000,8000,8000,1.99437,513.447
64,8000,8000,8000,1.99657,512.88
64,10000,10000,10000,3.32907,600.768
64,10000,10000,10000,3.3019,605.711
64,10000,10000,10000,3.28891,608.104
64,10000,10000,10000,3.35814,595.568
64,10000,10000,10000,3.30248,605.605
64,10000,10000,10000,3.31879,602.629
64,10000,10000,10000,3.30464,605.21
64,10000,10000,10000,3.3334,599.989
64,10000,10000,10000,3.38911,590.126
64,10000,10000,10000,3.33185,600.267
64,12000,12000,12000,4.67241,739.661
64,12000,12000,12000,4.61417,748.996
64,12000,12000,12000,4.61299,749.189
64,12000,12000,12000,4.66333,741.101
64,12000,12000,12000,4.61198,749.353
64,12000,12000,12000,4.74266,728.705
64,12000,12000,12000,4.61791,748.391
64,12000,12000,12000,4.64502,744.022
64,12000,12000,12000,4.72956,730.723
64,12000,12000,12000,4.62754,746.833
64,14000,14000,14000,7.68993,713.66
64,14000,14000,14000,7.62319,719.909
64,14000,14000,14000,7.70673,712.105
64,14000,14000,14000,7.75783,707.414
64,14000,14000,14000,7.67439,715.105
64,14000,14000,14000,7.61718,720.477
64,14000,14000,14000,7.77818,705.563
64,14000,14000,14000,7.55369,726.532
64,14000,14000,14000,3.59408,1526.96
64,14000,14000,14000,3.68922,1487.58
64,16000,16000,16000,5.16491,1586.09
64,16000,16000,16000,5.14138,1593.35
64,16000,16000,16000,5.1873,1579.24
64,16000,16000,16000,5.22116,1569
64,16000,16000,16000,5.16211,1586.95
64,16000,16000,16000,5.09332,1608.38
64,16000,16000,16000,5.17899,1581.78
64,16000,16000,16000,5.21983,1569.4
64,16000,16000,16000,5.12012,1599.96
64,16000,16000,16000,5.1084,1603.63
64,18000,18000,18000,5.33503,2186.31
64,18000,18000,18000,5.23762,2226.96
64,18000,18000,18000,5.45859,2136.82
64,18000,18000,18000,5.44027,2144.01
64,18000,18000,18000,5.25716,2218.69
64,18000,18000,18000,5.06065,2304.84
64,18000,18000,18000,5.59085,2086.26
64,18000,18000,18000,5.1768,2253.13
64,18000,18000,18000,5.24356,2224.44
64,18000,18000,18000,5.2369,2227.27
64,20000,20000,20000,7.22182,2215.51
64,20000,20000,20000,7.31601,2186.98
64,20000,20000,20000,7.38022,2167.96
64,20000,20000,20000,7.30855,2189.22
64,20000,20000,20000,9.07514,1763.06
64,20000,20000,20000,7.30358,2190.71
64,20000,20000,20000,7.08139,2259.44
64,20000,20000,20000,7.07016,2263.03
64,20000,20000,20000,7.20406,2220.97
64,20000,20000,20000,7.15995,2234.65
