n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0320768,498.803
64,2000,2000,2000,0.0322108,496.728
64,2000,2000,2000,0.0323362,494.802
64,2000,2000,2000,0.0317687,503.64
64,2000,2000,2000,0.0325177,492.04
64,2000,2000,2000,0.0326104,490.641
64,2000,2000,2000,0.0330752,483.746
64,2000,2000,2000,0.0330615,483.946
64,2000,2000,2000,0.0329678,485.321
64,2000,2000,2000,0.0334834,477.849
64,4000,4000,4000,0.157214,814.175
64,4000,4000,4000,0.157677,811.787
64,4000,4000,4000,0.159611,801.949
64,4000,4000,4000,0.157521,812.591
64,4000,4000,4000,0.15877,806.199
64,4000,4000,4000,0.160609,796.967
64,4000,4000,4000,0.16014,799.302
64,4000,4000,4000,0.159463,802.696
64,4000,4000,4000,0.158449,807.833
64,4000,4000,4000,0.157482,812.794
64,6000,6000,6000,0.445049,970.68
64,6000,6000,6000,0.437073,988.393
64,6000,6000,6000,0.439782,982.304
64,6000,6000,6000,0.451737,956.308
64,6000,6000,6000,0.44698,966.487
64,6000,6000,6000,0.433308,996.981
64,6000,6000,6000,0.438913,984.25
64,6000,6000,6000,0.442377,976.542
64,6000,6000,6000,0.436497,989.697
64,6000,6000,6000,0.447345,965.698
64,8000,8000,8000,0.954011,1073.36
64,8000,8000,8000,0.965147,1060.98
64,8000,8000,8000,0.955738,1071.42
64,8000,8000,8000,0.950333,1077.52
64,8000,8000,8000,0.965197,1060.92
64,8000,8000,8000,0.985123,1039.46
64,8000,8000,8000,0.975205,1050.04
64,8000,8000,8000,0.955605,1071.57
64,8000,8000,8000,0.958904,1067.89
64,8000,8000,8000,0.983741,1040.92
64,10000,10000,10000,1.64294,1217.33
64,10000,10000,10000,1.65893,1205.6
64,10000,10000,10000,1.66481,1201.34
64,10000,10000,10000,1.67765,1192.14
64,10000,10000,10000,1.6566,1207.29
64,10000,10000,10000,1.66629,1200.27
64,10000,10000,10000,1.65185,1210.76
64,10000,10000,10000,1.65738,1206.73
64,10000,10000,10000,1.65788,1206.36
64,12000,12000,12000,2.58418,1337.37
64,12000,12000,12000,2.54571,1357.58
64,12000,12000,12000,2.56408,1347.85
64,12000,12000,12000,2.60883,1324.73
64,12000,12000,12000,2.54689,1356.95
64,12000,12000,12000,2.57925,1339.93
64,12000,12000,12000,2.5893,1334.72
64,12000,12000,12000,2.58472,1337.09
64,12000,12000,12000,2.5891,1334.83
64,12000,12000,12000,2.59803,1330.24
64,14000,14000,14000,3.81121,1439.96
64,14000,14000,14000,3.69668,1484.58
64,14000,14000,14000,3.61206,1519.35
64,14000,14000,14000,3.57311,1535.92
64,14000,14000,14000,3.70621,1480.76
64,14000,14000,14000,3.73347,1469.95
64,14000,14000,14000,3.69118,1486.79
64,14000,14000,14000,3.63702,1508.93
64,14000,14000,14000,3.58971,1528.82
64,14000,14000,14000,3.70784,1480.11
64,16000,16000,16000,4.67547,1752.12
64,16000,16000,16000,5.13801,1594.39
64,16000,16000,16000,5.14555,1592.05
64,16000,16000,16000,5.09523,1607.78
64,16000,16000,16000,5.16263,1586.79
64,16000,16000,16000,5.14602,1591.91
64,16000,16000,16000,5.1987,1575.78
64,16000,16000,16000,5.12539,1598.32
64,16000,16000,16000,5.10909,1603.42
64,16000,16000,16000,5.18672,1579.42
64,18000,18000,18000,6.13972,1899.76
64,18000,18000,18000,5.73789,2032.8
64,18000,18000,18000,5.82736,2001.59
64,18000,18000,18000,5.83822,1997.87
64,18000,18000,18000,5.59993,2082.88
64,18000,18000,18000,5.71009,2042.7
64,18000,18000,18000,5.91568,1971.71
64,18000,18000,18000,5.84118,1996.86
64,18000,18000,18000,6.04708,1928.86
64,18000,18000,18000,5.97798,1951.16
64,20000,20000,20000,6.46929,2473.22
64,20000,20000,20000,9.02557,1772.74
64,20000,20000,20000,9.0467,1768.6
64,20000,20000,20000,7.22075,2215.84
64,20000,20000,20000,6.69966,2388.18
64,20000,20000,20000,6.49347,2464.01
64,20000,20000,20000,9.03574,1770.75
64,20000,20000,20000,9.07592,1762.91
64,20000,20000,20000,6.5546,2441.03
64,20000,20000,20000,6.53649,2447.8
