n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.051995,307.722
64,2000,2000,2000,0.0607473,263.386
64,2000,2000,2000,0.0593545,269.567
64,2000,2000,2000,0.0574092,278.701
64,2000,2000,2000,0.0595109,268.858
64,2000,2000,2000,0.0601177,266.144
64,2000,2000,2000,0.0588577,271.842
64,2000,2000,2000,0.0569743,280.828
64,2000,2000,2000,0.0572297,279.575
64,2000,2000,2000,0.056764,281.869
64,4000,4000,4000,0.317766,402.812
64,4000,4000,4000,0.320586,399.269
64,4000,4000,4000,0.340824,375.56
64,4000,4000,4000,0.320456,399.43
64,4000,4000,4000,0.341868,374.414
64,4000,4000,4000,0.317032,403.744
64,4000,4000,4000,0.323372,395.829
64,4000,4000,4000,0.314978,406.378
64,4000,4000,4000,0.32897,389.093
64,4000,4000,4000,0.328325,389.858
64,6000,6000,6000,1.01573,425.312
64,6000,6000,6000,1.00403,430.264
64,6000,6000,6000,1.01948,423.747
64,6000,6000,6000,0.989082,436.769
64,6000,6000,6000,1.0204,423.362
64,6000,6000,6000,0.986631,437.854
64,6000,6000,6000,1.05109,411.001
64,6000,6000,6000,1.01987,423.582
64,6000,6000,6000,0.997448,433.105
64,6000,6000,6000,0.994992,434.174
64,8000,8000,8000,2.05172,499.093
64,8000,8000,8000,2.11637,483.847
64,8000,8000,8000,2.19827,465.821
64,8000,8000,8000,2.1013,487.318
64,8000,8000,8000,2.17715,470.34
64,8000,8000,8000,2.17294,471.25
64,8000,8000,8000,2.05087,499.301
64,8000,8000,8000,2.10239,487.066
64,8000,8000,8000,2.13008,480.732
64,8000,8000,8000,2.11848,483.365
64,10000,10000,10000,3.67596,544.075
64,10000,10000,10000,3.52093,568.032
64,10000,10000,10000,3.55197,563.068
64,10000,10000,10000,3.61508,553.238
64,10000,10000,10000,3.64217,549.123
64,10000,10000,10000,3.56715,560.672
64,10000,10000,10000,3.68768,542.347
64,10000,10000,10000,3.00208,666.205
64,10000,10000,10000,3.64093,549.311
64,10000,10000,10000,3.6568,546.926
64,12000,12000,12000,3.76398,918.177
64,12000,12000,12000,3.95251,874.381
64,12000,12000,12000,5.19532,665.214
64,12000,12000,12000,5.12075,674.901
64,12000,12000,12000,5.14829,671.291
64,12000,12000,12000,5.09257,678.636
64,12000,12000,12000,5.42552,636.989
64,12000,12000,12000,5.25283,657.932
64,12000,12000,12000,5.25225,658.004
64,12000,12000,12000,3.81574,905.722
64,14000,14000,14000,8.66005,633.714
64,14000,14000,14000,8.47106,647.853
64,14000,14000,14000,8.67507,632.617
64,14000,14000,14000,8.57282,640.163
64,14000,14000,14000,8.46618,648.226
64,14000,14000,14000,8.5116,644.767
64,14000,14000,14000,8.55866,641.222
64,14000,14000,14000,7.61097,721.064
64,14000,14000,14000,8.4511,649.383
64,14000,14000,14000,8.33943,658.078
64,16000,16000,16000,7.64236,1071.92
64,16000,16000,16000,6.49085,1262.08
64,16000,16000,16000,6.73149,1216.97
64,16000,16000,16000,6.17413,1326.83
64,16000,16000,16000,6.53098,1254.33
64,16000,16000,16000,7.52567,1088.54
64,16000,16000,16000,6.60201,1240.83
64,16000,16000,16000,6.48238,1263.73
64,16000,16000,16000,6.60261,1240.72
64,16000,16000,16000,6.80027,1204.66
64,18000,18000,18000,8.43002,1383.63
64,18000,18000,18000,8.74282,1334.12
64,18000,18000,18000,7.91294,1474.04
64,18000,18000,18000,7.91773,1473.15
64,18000,18000,18000,12.6088,925.071
64,18000,18000,18000,8.7259,1336.71
64,18000,18000,18000,14.796,788.321
64,18000,18000,18000,14.6079,798.473
64,18000,18000,18000,8.00924,1456.32
64,18000,18000,18000,8.3323,1399.85
64,20000,20000,20000,17.2541,927.317
64,20000,20000,20000,21.7193,736.671
64,20000,20000,20000,17.0989,935.733
64,20000,20000,20000,17.4214,918.411
64,20000,20000,20000,16.7754,953.776
64,20000,20000,20000,13.5127,1184.07
64,20000,20000,20000,17.2279,928.724
64,20000,20000,20000,17.1366,933.677
64,20000,20000,20000,20.2642,789.569
64,20000,20000,20000,17.5799,910.133
