n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0317492,503.95
64,2000,2000,2000,0.0304177,526.01
64,2000,2000,2000,0.0311943,512.915
64,2000,2000,2000,0.0319508,500.771
64,2000,2000,2000,0.0323992,493.839
64,2000,2000,2000,0.0332059,481.842
64,2000,2000,2000,0.03393,471.559
64,2000,2000,2000,0.0344183,464.869
64,2000,2000,2000,0.0335278,477.216
64,2000,2000,2000,0.0350094,457.02
64,4000,4000,4000,0.142265,899.73
64,4000,4000,4000,0.147641,866.97
64,4000,4000,4000,0.145947,877.03
64,4000,4000,4000,0.145746,878.239
64,4000,4000,4000,0.143794,890.163
64,4000,4000,4000,0.148536,861.744
64,4000,4000,4000,0.148155,863.961
64,4000,4000,4000,0.148108,864.237
64,4000,4000,4000,0.14601,876.653
64,4000,4000,4000,0.147279,869.097
64,6000,6000,6000,0.441868,977.667
64,6000,6000,6000,0.433217,997.191
64,6000,6000,6000,0.437166,988.182
64,6000,6000,6000,0.443976,973.025
64,6000,6000,6000,0.442482,976.31
64,6000,6000,6000,0.429328,1006.22
64,6000,6000,6000,0.441783,977.857
64,6000,6000,6000,0.449829,960.364
64,6000,6000,6000,0.45598,947.411
64,6000,6000,6000,0.434835,993.48
64,8000,8000,8000,1.01627,1007.6
64,8000,8000,8000,0.993975,1030.21
64,8000,8000,8000,0.988678,1035.73
64,8000,8000,8000,1.00737,1016.51
64,8000,8000,8000,1.00544,1018.46
64,8000,8000,8000,1.01482,1009.05
64,8000,8000,8000,1.0262,997.86
64,8000,8000,8000,1.00467,1019.24
64,8000,8000,8000,1.00121,1022.77
64,8000,8000,8000,1.01395,1009.91
64,10000,10000,10000,1.72685,1158.18
64,10000,10000,10000,1.6965,1178.9
64,10000,10000,10000,1.7273,1157.87
64,10000,10000,10000,1.70864,1170.52
64,10000,10000,10000,1.77788,1124.94
64,10000,10000,10000,1.78413,1121
64,10000,10000,10000,1.75415,1140.15
64,10000,10000,10000,1.72705,1158.05
64,10000,10000,10000,1.74125,1148.6
64,10000,10000,10000,1.76476,1133.3
64,12000,12000,12000,2.83691,1218.23
64,12000,12000,12000,2.68035,1289.38
64,12000,12000,12000,2.80442,1232.34
64,12000,12000,12000,2.64721,1305.53
64,12000,12000,12000,2.83575,1218.73
64,12000,12000,12000,2.83017,1221.13
64,12000,12000,12000,2.59896,1329.76
64,12000,12000,12000,2.76351,1250.58
64,12000,12000,12000,2.77232,1246.61
64,12000,12000,12000,2.80615,1231.58
64,14000,14000,14000,3.91304,1402.49
64,14000,14000,14000,3.8804,1414.29
64,14000,14000,14000,4.00759,1369.4
64,14000,14000,14000,3.96967,1382.48
64,14000,14000,14000,3.94369,1391.59
64,14000,14000,14000,3.94001,1392.89
64,14000,14000,14000,3.24577,1690.82
64,14000,14000,14000,3.89497,1409
64,14000,14000,14000,4.24106,1294.02
64,14000,14000,14000,3.94757,1390.22
64,16000,16000,16000,5.6875,1440.35
64,16000,16000,16000,5.6095,1460.38
64,16000,16000,16000,5.68696,1440.49
64,16000,16000,16000,5.72186,1431.7
64,16000,16000,16000,5.5398,1478.75
64,16000,16000,16000,5.64166,1452.05
64,16000,16000,16000,5.48839,1492.6
64,16000,16000,16000,5.68448,1441.12
64,16000,16000,16000,5.66015,1447.31
64,16000,16000,16000,5.69185,1439.25
64,18000,18000,18000,6.35979,1834.02
64,18000,18000,18000,5.68196,2052.81
64,18000,18000,18000,4.397,2652.72
64,18000,18000,18000,6.41911,1817.08
64,18000,18000,18000,4.73411,2463.82
64,18000,18000,18000,5.41037,2155.86
64,18000,18000,18000,6.32543,1843.99
64,18000,18000,18000,6.35196,1836.28
64,18000,18000,18000,6.37555,1829.49
64,18000,18000,18000,4.85044,2404.73
64,20000,20000,20000,5.42872,2947.29
64,20000,20000,20000,7.53116,2124.51
64,20000,20000,20000,7.07711,2260.81
64,20000,20000,20000,6.08679,2628.64
64,20000,20000,20000,7.10587,2251.66
64,20000,20000,20000,6.2361,2565.7
64,20000,20000,20000,7.96716,2008.24
64,20000,20000,20000,7.74205,2066.64
64,20000,20000,20000,6.0975,2624.03
64,20000,20000,20000,7.31915,2186.05
