n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0574791,278.362
64,2000,2000,2000,0.0602105,265.735
64,2000,2000,2000,0.0593635,269.526
64,2000,2000,2000,0.0594871,268.966
64,2000,2000,2000,0.0674345,237.267
64,2000,2000,2000,0.059316,269.742
64,2000,2000,2000,0.0591465,270.515
64,2000,2000,2000,0.0615153,260.098
64,2000,2000,2000,0.0593394,269.635
64,2000,2000,2000,0.0601834,265.854
64,4000,4000,4000,0.313574,408.197
64,4000,4000,4000,0.319369,400.79
64,4000,4000,4000,0.335419,381.612
64,4000,4000,4000,0.313907,407.765
64,4000,4000,4000,0.332821,384.591
64,4000,4000,4000,0.318369,402.049
64,4000,4000,4000,0.318748,401.571
64,4000,4000,4000,0.332018,385.521
64,4000,4000,4000,0.342189,374.062
64,4000,4000,4000,0.32282,396.506
64,6000,6000,6000,1.0074,428.826
64,6000,6000,6000,0.999724,432.119
64,6000,6000,6000,1.03496,417.406
64,6000,6000,6000,0.997796,432.954
64,6000,6000,6000,1.00455,430.045
64,6000,6000,6000,1.00344,430.52
64,6000,6000,6000,1.00646,429.226
64,6000,6000,6000,1.02446,421.685
64,6000,6000,6000,1.02959,419.583
64,6000,6000,6000,1.00229,431.013
64,8000,8000,8000,2.18975,467.634
64,8000,8000,8000,2.09983,487.658
64,8000,8000,8000,2.12035,482.939
64,8000,8000,8000,2.2027,464.884
64,8000,8000,8000,2.15608,474.936
64,8000,8000,8000,2.14052,478.388
64,8000,8000,8000,2.13377,479.902
64,8000,8000,8000,2.20653,464.077
64,8000,8000,8000,2.17705,470.361
64,8000,8000,8000,2.16677,472.593
64,10000,10000,10000,3.62163,552.238
64,10000,10000,10000,3.58806,557.404
64,10000,10000,10000,2.91017,687.246
64,10000,10000,10000,2.36646,845.145
64,10000,10000,10000,3.56551,560.93
64,10000,10000,10000,2.5109,796.526
64,10000,10000,10000,3.04247,657.362
64,10000,10000,10000,3.58928,557.215
64,10000,10000,10000,2.43318,821.971
64,10000,10000,10000,2.511,796.495
64,12000,12000,12000,3.91234,883.359
64,12000,12000,12000,5.23065,660.721
64,12000,12000,12000,5.16367,669.292
64,12000,12000,12000,3.91295,883.22
64,12000,12000,12000,5.1438,671.876
64,12000,12000,12000,5.15921,669.87
64,12000,12000,12000,5.18909,666.013
64,12000,12000,12000,5.27527,655.132
64,12000,12000,12000,3.81953,904.823
64,12000,12000,12000,5.14593,671.599
64,14000,14000,14000,8.43026,650.988
64,14000,14000,14000,8.45565,649.033
64,14000,14000,14000,8.31055,660.365
64,14000,14000,14000,8.24317,665.764
64,14000,14000,14000,8.67775,632.422
64,14000,14000,14000,8.66385,633.437
64,14000,14000,14000,8.40654,652.825
64,14000,14000,14000,6.74956,813.09
64,14000,14000,14000,8.53502,642.998
64,14000,14000,14000,8.39661,653.597
64,16000,16000,16000,6.46884,1266.38
64,16000,16000,16000,6.99073,1171.84
64,16000,16000,16000,5.71348,1433.8
64,16000,16000,16000,6.13466,1335.36
64,16000,16000,16000,6.96779,1175.7
64,16000,16000,16000,6.48049,1264.1
64,16000,16000,16000,6.76384,1211.15
64,16000,16000,16000,6.19966,1321.36
64,16000,16000,16000,6.33316,1293.51
64,16000,16000,16000,6.37253,1285.52
64,18000,18000,18000,8.36179,1394.92
64,18000,18000,18000,8.56946,1361.11
64,18000,18000,18000,8.66258,1346.48
64,18000,18000,18000,8.19189,1423.85
64,18000,18000,18000,7.42636,1570.62
64,18000,18000,18000,8.09724,1440.49
64,18000,18000,18000,9.51006,1226.49
64,18000,18000,18000,7.62493,1529.72
64,18000,18000,18000,7.75426,1504.21
64,18000,18000,18000,14.4334,808.125
64,20000,20000,20000,19.8185,807.328
64,20000,20000,20000,21.756,735.429
64,20000,20000,20000,21.5921,741.013
64,20000,20000,20000,20.8299,768.125
64,20000,20000,20000,22.0915,724.261
64,20000,20000,20000,20.1477,794.136
64,20000,20000,20000,21.5552,742.279
64,20000,20000,20000,22.097,724.082
64,20000,20000,20000,21.7788,734.658
64,20000,20000,20000,22.057,725.392
