n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0298781,535.51
64,2000,2000,2000,0.0317429,504.05
64,2000,2000,2000,0.031843,502.465
64,2000,2000,2000,0.0325063,492.213
64,2000,2000,2000,0.0330607,483.959
64,2000,2000,2000,0.0333778,479.361
64,2000,2000,2000,0.0323801,494.13
64,2000,2000,2000,0.0334238,478.7
64,2000,2000,2000,0.0369504,433.013
64,2000,2000,2000,0.0331519,482.627
64,4000,4000,4000,0.139055,920.502
64,4000,4000,4000,0.142859,895.989
64,4000,4000,4000,0.139272,919.065
64,4000,4000,4000,0.141314,905.784
64,4000,4000,4000,0.141773,902.854
64,4000,4000,4000,0.142917,895.625
64,4000,4000,4000,0.152586,838.873
64,4000,4000,4000,0.139887,915.026
64,4000,4000,4000,0.141287,905.958
64,4000,4000,4000,0.139404,918.194
64,6000,6000,6000,0.435355,992.295
64,6000,6000,6000,0.433712,996.052
64,6000,6000,6000,0.439448,983.051
64,6000,6000,6000,0.436187,990.4
64,6000,6000,6000,0.448203,963.85
64,6000,6000,6000,0.433087,997.49
64,6000,6000,6000,0.448157,963.948
64,6000,6000,6000,0.444125,972.699
64,6000,6000,6000,0.448179,963.901
64,6000,6000,6000,0.437029,988.493
64,8000,8000,8000,0.993196,1031.02
64,8000,8000,8000,1.0056,1018.3
64,8000,8000,8000,1.00309,1020.85
64,8000,8000,8000,0.995318,1028.82
64,8000,8000,8000,1.0275,996.597
64,8000,8000,8000,0.991441,1032.84
64,8000,8000,8000,1.00189,1022.07
64,8000,8000,8000,0.987813,1036.63
64,8000,8000,8000,1.00459,1019.33
64,8000,8000,8000,1.01537,1008.5
64,10000,10000,10000,1.77981,1123.72
64,10000,10000,10000,1.74538,1145.88
64,10000,10000,10000,1.72869,1156.95
64,10000,10000,10000,1.7587,1137.21
64,10000,10000,10000,1.71397,1166.88
64,10000,10000,10000,1.7747,1126.95
64,10000,10000,10000,1.74929,1143.32
64,10000,10000,10000,1.74897,1143.53
64,10000,10000,10000,1.76292,1134.48
64,10000,10000,10000,1.7102,1169.45
64,12000,12000,12000,2.76286,1250.88
64,12000,12000,12000,2.80656,1231.4
64,12000,12000,12000,2.83874,1217.44
64,12000,12000,12000,2.79843,1234.98
64,12000,12000,12000,2.85679,1209.75
64,12000,12000,12000,2.85144,1212.02
64,12000,12000,12000,2.80478,1232.18
64,12000,12000,12000,2.83693,1218.22
64,12000,12000,12000,2.59316,1332.74
64,12000,12000,12000,2.84229,1215.92
64,14000,14000,14000,3.99658,1373.17
64,14000,14000,14000,3.97441,1380.84
64,14000,14000,14000,3.85821,1422.42
64,14000,14000,14000,3.93249,1395.55
64,14000,14000,14000,3.29835,1663.86
64,14000,14000,14000,3.1714,1730.47
64,14000,14000,14000,3.88494,1412.63
64,14000,14000,14000,3.91189,1402.9
64,14000,14000,14000,4.00676,1369.68
64,14000,14000,14000,3.91724,1400.99
64,16000,16000,16000,5.50832,1487.2
64,16000,16000,16000,5.71535,1433.33
64,16000,16000,16000,5.55852,1473.77
64,16000,16000,16000,5.60063,1462.69
64,16000,16000,16000,5.71472,1433.49
64,16000,16000,16000,5.64058,1452.33
64,16000,16000,16000,5.59062,1465.31
64,16000,16000,16000,5.6638,1446.38
64,16000,16000,16000,5.62912,1455.29
64,16000,16000,16000,5.67517,1443.48
64,18000,18000,18000,4.77663,2441.89
64,18000,18000,18000,5.00415,2330.87
64,18000,18000,18000,5.44548,2141.96
64,18000,18000,18000,4.80322,2428.37
64,18000,18000,18000,3.96853,2939.12
64,18000,18000,18000,4.93284,2364.56
64,18000,18000,18000,6.01416,1939.42
64,18000,18000,18000,6.33874,1840.11
64,18000,18000,18000,6.35291,1836.01
64,18000,18000,18000,5.06946,2300.84
64,20000,20000,20000,7.11886,2247.55
64,20000,20000,20000,5.43122,2945.93
64,20000,20000,20000,5.06795,3157.1
64,20000,20000,20000,7.79092,2053.67
64,20000,20000,20000,7.19311,2224.35
64,20000,20000,20000,5.97689,2676.98
64,20000,20000,20000,7.65807,2089.3
64,20000,20000,20000,5.52083,2898.11
64,20000,20000,20000,7.68053,2083.19
64,20000,20000,20000,7.6525,2090.82
