n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0750057,213.317
64,2000,2000,2000,0.0383259,417.472
64,2000,2000,2000,0.0385147,415.426
64,2000,2000,2000,0.0373057,428.889
64,2000,2000,2000,0.0388362,411.987
64,2000,2000,2000,0.0388765,411.56
64,2000,2000,2000,0.0381518,419.377
64,2000,2000,2000,0.0378556,422.659
64,2000,2000,2000,0.0388406,411.94
64,2000,2000,2000,0.0385839,414.68
64,4000,4000,4000,0.172674,741.281
64,4000,4000,4000,0.169002,757.389
64,4000,4000,4000,0.173831,736.347
64,4000,4000,4000,0.172767,740.881
64,4000,4000,4000,0.180012,711.062
64,4000,4000,4000,0.181766,704.2
64,4000,4000,4000,0.171955,744.379
64,4000,4000,4000,0.172304,742.874
64,4000,4000,4000,0.174652,732.887
64,4000,4000,4000,0.18081,707.927
64,6000,6000,6000,0.641863,673.041
64,6000,6000,6000,0.645321,669.434
64,6000,6000,6000,0.65431,660.237
64,6000,6000,6000,0.640758,674.201
64,6000,6000,6000,0.624521,691.73
64,6000,6000,6000,0.642746,672.117
64,6000,6000,6000,0.625726,690.398
64,6000,6000,6000,0.631914,683.637
64,6000,6000,6000,0.625433,690.721
64,6000,6000,6000,0.643885,670.927
64,8000,8000,8000,1.3484,759.42
64,8000,8000,8000,1.34957,758.761
64,8000,8000,8000,1.34586,760.852
64,8000,8000,8000,1.35517,755.627
64,8000,8000,8000,1.33644,766.216
64,8000,8000,8000,1.36566,749.822
64,8000,8000,8000,1.39017,736.599
64,8000,8000,8000,1.36257,751.523
64,8000,8000,8000,1.35247,757.131
64,8000,8000,8000,1.36858,748.219
64,10000,10000,10000,2.4535,815.161
64,10000,10000,10000,2.52866,790.933
64,10000,10000,10000,2.45643,814.191
64,10000,10000,10000,2.54326,786.392
64,10000,10000,10000,2.45946,813.188
64,10000,10000,10000,2.47115,809.341
64,10000,10000,10000,2.42578,824.477
64,10000,10000,10000,2.44714,817.28
64,10000,10000,10000,2.44968,816.433
64,10000,10000,10000,2.46467,811.467
64,12000,12000,12000,3.96909,870.728
64,12000,12000,12000,1.86937,1848.76
64,12000,12000,12000,1.87501,1843.19
64,12000,12000,12000,1.82797,1890.62
64,12000,12000,12000,1.81305,1906.18
64,12000,12000,12000,1.86712,1850.98
64,12000,12000,12000,1.93204,1788.78
64,12000,12000,12000,1.81852,1900.45
64,12000,12000,12000,1.71431,2015.97
64,12000,12000,12000,2.01809,1712.51
64,14000,14000,14000,2.78583,1969.97
64,14000,14000,14000,2.76933,1981.71
64,14000,14000,14000,2.72527,2013.74
64,14000,14000,14000,2.79809,1961.34
64,14000,14000,14000,2.74783,1997.21
64,14000,14000,14000,2.74923,1996.2
64,14000,14000,14000,2.75635,1991.04
64,14000,14000,14000,2.72238,2015.88
64,14000,14000,14000,2.73949,2003.29
64,14000,14000,14000,2.78028,1973.9
64,16000,16000,16000,4.29061,1909.28
64,16000,16000,16000,4.23653,1933.66
64,16000,16000,16000,3.93497,2081.84
64,16000,16000,16000,4.22427,1939.27
64,16000,16000,16000,4.02363,2035.97
64,16000,16000,16000,3.97716,2059.76
64,16000,16000,16000,4.06213,2016.67
64,16000,16000,16000,7.54063,1086.38
64,16000,16000,16000,8.05579,1016.91
64,16000,16000,16000,7.88158,1039.38
64,18000,18000,18000,12.2777,950.015
64,18000,18000,18000,12.455,936.493
64,18000,18000,18000,12.3085,947.641
64,18000,18000,18000,11.6408,1001.99
64,18000,18000,18000,12.3726,942.729
64,18000,18000,18000,12.3339,945.688
64,18000,18000,18000,12.437,937.85
64,18000,18000,18000,12.7053,918.041
64,18000,18000,18000,12.4818,934.484
64,18000,18000,18000,12.2152,954.879
64,20000,20000,20000,18.5393,863.032
64,20000,20000,20000,18.4746,866.055
64,20000,20000,20000,18.5463,862.707
64,20000,20000,20000,18.6407,858.337
64,20000,20000,20000,6.85089,2335.46
64,20000,20000,20000,6.92278,2311.21
64,20000,20000,20000,7.13811,2241.49
64,20000,20000,20000,6.45259,2479.62
64,20000,20000,20000,7.18427,2227.09
64,20000,20000,20000,7.21553,2217.44
