n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0421196,379.871
64,2000,2000,2000,0.0217545,735.481
64,2000,2000,2000,0.0228958,698.817
64,2000,2000,2000,0.0220282,726.341
64,2000,2000,2000,0.0222989,717.525
64,2000,2000,2000,0.0222586,718.824
64,2000,2000,2000,0.0224933,711.324
64,2000,2000,2000,0.0226859,705.283
64,2000,2000,2000,0.0231336,691.634
64,2000,2000,2000,0.0221326,722.915
64,2000,2000,2000,0.0224998,711.117
64,2000,2000,2000,0.022384,714.796
64,2000,2000,2000,0.0219555,728.746
64,2000,2000,2000,0.0221012,723.944
64,2000,2000,2000,0.0222357,719.563
64,2000,2000,2000,0.0223889,714.64
64,2000,2000,2000,0.0229473,697.249
64,2000,2000,2000,0.0224015,714.237
64,2000,2000,2000,0.0220272,726.374
64,2000,2000,2000,0.0224439,712.89
64,3000,3000,3000,0.0442798,1219.52
64,3000,3000,3000,0.0453995,1189.44
64,3000,3000,3000,0.0452773,1192.65
64,3000,3000,3000,0.0453515,1190.7
64,3000,3000,3000,0.0451974,1194.76
64,3000,3000,3000,0.0456899,1181.88
64,3000,3000,3000,0.0455619,1185.2
64,3000,3000,3000,0.045884,1176.88
64,3000,3000,3000,0.0527612,1023.48
64,3000,3000,3000,0.0464631,1162.21
64,3000,3000,3000,0.0447329,1207.16
64,3000,3000,3000,0.0519963,1038.54
64,3000,3000,3000,0.0460565,1172.47
64,3000,3000,3000,0.0464087,1163.57
64,3000,3000,3000,0.0460182,1173.45
64,3000,3000,3000,0.0453053,1191.91
64,3000,3000,3000,0.046291,1166.53
64,3000,3000,3000,0.0520021,1038.42
64,3000,3000,3000,0.0519619,1039.22
64,3000,3000,3000,0.0455396,1185.78
64,4000,4000,4000,0.0760224,1683.71
64,4000,4000,4000,0.0852972,1500.64
64,4000,4000,4000,0.0943852,1356.14
64,4000,4000,4000,0.0855451,1496.29
64,4000,4000,4000,0.078402,1632.61
64,4000,4000,4000,0.0845459,1513.97
64,4000,4000,4000,0.085096,1504.18
64,4000,4000,4000,0.0854223,1498.44
64,4000,4000,4000,0.0945203,1354.21
64,4000,4000,4000,0.0838167,1527.14
64,4000,4000,4000,0.0935319,1368.52
64,4000,4000,4000,0.0950107,1347.22
64,4000,4000,4000,0.0853321,1500.02
64,4000,4000,4000,0.0859823,1488.68
64,4000,4000,4000,0.0779205,1642.7
64,4000,4000,4000,0.0867799,1475
64,4000,4000,4000,0.085461,1497.76
64,4000,4000,4000,0.0859667,1488.95
64,4000,4000,4000,0.0768945,1664.62
64,4000,4000,4000,0.077044,1661.39
64,5000,5000,5000,0.137958,1812.15
64,5000,5000,5000,0.145905,1713.45
64,5000,5000,5000,0.13925,1795.33
64,5000,5000,5000,0.132618,1885.12
64,5000,5000,5000,0.146464,1706.9
64,5000,5000,5000,0.138451,1805.69
64,5000,5000,5000,0.143677,1740.02
64,5000,5000,5000,0.142755,1751.25
64,5000,5000,5000,0.139716,1789.34
64,5000,5000,5000,0.141677,1764.57
64,5000,5000,5000,0.138339,1807.16
64,5000,5000,5000,0.130635,1913.73
64,5000,5000,5000,0.14652,1706.25
64,5000,5000,5000,0.138619,1803.51
64,5000,5000,5000,0.141909,1761.69
64,5000,5000,5000,0.13727,1821.23
64,5000,5000,5000,0.150659,1659.37
64,5000,5000,5000,0.149034,1677.47
64,5000,5000,5000,0.14236,1756.11
64,5000,5000,5000,0.141015,1772.87
64,6000,6000,6000,0.245942,1756.51
64,6000,6000,6000,0.241788,1786.69
64,6000,6000,6000,0.246334,1753.72
64,6000,6000,6000,0.239122,1806.61
64,6000,6000,6000,0.244147,1769.43
64,6000,6000,6000,0.242664,1780.24
64,6000,6000,6000,0.240778,1794.19
64,6000,6000,6000,0.255539,1690.54
64,6000,6000,6000,0.23951,1803.68
64,6000,6000,6000,0.256425,1684.7
64,6000,6000,6000,0.245401,1760.38
64,6000,6000,6000,0.249002,1734.92
64,6000,6000,6000,0.240986,1792.64
64,6000,6000,6000,0.258381,1671.95
64,6000,6000,6000,0.244319,1768.18
64,6000,6000,6000,0.257755,1676.01
64,6000,6000,6000,0.246256,1754.27
64,6000,6000,6000,0.256834,1682.02
64,6000,6000,6000,0.246357,1753.55
64,6000,6000,6000,0.254879,1694.92
64,7000,7000,7000,0.42572,1611.39
64,7000,7000,7000,0.41704,1644.92
64,7000,7000,7000,0.433604,1582.09
64,7000,7000,7000,0.437115,1569.38
64,7000,7000,7000,0.428472,1601.04
64,7000,7000,7000,0.440572,1557.07
64,7000,7000,7000,0.421391,1627.94
64,7000,7000,7000,0.431839,1588.56
64,7000,7000,7000,0.440821,1556.19
64,7000,7000,7000,0.423008,1621.72
64,7000,7000,7000,0.438045,1566.05
64,7000,7000,7000,0.438749,1563.53
64,7000,7000,7000,0.436794,1570.54
64,7000,7000,7000,0.436798,1570.52
64,7000,7000,7000,0.418901,1637.62
64,7000,7000,7000,0.430373,1593.97
64,7000,7000,7000,0.443035,1548.41
64,7000,7000,7000,0.433893,1581.04
64,7000,7000,7000,0.430016,1595.29
64,7000,7000,7000,0.43977,1559.91
64,2000,2000,2000,0.0199868,800.528
64,2000,2000,2000,0.0196239,815.331
64,2000,2000,2000,0.0203602,785.849
64,2000,2000,2000,0.020506,780.26
64,2000,2000,2000,0.0200873,796.522
64,2000,2000,2000,0.0202322,790.82
64,2000,2000,2000,0.0211907,755.047
64,2000,2000,2000,0.0209225,764.729
64,2000,2000,2000,0.020707,772.684
64,2000,2000,2000,0.0210284,760.874
64,2000,2000,2000,0.0209313,764.404
64,2000,2000,2000,0.0209709,762.963
64,2000,2000,2000,0.0202805,788.935
64,2000,2000,2000,0.0201716,793.195
64,2000,2000,2000,0.0222047,720.569
64,2000,2000,2000,0.0211928,754.974
64,2000,2000,2000,0.0212226,753.912
64,2000,2000,2000,0.0206373,775.293
64,2000,2000,2000,0.020859,767.055
64,2000,2000,2000,0.0206446,775.023
64,2000,2000,2000,0.0204617,781.951
64,2000,2000,2000,0.0208479,767.465
64,2000,2000,2000,0.0213322,750.041
64,2000,2000,2000,0.0210299,760.822
64,2000,2000,2000,0.0209149,765.005
64,2000,2000,2000,0.0211311,757.176
64,2000,2000,2000,0.0205836,777.319
64,2000,2000,2000,0.0207196,772.214
64,2000,2000,2000,0.0209616,763.302
64,4000,4000,4000,0.0735622,1740.02
64,4000,4000,4000,0.0728344,1757.41
64,4000,4000,4000,0.0750946,1704.52
64,4000,4000,4000,0.0729743,1754.04
64,4000,4000,4000,0.0731029,1750.96
64,4000,4000,4000,0.077472,1652.21
64,4000,4000,4000,0.08281,1545.71
64,4000,4000,4000,0.0752716,1700.51
64,4000,4000,4000,0.0756613,1691.75
64,4000,4000,4000,0.0764576,1674.13
64,6000,6000,6000,0.236937,1823.27
64,6000,6000,6000,0.236749,1824.72
64,6000,6000,6000,0.235492,1834.46
64,6000,6000,6000,0.244208,1768.98
64,6000,6000,6000,0.247185,1747.68
64,6000,6000,6000,0.241725,1787.15
64,6000,6000,6000,0.242647,1780.37
64,6000,6000,6000,0.236743,1824.77
64,6000,6000,6000,0.229243,1884.46
