n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0651065,245.751
64,2000,2000,2000,0.0673345,237.62
64,2000,2000,2000,0.0726724,220.166
64,2000,2000,2000,0.0666201,240.168
64,2000,2000,2000,0.0664685,240.716
64,2000,2000,2000,0.0685264,233.487
64,2000,2000,2000,0.0679835,235.351
64,2000,2000,2000,0.067682,236.399
64,2000,2000,2000,0.0707223,226.237
64,2000,2000,2000,0.0697783,229.298
64,4000,4000,4000,0.326752,391.734
64,4000,4000,4000,0.325064,393.768
64,4000,4000,4000,0.327087,391.333
64,4000,4000,4000,0.327814,390.465
64,4000,4000,4000,0.324161,394.866
64,4000,4000,4000,0.327484,390.859
64,4000,4000,4000,0.332389,385.091
64,4000,4000,4000,0.334355,382.826
64,4000,4000,4000,0.344616,371.428
64,4000,4000,4000,0.335617,381.387
64,6000,6000,6000,0.966975,446.754
64,6000,6000,6000,0.975336,442.924
64,6000,6000,6000,0.966962,446.76
64,6000,6000,6000,0.977284,442.042
64,6000,6000,6000,0.966261,447.084
64,6000,6000,6000,0.969606,445.542
64,6000,6000,6000,0.968047,446.259
64,6000,6000,6000,0.985408,438.397
64,6000,6000,6000,0.972738,444.107
64,8000,8000,8000,0.962179,1064.25
64,8000,8000,8000,0.972098,1053.39
64,8000,8000,8000,0.959641,1067.07
64,8000,8000,8000,0.96231,1064.11
64,8000,8000,8000,0.96064,1065.96
64,8000,8000,8000,0.9617,1064.78
64,8000,8000,8000,0.977857,1047.19
64,8000,8000,8000,0.972672,1052.77
64,8000,8000,8000,0.952905,1074.61
64,8000,8000,8000,0.967552,1058.34
64,10000,10000,10000,1.63625,1222.31
64,10000,10000,10000,1.64251,1217.65
64,10000,10000,10000,1.61962,1234.86
64,10000,10000,10000,1.62472,1230.98
64,10000,10000,10000,1.61433,1238.9
64,10000,10000,10000,1.62583,1230.14
64,10000,10000,10000,1.62652,1229.62
64,10000,10000,10000,1.6223,1232.82
64,10000,10000,10000,1.62834,1228.24
64,10000,10000,10000,1.6223,1232.82
64,12000,12000,12000,2.57303,1343.16
64,12000,12000,12000,2.602,1328.21
64,12000,12000,12000,2.59783,1330.34
64,12000,12000,12000,2.60596,1326.19
64,12000,12000,12000,2.58578,1336.54
64,12000,12000,12000,2.1299,1622.61
64,12000,12000,12000,2.56793,1345.83
64,12000,12000,12000,2.57643,1341.39
64,12000,12000,12000,2.59464,1331.98
64,12000,12000,12000,2.55704,1351.56
64,14000,14000,14000,3.69639,1484.69
64,14000,14000,14000,3.67949,1491.51
64,14000,14000,14000,3.68268,1490.22
64,14000,14000,14000,3.66154,1498.82
64,14000,14000,14000,3.56008,1541.54
64,14000,14000,14000,3.62031,1515.89
64,14000,14000,14000,3.70574,1480.95
64,14000,14000,14000,7.69356,713.324
64,14000,14000,14000,7.79671,703.887
64,14000,14000,14000,7.84011,699.99
64,16000,16000,16000,7.36058,1112.96
64,16000,16000,16000,11.1145,737.053
64,16000,16000,16000,8.23525,994.749
64,16000,16000,16000,7.80158,1050.04
64,16000,16000,16000,8.2437,993.728
64,16000,16000,16000,7.72253,1060.79
64,16000,16000,16000,7.268,1127.13
64,16000,16000,16000,7.68067,1066.57
64,16000,16000,16000,11.2187,730.206
64,16000,16000,16000,8.23792,994.426
64,18000,18000,18000,13.2639,879.38
64,18000,18000,18000,13.2333,881.415
64,18000,18000,18000,13.3253,875.33
64,18000,18000,18000,13.1092,889.754
64,18000,18000,18000,15.1829,768.232
64,18000,18000,18000,13.2622,879.49
64,18000,18000,18000,13.2388,881.046
64,18000,18000,18000,15.104,772.246
64,18000,18000,18000,5.34262,2183.2
64,20000,20000,20000,6.93816,2306.09
64,20000,20000,20000,7.11118,2249.98
64,20000,20000,20000,7.18279,2227.55
64,20000,20000,20000,7.03767,2273.48
64,20000,20000,20000,7.07494,2261.5
64,20000,20000,20000,6.99331,2287.9
64,20000,20000,20000,7.06368,2265.11
64,20000,20000,20000,7.08041,2259.76
64,20000,20000,20000,7.19559,2223.58
64,20000,20000,20000,7.08668,2257.76
