n_cores,m,n ,k,time,gflops
64,2000,2000,2000,0.0319808,500.3
64,2000,2000,2000,0.0328113,487.637
64,2000,2000,2000,0.0338343,472.892
64,2000,2000,2000,0.0331322,482.914
64,2000,2000,2000,0.033098,483.413
64,2000,2000,2000,0.0334334,478.563
64,2000,2000,2000,0.0333398,479.906
64,2000,2000,2000,0.0327134,489.096
64,2000,2000,2000,0.0337621,473.904
64,2000,2000,2000,0.0328752,486.689
64,4000,4000,4000,0.157122,814.652
64,4000,4000,4000,0.159945,800.277
64,4000,4000,4000,0.162692,786.761
64,4000,4000,4000,0.162104,789.618
64,4000,4000,4000,0.159571,802.149
64,4000,4000,4000,0.160912,795.465
64,4000,4000,4000,0.159988,800.061
64,4000,4000,4000,0.158622,806.95
64,4000,4000,4000,0.162713,786.661
64,4000,4000,4000,0.164367,778.744
64,6000,6000,6000,0.443479,974.116
64,6000,6000,6000,0.443141,974.86
64,6000,6000,6000,0.446253,968.06
64,6000,6000,6000,0.449818,960.388
64,6000,6000,6000,0.445518,969.657
64,6000,6000,6000,0.448291,963.66
64,6000,6000,6000,0.446225,968.121
64,6000,6000,6000,0.452379,954.952
64,6000,6000,6000,0.446199,968.179
64,6000,6000,6000,0.449047,962.038
64,8000,8000,8000,0.937372,1092.42
64,8000,8000,8000,0.963258,1063.06
64,8000,8000,8000,0.961299,1065.22
64,8000,8000,8000,0.955465,1071.73
64,8000,8000,8000,0.99556,1028.57
64,8000,8000,8000,0.964548,1061.64
64,8000,8000,8000,0.956786,1070.25
64,8000,8000,8000,0.962461,1063.94
64,8000,8000,8000,0.956487,1070.58
64,8000,8000,8000,0.982697,1042.03
64,10000,10000,10000,1.65453,1208.8
64,10000,10000,10000,1.66654,1200.09
64,10000,10000,10000,1.66749,1199.41
64,10000,10000,10000,1.67537,1193.76
64,10000,10000,10000,1.63768,1221.24
64,10000,10000,10000,1.682,1189.06
64,10000,10000,10000,1.6472,1214.18
64,10000,10000,10000,1.67604,1193.29
64,10000,10000,10000,1.66224,1203.2
64,10000,10000,10000,1.65546,1208.12
64,12000,12000,12000,2.63007,1314.03
64,12000,12000,12000,2.15931,1600.51
64,12000,12000,12000,2.60051,1328.97
64,12000,12000,12000,2.60819,1325.06
64,12000,12000,12000,2.09918,1646.35
64,12000,12000,12000,2.61422,1322
64,12000,12000,12000,2.57911,1340
64,12000,12000,12000,2.21737,1558.6
64,12000,12000,12000,2.58226,1338.36
64,12000,12000,12000,2.597,1330.76
64,14000,14000,14000,3.73317,1470.06
64,14000,14000,14000,3.78252,1450.89
64,14000,14000,14000,3.6957,1484.97
64,14000,14000,14000,3.57156,1536.58
64,14000,14000,14000,3.64057,1507.46
64,14000,14000,14000,3.60828,1520.95
64,14000,14000,14000,3.72183,1474.54
64,14000,14000,14000,3.65967,1499.59
64,14000,14000,14000,3.79479,1446.2
64,14000,14000,14000,3.7015,1482.64
64,16000,16000,16000,5.15452,1589.29
64,16000,16000,16000,5.20102,1575.07
64,16000,16000,16000,5.18063,1581.27
64,16000,16000,16000,5.11141,1602.69
64,16000,16000,16000,5.17143,1584.09
64,16000,16000,16000,5.186,1579.64
64,16000,16000,16000,5.13839,1594.27
64,16000,16000,16000,5.09842,1606.77
64,16000,16000,16000,3.84153,2132.49
64,16000,16000,16000,5.17271,1583.7
64,18000,18000,18000,5.56562,2095.72
64,18000,18000,18000,5.48572,2126.25
64,18000,18000,18000,5.42282,2150.91
64,18000,18000,18000,5.47159,2131.74
64,18000,18000,18000,5.50557,2118.58
64,18000,18000,18000,6.97347,1672.62
64,18000,18000,18000,5.41832,2152.7
64,18000,18000,18000,7.0596,1652.22
64,18000,18000,18000,7.12711,1636.57
64,18000,18000,18000,7.10827,1640.9
64,20000,20000,20000,7.08103,2259.56
64,20000,20000,20000,7.19725,2223.07
64,20000,20000,20000,6.47618,2470.59
64,20000,20000,20000,7.19863,2222.65
64,20000,20000,20000,7.19875,2222.61
64,20000,20000,20000,6.97091,2295.25
64,20000,20000,20000,7.21023,2219.07
64,20000,20000,20000,7.19258,2224.51
64,20000,20000,20000,7.14885,2238.12
64,20000,20000,20000,7.13993,2240.92
